Probe Set ID	Gene Symbol	Gene Title	Log2 FC	p value
202060_at	CTR9	Ctr9, Paf1/RNA polymerase II complex component, homolog	100245	0,00492
218802_at	CCDC109B	coiled-coil domain containing 109B	101326	0,00124
212687_at	LIMS1	LIM and senescent cell antigen-like domains 1	102092	0,01972
204502_at	SAMHD1	SAM domain and HD domain 1	103643	0,04941
203320_at	SH2B3	SH2B adaptor protein 3	103984	0,00150
203411_s_at	LMNA	lamin A/C	105024	0,02027
201150_s_at	TIMP3	TIMP metallopeptidase inhibitor 3	105741	0,00834
206493_at	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	105752	0,00259
213246_at	C14orf130	chromosome 14 open reading frame 130	106206	0,01613
202275_at	G6PD	glucose-6-phosphate dehydrogenase	106448	0,01900
201324_at	EMP1	epithelial membrane protein 1	108623	0,03666
202878_s_at	CD93	CD93 molecule	109772	0,04170
210845_s_at	PLAUR	plasminogen activator, urokinase receptor	111893	0,01723
217728_at	S100A6	S100 calcium binding protein A6	112489	0,00371
211628_x_at	FTHP1	ferritin, heavy polypeptide pseudogene 1	113264	0,01110
209199_s_at	MEF2C	MADS box transcription enhancer factor 2, polypeptide C	114496	0,00166
212372_at	MYH10	myosin, heavy chain 10, non-muscle	115559	0,01703
221012_s_at	TRIM8	tripartite motif-containing 8	115716	0,00000
210102_at	LOH11CR2A	loss of heterozygosity, 11, chromosomal region 2, gene A	116989	0,00950
204646_at	DPYD	dihydropyrimidine dehydrogenase	117812	0,03134
200782_at	ANXA5	annexin A5	118594	0,04618
208908_s_at	CAST	Calpastatin	119163	0,01725
212224_at	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	119989	0,00029
212614_at	ARID5B	AT rich interactive domain 5B (MRF1-like)	122027	0,01663
202949_s_at	FHL2	four and a half LIM domains 2	122149	0,04618
201858_s_at	SRGN	Serglycin	123749	0,04705
210139_s_at	PMP22	peripheral myelin protein 22	125773	0,01607
204141_at	TUBB2A	tubulin, beta 2°	125779	0,01432
204720_s_at	DNAJC6	DnaJ (Hsp40) homolog, subfamily C, member 6	126008	0,03299
218035_s_at	FLJ20273	RNA-binding protein	126189	0,01661
205098_at	CCR1	chemokine (C-C motif) receptor 1	127408	0,00295
201828_x_at	FAM127A	family with sequence similarity 127, member A	127854	0,00167
