Region	Gene	Description	p-value
Total brain	CANX	calnexin	0
Total brain	DNAJC5	DnaJ (Hsp40) homolog, subfamily C, member 5	5.64E-06
Total brain	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	0
Total brain	TMEM66	transmembrane protein 66	1.16E-09
Total brain	WDR92	WD repeat domain 92	0
Frontal lobe	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	2.24E-05
Frontal lobe	ARGLU1	arginine and glutamate rich 1	6.43E-07
Frontal lobe	CHD3	chromodomain helicase DNA binding protein 3	0
Frontal lobe	KIF5A	kinesin family member 5A	2.35E-13
Frontal lobe	LENG8	leukocyte receptor cluster (LRC) member 8	0
Frontal lobe	MAPK3	mitogen-activated protein kinase 3	0
Frontal lobe	NR1D1	nuclear receptor subfamily 1, group D, member 1	0
Frontal lobe	PDE1B	phosphodiesterase 1B, calmodulin-dependent	0
Frontal lobe	PIP5K2B	phosphatidylinositol-5-phosphate 4-kinase, type II, beta	2.22E-16
Frontal lobe	RPH3A	rabphilin 3A homolog (mouse)	0
Frontal lobe	WDR47	WD repeat domain 47	0
Temporal lobe	APOE	apolipoprotein E	1.92E-06
Temporal lobe	KIF5A	kinesin family member 5A	0
Temporal lobe	PPP2R4	protein phosphatase 2A activator, regulatory subunit 4	7.18E-07
