Gene Symbol	Gene Description	# of tumour types gene is up-regulated	# of tumour types gene is down-regulated	# of total geneRIFs	# of cancer geneRIFs
TP53	tumour protein p53	7	8	2371	782
EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	10	4	887	326
ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	10	5	530	321
VEGFA	vascular endothelial growth factor A	14	5	1058	309
PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	4	8	779	291
BRCA1	breast cancer 1, early onset	7	5	818	254
CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	16	3	609	235
ESR1	estrogen receptor 1	6	12	875	161
PTEN	phosphatase and tensin homolog	3	16	366	161
CCND1	cyclin D1	16	7	380	153
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	11	10	502	149
MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	13	5	638	142
TGFB1	transforming growth factor, beta 1	9	9	1118	129
BCL2	B-cell CLL/lymphoma 2	8	14	446	126
MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	7	4	423	126
BIRC5	baculoviral IAP repeat-containing 5	13	4	269	123
KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	6	7	244	113
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	9	10	349	96
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	5	14	661	95
MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	13	5	237	87
GSTP1	glutathione S-transferase pi 1	13	3	617	87
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	13	9	327	84
IL6	interleukin 6 (interferon, beta 2)	9	6	1224	84
CD44	CD44 molecule (Indian blood group)	12	10	193	82
