Agilent Probe Name	AffymetrixProbe Name	Gene ID	Gene Name	Log fold change methylation	Adjusted p value methylation	Adjusted p value expression
A_17_P16727446	220368_s_at	SMEK1	SMEK homolog 1, suppressor of mek1	-2.00834	8.89E-11	0.002271
A_17_P16475281	209323_at	PRKRIR	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of	-1.73279	1.05E-08	0.073336
A_17_P15747745	209190_s_at	DIAPH1	diaphanous homolog 1	-1.65035	0.00000002	0.02082
A_17_P06441385	222543_at	DERL1	Der1-like domain family, member 1	-1.53553	2.42E-08	0.011972
A_17_P05519645	212599_at	AUTS2	Autism susceptibility candidate 2	-1.73675	2.96E-08	0.0000137
A_17_P10244001	227361_at	HS3ST3B1	Heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	-1.73185	2.76E-09	0.00247
A_17_P15920204	214651_s_at	HOXA9	homeobox A9	-1.7832	5.65E-08	0.021595
A_17_P11512146	221496_s_at	TOB2	transducer of ERBB2, 2	-1.22345	8.92E-08	0.000063
A_17_P11713320	219433_at	BCOR	BCL6 co-repressor	-2.04217	2.42E-08	0.00000803
A_17_P16433711	205797_s_at	TCP11L1	t-complex 11 (mouse)-like 1	-1.30468	0.000000126	0.000729
A_17_P15384777	210141_s_at	INHA	Inhibin, alpha	-1.85348	8.92E-08	0.005249
A_17_P17233302	210365_at	RUNX1	runt-related transcription factor 1	-1.51025	0.00000013	0.00002
A_17_P10857565	218188_s_at	LMNB2	lamin B2	-1.64742	0.000000102	0.0000282
A_17_P16893168	202980_s_at	SIAH1	seven in absentia homolog 1	-1.37243	0.000000158	0.015415
A_17_P16604897	200750_s_at	RAN	RAN, member RAS oncogene family	-1.70187	0.000000121	0.0000354
A_17_P16970587	208777_s_at	PSMD11	proteasome 26S subunit, non-ATPase, 11	-1.32754	0.00000019	0.001813
A_17_P15750644	201431_s_at	DPYSL3	Dihydropyrimidinase-like 3	-1.93691	0.000000158	0.00028
A_17_P15439580	213370_s_at	SFMBT1	Scm-like with four mbt domains 1	-1.08765	0.000000387	0.008544
A_17_P16379748	221012_s_at	TRIM8	tripartite motif-containing 8	-1.27598	0.000000247	0.000123
A_17_P15020491	200006_at	PARK7	Parkinson disease 7	-1.43134	0.000000247	0.004873
A_17_P01134075	205657_at	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	-1.59896	0.000000247	0.000914
A_17_P15398519	205251_at	PER2	period homolog 2	-1.45926	0.000000322	0.000299
A_17_P16794555	217828_at	SLTM	SAFB-like, transcription modulator	-1.40512	0.000000353	0.00521
A_17_P00775037	228181_at	SLC30A1	solute carrier family 30, member 10	-1.75599	0.000000247	0.00028
A_17_P16175760	226496_at	ZCCHC7	zinc finger, CCHC domain containing 7	-1.15624	0.000000502	5.45E-12
A_17_P16440138	208330_at	ALX4	aristaless-like homeobox 4	-1.2253	0.000000502	0.01644
A_17_P11411430	228976_at	ICOSLG	inducible T-cell co-stimulator ligand	-1.38402	0.000000393	0.00028
A_17_P02241304	218147_s_at	GLT8D1	glycosyltransferase 8 domain containing 1	-1.19841	0.000000675	0.000703
A_17_P11104475	206502_s_at	INSM1	Insulinoma-associated 1	-1.26348	0.00000047	0.000283
A_17_P16270082	219198_at	GTF3C4	General transcription factor IIIC, polypeptide 4	-1.45363	0.00000047	0.206367
A_17_P15438081	208465_at	GRM2	glutamate receptor, metabotropic 2	-1.4313	0.00000047	0.001243
A_17_P16266012	200631_s_at	SET	SET translocation	-1.05908	0.00000169	0.0000227
A_17_P15234061	242898_at	EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2	-0.94547	0.00000154	0.009274
A_17_P07522030	202405_at	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	-1.74357	0.000000387	0.000219
A_17_P11140901	200903_s_at	AHCY	S-adenosylhomocysteine hydrolase	-1.35635	0.00000109	0.001154
A_17_P06461251	202431_s_at	MYC	myc myelocytomatosis viral oncogene homolog (avian)	-1.65146	0.00000144	0.0000223
