Affy_ID	Gene Symbol	Numerator(r)	Score(d)	Denominator(s+s0)	q-value(%)	264probe_Signature_FDR_25%	26probe_Signature_FDR_3.5%	Kruskal-Wallis rank sum statistics	Max. correlation to metagene	Assigned to metagene (corr. cutoff 0.2)
211506_s_at	IL8	0.223580852	3.754176137	0.059555238	0	included	included	54	0.818003627	IL8
211708_s_at	SCD	0.210346051	3.377389208	0.062280666	0	included	included	102.6	0.341699798	Apocrine
39249_at	AQP3	0.163973341	3.308109311	0.049567087	0	included	included	23.1	0.371947175	Apocrine
202859_x_at	IL8	0.184087192	3.298791541	0.055804433	0	included	included	35.9	0.873860922	IL8
202627_s_at	SERPINE1	0.131688742	3.136151996	0.041990548	0	included	included	143.2	0.6786316	Stroma
212909_at	LYPDC1	0.141378596	3.117582532	0.04534879	0	included	included		0.248132043	Prolif
200737_at	PGK1	0.090551349	3.089506137	0.029309328	0	included	included	59.7	0.434571853	VEGF
204344_s_at	SEC23A	0.147658446	3.074694904	0.048023772	0	included	included	155.3	0.303414739	Stroma
205810_s_at	WASL	0.138360117	3.070967002	0.045054251	0	included	included	112.6	-0.243113029	HOX
217356_s_at	PGK1	0.108541126	3.030864563	0.035811935	0	included	included	95	0.356682372	VEGF
215779_s_at	HIST1H2BG	0.160129978	3.017029691	0.053075374	0	included	included	56.5	0.806642077	Histone
212344_at	SULF1	0.118768091	3.008031013	0.039483666	0	included	included	128.7	0.732464739	Stroma
209875_s_at	SPP1	0.141080184	3.002102715	0.04699379	0	included	included	37.1	0.406582501	VEGF
219434_at	TREM1	0.127543532	2.981967266	0.042771607	0	included	included	33.1	0.456846229	IL8
219508_at	GCNT3	0.1175791	2.966317812	0.039638066	0	included	included	32.2	0.093600501	unclassified
208881_x_at	IDI1	0.095077388	2.959152973	0.032129933	0	included	included	67.9	0.389712644	Histone
215427_s_at	ZCCHC14	0.106072807	2.958409145	0.035854678	0	included	included	58.4	0.170463077	unclassified
214603_at	MAGEA2	0.217750264	2.956214143	0.073658488	0	included	included	22.5	0.082667345	unclassified
219875_s_at	PNAS-4	0.142630914	2.951252952	0.048328936	0	included	included	156.6	0.215106596	Histone
