Symbol	Gene Title	p-value	Fold-change	Average signal
RNF36	ring finger protein 36	0.000119	2.3447	6.7868
UBE2J1	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	0.000419	22.3147	7.3763
CD300A	CD300a molecule	0.000864	2.1544	7.079
IGL@	Immunoglobulin lambda locus	0.001172	23.0718	6.3888
MT1X	metallothionein 1X	0.001294	2.2122	7.5485
MAGED1	melanoma antigen family D, 1	0.001644	22.0342	7.0617
GBP1	guanylate binding protein 1, interferon-inducible, 67 kDa///guanylate binding protein 1, interferon-inducible, 67 kDa	0.00216	1.9967	7.8344
VAMP3	vesicle-associated membrane protein 3 (cellubrevin)	0.002351	1.8814	7.1191
C3AR1	complement component 3a receptor 1	0.002707	4.5817	6.0814
MYD88	myeloid differentiation primary response gene (88)	0.002823	1.8194	8.0611
FCGR3B	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)	0.002868	4.1952	6.1543
SAMHD1	SAM domain and HD domain 1	0.003019	2.4624	5.7873
UBE2G1	ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)	0.003307	22.1036	6.9206
EGR1	early growth response 1	0.00334	3.2916	6.1035
MT1H	metallothionein 1H	0.003445	2.0475	6.755
TPD52	tumor protein D52	0.003567	22.2114	7.0498
POU2AF1	POU domain, class 2, associating factor 1	0.00391	22.7707	8.0521
PPAPDC1B	Phosphatidic acid phosphatase type 2 domain containing 1B	0.004347	22.3491	7.075
RP1-93H18.5	hypothetical protein LOC441168	0.004813	2.3726	8.0818
SIDT2	SID1 transmembrane family, member 2	0.00485	1.9548	8.3433
GBP1	guanylate binding protein 1, interferon-inducible, 67 kDa///guanylate binding protein 1, interferon-inducible, 67 kDa	0.004938	2.3334	7.0136
GBP1	guanylate binding protein 1, interferon-inducible, 67 kDa	0.005006	2.4888	7.5899
LOC96610///IGL@	Hypothetical protein similar to KIAA0187 gene product///Immunoglobulin lambda locus	0.005057	22.9244	7.0226
HSP90B1	heat shock protein 90 kDa beta (Grp94), member 1	0.005488	21.9074	8.2753
CRR9	cisplatin resistance related protein CRR9p	0.006054	21.8843	7.3673
NDUFB6	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17 kDa	0.006174	21.828	7.2738
RNASET2	ribonuclease T2	0.006686	2.0165	7.819
GBP2	guanylate binding protein 2, interferon-inducible///guanylate binding protein 2, interferon-inducible	0.007125	1.8139	7.6419
EGR1	Early growth response 1	0.007242	4.6155	6.0488
CD97	CD97 molecule	0.007485	2.2044	6.8153
TYROBP	TYRO protein tyrosine kinase binding protein	0.007507	2.8639	7.711
CTA-246H3.1	similar to omega protein	0.007524	22.578	8.6364
SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	0.00763	2.463	7.455
FGL2	fibrinogen-like 2	0.007811	2.6573	7.5789
TUBA3	tubulin, alpha 3	0.008598	1.8686	8.6244
TNFRSF17	tumor necrosis factor receptor superfamily, member 17	0.009406	22.7543	7.2692
GMNN	geminin, DNA replication inhibitor	0.009426	22.2142	7.1972
SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	0.009866	22.2396	6.6128
FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	0.009879	2.1941	7.2555
TNFSF13///TNFSF12-TNFSF13	tumor necrosis factor (ligand) superfamily, member 13///tumor necrosis factor (ligand) superfamily, member 12-member 13	0.010068	2.352	6.3382
IGL@	Immunoglobulin lambda locus	0.010428	22.6368	6.334
GNAS	GNAS complex locus	0.010903	21.8682	8.2788
UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1	0.010949	21.9816	6.8578
ARMET	arginine-rich, mutated in early stage tumors	0.011018	21.8831	7.4254
---	Immunoglobulin kappa light chain (IGKV) mRNA variable region, joining region, and constant region///Immunoglobulin kappa light chain (IGKV) mRNA variable region, joining region, and constant region	0.011066	22.6563	7.408
HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	0.011235	1.9378	7.2184
IGKV1D-13/// LOC649876	immunoglobulin kappa variable 1D-13///similar to Ig kappa chain V-I region HK102 precursor	0.011292	22.3235	7.5191
PYCARD	PYD and CARD domain containing	0.011531	1.904	7.3968
KIAA1505	KIAA1505 protein	0.011735	2.152	7.5726
SEC11L3	SEC11-like 3 (S. cerevisiae)	0.011854	22.0503	6.9297
CX3CR1	chemokine (C-X3-C motif) receptor 1	0.012371	2.3472	7.8999
MT1E	metallothionein 1E (functional)	0.012654	1.8414	6.5549
CFD	complement factor D (adipsin)	0.013175	2.7446	6.5182
C11orf75	chromosome 11 open reading frame 75	0.013342	2.1468	6.628
SRPRB	signal recognition particle receptor, B subunit	0.01398	21.8251	7.2025
SAMD9L	sterile alpha motif domain containing 9-like	0.01406	2.3893	7.1224
RP1-93H18.5	hypothetical protein LOC441168	0.014525	3.2665	6.6864
PACAP	proapoptotic caspase adaptor protein	0.015153	22.4229	7.0357
KIAA0746	KIAA0746 protein	0.015464	22.0754	7.0611
HLA-DPB1	major histocompatibility complex, class II, DP beta 1	0.015645	2.4265	7.8066
PRDX4	peroxiredoxin 4	0.01571	21.8982	7.3706
---	Transcribed locus	0.016136	21.9733	6.7522
LOC652745	similar to Ig kappa chain V-I region Walker precursor	0.016187	22.6756	7.035
TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	0.016262	1.8697	8.0753
---	Immunoglobulin kappa chain, V-region (SPK.3)	0.01639	22.3461	6.3625
PACAP	proapoptotic caspase adaptor protein	0.016535	22.367	7.8079
ITM2C	integral membrane protein 2C///integral membrane protein 2C	0.016602	21.9904	6.6164
C9orf19	chromosome 9 open reading frame 19	0.0169	1.9849	6.9941
LRRC59	leucine rich repeat containing 59	0.017101	21.8304	7.1703
S100A9	S100 calcium binding protein A9 (calgranulin B)	0.017515	2.0885	8.328
SPTLC2	serine palmitoyltransferase, long chain base subunit 2	0.017518	1.9835	7.0682
PARP12	poly (ADP-ribose) polymerase family, member 12	0.017657	1.9566	7.7735
S100A6	S100 calcium binding protein A6 (calcyclin)	0.019028	2.0002	7.2831
PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	0.00005	1.5788	8.4562
MT2A	metallothionein 2A	0.000184	1.7931	8.322
PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	0.000465	21.4445	7.5556
NCL	nucleolin	0.000569	21.5782	7.7589
HLA-F	major histocompatibility complex, class I, F	0.000621	1.43	8.4362
MRLC2	myosin regulatory light chain MRLC2	0.001244	1.2847	8.6979
LRRFIP1	leucine rich repeat (in FLII) interacting protein 1	0.001476	1.4494	8.7862
IFITM1	interferon induced transmembrane protein 1 (9–27)	0.001576	1.5969	8.6038
ATP6V0E	ATPase, H+ transporting, lysosomal 9 kDa, V0 subunit e	0.00176	1.3477	8.9288
CHSY1	carbohydrate (chondroitin) synthase 1	0.001841	1.4027	7.8411
C20orf118	Chromosome 20 open reading frame 118	0.001886	1.6089	8.5961
CD53	CD53 molecule	0.00198	1.3513	8.7833
C20orf118	Chromosome 20 open reading frame 118	0.001997	1.5776	8.6481
ATP6V0E	ATPase, H+ transporting, lysosomal 9 kDa, V0 subunit e	0.00176	1.3477	8.9288
ATP6V0E	ATPase, H+ transporting, lysosomal 9 kDa, V0 subunit e	0.002317	1.3355	8.2173
PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	0.002432	1.784	7.8028
ADAR	adenosine deaminase, RNA-specific	0.002492	1.3729	8.6116
METTL7A	methyltransferase like 7A	0.002606	21.585	7.6029
GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	0.002631	1.6161	8.327
SELPLG	selectin P ligand	0.002757	1.5125	7.4685
WSB1	WD repeat and SOCS box-containing 1	0.00276	1.4536	8.0606
SQRDL	sulfide quinone reductase-like (yeast)	0.003312	1.4912	7.7882
CXXC5	CXXC finger 5///CXXC finger 5	0.003382	21.6791	7.2149
FN5	...	0.013342	2.1468	6.62795
LOC441168	...	0.004813	2.3726	8.08179
SEC11L3	SEC11-like 3 (S. cerevisiae)	0.011854	22.0503	6.92968
LOC91353	...	0.007524	22.578	8.63641
IGLC2	immunoglobulin lambda constant 2 (Kern-Oz-marker)	0.010428	22.6368	6.33398
TRA1	tumor rejection antigen (gp96) 1	0.005488	21.9074	8.2753
H3F3B	H3 histone, family 3B (H3.3B)	0.018645	1.2441	9.03523
SFRS5	splicing factor, arginine/serine rish-5	0.027215	1.2557	8.35184
TMBIM4	transmembrane BAX inhibitor	0.310843	1.1017	8.58976
RHOA	ras homolog gene family	0.016069	1.1702	8.59283
XRN1	59-39 exoribonuclease 1	0.007922	1.3637	8.3903
SAP18	sin3-associated polypeptide, 18 kDa	0.150022	21.1034	7.88139
ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	0.161681	1.1065	7.99103
HLA-B	major histocompatibility complex, class I, B	0.060992	1.2255	9.22158
