Gene Symbol	Gene ID	r	P
PAEP	5047	1	0
ARHGAP36	158763	0.699	0
GPR83	10888	0.716	0
ADCY8	114	0.746	0
CHP2	63928	0.806	0
REG4	83998	0.689	4.44E-16
GNAT3	346562	0.670	4.00E-15
HTR1F	3355	0.669	4.44E-15
UGT1A6	54578	0.637	2.02E-13
CHRDL2	25884	0.633	3.20E-13
PZP	5858	0.609	4.11E-12
SOX3	6658	0.569	1.98E-10
LYZL2	119180	0.518	1.32E-08
THEG	51298	0.509	2.44E-08
ERO1L	30001	0.492	8.56E-08
KCNK16	83795	0.474	2.82E-07
KCNK17	89822	0.461	6.41E-07
TMPRSS3	64699	0.456	8.94E-07
CRISP3	10321	0.455	9.76E-07
IGSF1	3547	0.452	1.19E-06
	647406	0.450	1.29E-06
SLC7A13	157724	0.444	1.81E-06
DDHD1	80821	0.440	2.38E-06
MS4A8B	83661	0.440	2.42E-06
PSMC6	5706	0.424	6.07E-06
PTPRR	5801	0.418	8.33E-06
GSTA5	221357	0.416	9.23E-06
PAX9	5083	0.415	9.92E-06
C14orf166	51637	0.406	1.58E-05
GNPNAT1	64841	0.402	1.92E-05
TCP10L	140290	0.401	2.00E-05
NPY5R	4889	0.400	2.14E-05
GABRE	2564	0.396	2.62E-05
TXNDC16	57544	0.396	2.71E-05
TM4SF4	7104	0.392	3.21E-05
FAM177A1	283635	0.388	4.06E-05
RGS14	10636	0.386	4.37E-05
ZNF704	619279	0.381	5.57E-05
PTPRU	10076	0.375	7.65E-05
	642049	-0.370	9.25E-05
VSIG10L	147645	0.365	1.18E-04
KCNQ1	3784	0.363	1.32E-04
TBCA	6902	0.362	1.37E-04
WIPI2	26100	0.359	1.59E-04
CAMP	820	0.359	1.61E-04
SPINK1	6690	0.358	1.63E-04
	731338	-0.357	1.72E-04
SCGN	10590	0.357	1.76E-04
UPK3A	7380	0.356	1.80E-04
CECR5	27440	0.355	1.89E-04
SPIN3	169981	0.354	1.95E-04
TMX1	81542	0.354	1.98E-04
ZNF250	58500	0.353	2.02E-04
CPSF1	29894	0.353	2.11E-04
OVGP1	5016	0.343	3.18E-04
HIST1H3F	8968	0.339	3.84E-04
	642626	-0.337	4.10E-04
NSMCE2	286053	0.336	4.26E-04
TGM1	7051	0.334	4.70E-04
SUMO3	6612	0.334	4.75E-04
ZNF707	286075	0.334	4.76E-04
DNASE1	1773	0.333	4.82E-04
CRABP1	1381	0.333	4.83E-04
DDX41	51428	0.332	5.08E-04
ACPP	55	0.332	5.09E-04
C14orf138	79609	0.332	5.11E-04
	647784	0.330	5.62E-04
STAT5B	6777	-0.329	5.65E-04
	650518	0.327	6.12E-04
	653684	-0.327	6.18E-04
KIAA1383	54627	0.326	6.59E-04
GPBP1	65056	-0.325	6.67E-04
HIST1H2AM	8336	0.325	6.71E-04
MRPL13	28998	0.325	6.73E-04
C1orf168	199920	0.324	7.02E-04
PPP1R16A	84988	0.323	7.22E-04
