Gene symbol	Gene name	Bayesian P	Mean expression fold change	Gene class
ADM	Adrenomedullin	2.62E-05	1.18E+01	ANGIO
TIMP1	Tissue inhibitor of metalloproteinase 1	1.51E-08	11.56	ANGIO
FABP5	Fatty acid binding protein 5	1.85E-04	9.41	ANGIO
EMP3	Epithelial membrane protein 3	5.27E-07	7.58	ANGIO
PDPN	Podoplanin	3.22E-05	6	ANGIO
LGALS3	Lectin galactoside binding soluble 3 (galectin 3)	1.02E-05	5.86	ANGIO
LGALS1	Lectin galactoside binding soluble 1 (galectin 1)	1.02E-05	4.41	ANGIO
PDGFA	Platelet-derived growth factor alpha polypeptide	2.03E-05	4.09	ANGIO
PLAT	Plasminogen activator tissue	6.60E-05	3.97	ANGIO
EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	2.20E-06	3.92	ANGIO
COL5A2	Collagen type V alpha 2	3.71E-05	3.72	ANGIO
COL5A2	Collagen type V alpha 2	1.02E-05	3.6	ANGIO
DDA3	Differential display and activated by p53	2.06E-05	3.53	ANGIO
TAGLN2	Transgelin 2	3.15E-05	3.19	ANGIO
DUSP6	Dual-specificity phosphatase 6	5.49E-05	3.14	ANGIO
LDHA	Lactate dehydrogenase A	7.84E-05	2.84	ANGIO
PLP2	Proteolipid protein 2	6.34E-05	2.74	ANGIO
EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	7.34E-05	2.43	ANGIO
CENTD3	Centaurin delta3	2.57E-04	2.42	ANGIO
KIAA0495	KIAA0495	1.69E-04	2.15	ANGIO
DAG1	Dystroglycan 1 (dystrophin-associated glycoprotein 1)	2.73E-05	1.8	ANGIO
ZYX	Zyxin	1.46E-04	1.78	ANGIO
OSBPL10	Oxysterol binding protein-like 10	2.63E-04	1.75	ANGIO
CUTC	cutC copper transporter homologue	1.74E-05	-1.59	DIFFER
TNKS2	TRF1-interacting ankyrin-related ADP-ribose polymerase 2	6.60E-05	-1.67	DIFFER
HSA9761	Dimethyladenosine transferase	8.27E-05	-1.71	DIFFER
KIAA1279	KIAA1279	2.03E-05	-1.76	DIFFER
RPL22	Ribosomal protein L22	2.83E-04	-1.81	DIFFER
ENAH	Enabled homologue	6.26E-05	-1.82	DIFFER
ZMYND11	Zinc finger MYND domain containing 11	4.53E-05	-1.87	DIFFER
HNRPH3	Heterogeneous nuclear ribonucleoprotein H3	3.65E-05	-1.88	DIFFER
RPL22	Ribosomal protein L22	2.62E-05	-1.93	DIFFER
CLASP2	Cytoplasmic linker-associated protein 2	2.81E-04	-2.05E+00	DIFFER
USH1C	Usher syndrome 1c (autosomal recessive severe)	1.02E-05	-2.1	DIFFER
RAP2A	RAP2A	7.90E-04	-2.1	DIFFER
ALCAM	Activated leukocyte cell adhesion molecule	4.72E-03	-2.14	DIFFER
ABI1	Abl-interactor 1	8.27E-05	-2.16	DIFFER
PARD3	par-3 partitioning defective 3 homologue	3.43E-06	-2.3	DIFFER
CRYAB	Crystallin ?B	5.80E-05	-2.72	DIFFER
NAP1L3	Nucleosome assembly protein 1-like 3	1.77E-04	-2.88E+00	DIFFER
NET1	Neuroepithelial cell transforming gene 1	2.20E-06	-2.93	DIFFER
C20ORF42	Chromosome 20 open reading frame 42	2.87E-04	-3.09	DIFFER
BMP2	Bone morphogenetic protein 2	5.49E-05	-3.27	DIFFER
ADCY2	Adenylate cyclase 2 (brain)	3.05E-05	-3.79	DIFFER
