GeneID	Gene Symbol	Name
55816	DOK5	Docking protein 5
7021	TFAP2B	Transcription factor AP-2 beta (activating enhancer binding protein 2 beta)
10561	IFI44	Interferon-induced protein 44
84969	C20orf100	Chromosome 20 open reading frame 100
55714	ODZ3	Odz, odd Oz/ten-m homolog 3 (Drosophila)
642	BLMH	Bleomycin hydrolase
51529	ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)
25791	NGEF	Neuronal guanine nucleotide exchange factor
9465	AKAP7	A kinase (PRKA) anchor protein 7
9353	SLIT2	Slit homolog 2 (Drosophila)
115399	DKFZp761L1518	Hypothetical protein DKFZp761L1518
54510	PCDH18	Protocadherin 18
9201	DCAMKL1	Doublecortin and CaM kinase-like 1
24138	IFIT5	Interferon-induced protein with tetratricopeptide repeats 5
9194	SLC16A7	Solute carrier family 16 (monocarboxylic acid transporters), member 7
64397	SH3BP3	SH3-domain binding protein 3
56994	CHPT1	Choline phosphotransferase 1
11007	DIPA	Hepatitis delta antigen-interacting protein A
3590	IL11RA	Interleukin 11 receptor, alpha
51079	GRIM19	Cell death-regulatory protein GRIM19
2593	GAMT	Guanidinoacetate N-methyltransferase
55068	FLJ10094	Hypothetical protein FLJ10094
23236	PLCB1	Phospholipase C, beta 1 (phosphoinositide-specific)
3708	ITPR1	Inositol 1,4,5-triphosphate receptor, type 1
55790	ChGn	Chondroitin beta1,4 N-acetylgalactosaminyltransferase
10092	ARPC5	Actin related protein 2/3 complex, subunit 5, 16kDa
51161	LOC51161	G20 protein
22921	MSRB	Methionine sulfoxide reductase B
4131	MAP1B	Microtubule-associated protein 1B
79792	GSDMDC1	Gasdermin domain containing 1
25927	C2orf32	Chromosome 2 open reading frame 32
22852	ANKRD26	Ankyrin repeat domain 26
9653	HS2ST1	Heparan sulfate 2-O-sulfotransferase 1
66005	MGC3234	Hypothetical protein MGC3234
8270	DXS9879E	DNA segment on chromosome X (unique) 9879 expressed sequence
4329	ALDH6A1	Aldehyde dehydrogenase 6 family, member A1
9435	CHST2	Carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
9023	CH25H	Cholesterol 25-hydroxylase
22998	KIAA1102	KIAA1102 protein
1445	CSK	C-src tyrosine kinase
57180	ARP3BETA	Actin-related protein 3-beta
11319	HSGT1	Suppressor of S. cerevisiae gcr2
22841	RAB11FIP2	RAB11 family interacting protein 2 (class I)
10194	SDCCAG33	Serologically defined colon cancer antigen 33
55509	SNFT	Jun dimerization protein p21SNFT
57689	NGL-1	Netrin-G1 ligand
11041	B3GNT6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6
57134	MAN1C1	Mannosidase, alpha, class 1C, member 1
124790	FLJ32384	Hypothetical protein MGC39389
5321	PLA2G4A	Phospholipase A2, group IVA (cytosolic, calcium-dependent)
51372	HSPC016	Hypothetical protein HSPC016
1355	COX15	COX15 homolog, cytochrome c oxidase assembly protein (yeast)
55728	N4BP2	Nedd4 binding protein 2
139818	DOCK11	Dedicator of cytokinesis 11
