Gene Symbol	Correlation Coefficient	Gene Title
BBS1	0.4	Bardet-Biedl syndrome 1
BCAM	0.4	basal cell adhesion molecule (Lutheran blood group)
CA12	0.39	carbonic anhydrase XII
CASC1	0.39	cancer susceptibility candidate 1
FAM176B	0.41	family with sequence similarity 176, member B
GAMT	0.4	guanidinoacetate N-methyltransferase
GATA3	0.39	GATA binding protein 3
GFRA1	0.39	GDNF family receptor alpha 1
GLI3	0.39	GLI family zinc finger 3
HPN	0.39	hepsin
IL6ST	0.4	interleukin 6 signal transducer (gp130, oncostatin M receptor)
KDM4B	0.41	lysine (K)-specific demethylase 4B
LAMB2	0.4	laminin, beta 2 (laminin S)
LRRC17	0.39	leucine rich repeat containing 17
LZTFL1	0.39	leucine zipper transcription factor-like 1
MAGED2	0.39	melanoma antigen family D, 2
MAPT	0.39	microtubule-associated protein tau
PDE4A	0.38	phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)
PGR	0.41	progesterone receptor
SCUBE2	0.44	signal peptide, CUB domain, EGF-like 2
LIV1 (SLC39A6)	0.38	solute carrier family 39 (zinc transporter), member 6
STARD13	0.39	StAR-related lipid transfer (START) domain containing 13
STC2	0.38	stanniocalcin 2
WDR19	0.4	WD repeat domain 19
AURKA	20.4	aurora kinase A
BUB1	20.41	budding uninhibited by benzimidazoles 1 homolog (yeast)
C16orf61	20.38	chromosome 16 open reading frame 61
CCNA2	20.4	cyclin A2
CDC20	20.4	cell division cycle 20 homolog (S. cerevisiae)
CDCA8	20.39	cell division cycle associated 8
CENPA	20.38	centromere protein A
CENPN	20.38	centromere protein N
CEP55	20.39	centrosomal protein 55 kDa
DBF4	20.44	DBF4 homolog (S. cerevisiae)
DDX39	20.39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
DLGAP5	20.39	discs, large (Drosophila) homolog-associated protein 5
GATAD2A	20.41	GATA zinc finger domain containing 2A
GTSE1	20.38	G-2 and S-phase expressed 1
HJURP	20.39	Holliday junction recognition protein
KIF2C	20.41	kinesin family member 2C
KPNA2	20.41	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
LAD1	20.41	ladinin 1
LPIN1	20.4	lipin 1
MCAM	20.39	melanoma cell adhesion molecule
MELK	20.4	maternal embryonic leucine zipper kinase
MKI67	20.39	antigen identified by monoclonal antibody Ki-67
OR7E37P	20.39	olfactory receptor, family 7, subfamily E, member 37 pseudogene
PSME4	20.42	proteasome (prosome, macropain) activator subunit 4
PTTG1	20.4	pituitary tumor-transforming 1
SLC7A5	20.4	solute carrier family 7 (cationic amino acid transporter, y+system), member 5
TTK	20.4	TTK protein kinase
