GeneID	Name	Symbol
6543	solute carrier family 8 (sodium/calcium exchanger), member 2	SLC8A2
1043	CD52 molecule	CD52
6659	SRY (sex determining region Y)-box 4	SOX4
147906	dapper, antagonist of beta-catenin, homolog 3 (Xenopus laevis)	DACT3
1013	cadherin 15, type 1, M-cadherin (myotubule)	CDH15
162494	rhomboid, veinlet-like 3 (Drosophila)	RHBDL3
4093	SMAD family member 9	SMAD9
6615	snail homolog 1 (Drosophila)	SNAI1
285489	docking protein 7	DOK7
9148	neuralized homolog (Drosophila)	NEURL
3726	jun B proto-oncogene	JUNB
51207	dual specificity phosphatase 13	DUSP13
80725	SRC kinase signaling inhibitor 1	SRCIN1
57571	carnosine synthase 1	CARNS1
2786	guanine nucleotide binding protein (G protein), gamma 4	GNG4
29993	protein kinase C and casein kinase substrate in neurons 1	PACSIN1
9625	apoptosis-associated tyrosine kinase	AATK
126567	C2 calcium-dependent domain containing 4C	C2CD4C
1907	endothelin 2	EDN2
