Entrez gene	Gene name	Description	4H 0.5 mM	4H 1 mM	4H 2 mM	4H 3.2 mM	4H 6 mM	4H 8 mM	20H 0.5 mM	20H 1 mM	20H 2 mM	20H 3.2 mM	20H 6 mM	20H 8 mM	48H 0.5 mM	48H 1 mM	48H 2 mM	48H 3.2 mM	48H 6 mM	48H 8 mM
5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	1.6	1.6	1.9	1.8	2	2	2.7	2.5	2.2	2.7	3.4	4.1	2.7	2.6	2.7	2.7	1.9	2.2
1244	ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	1.6	1.6	2	1.7	1.9	1.7	2.2	2.3	2.3	2.2	2.3	2.2	2.5	2.9	3	2.1	-1	-1
9429	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	1.2	1.3	1.4	1.1	1.2	1.1	2	2.9	2.9	3.8	4.1	4.3	2	2.9	3.9	4.6	10.2	10.1
171586	ABHD3	Abhydrolase domain containing 3	1.2	1.4	2.2	3.1	3.7	3.3	1.4	1.9	2	3.9	3.5	3.8	1.2	1.6	2.6	2.9	3	2.9
125	ADH1B	Alcohol dehydrogenase IB (class I), beta polypeptide	-1	1.2	-1.2	-1.3	-1.2	1	-1.6	-1.9	-2.5	-6.1	-6.7	-3.1	-2.3	-2.3	-3	-4.8	-22.1	-17.1
231	AKR1B1	Aldo-keto reductase family 1, member B1 (aldose reductase)	1.4	1.4	1.9	1.1	-1.3	-1.7	2.4	2.9	2.7	1.8	-2.3	-1.7	3	3.8	3	2.1	-12.3	-14.7
57016	AKR1B10	Aldo-keto reductase family 1, member B10 (aldose reductase)	1.4	1.4	2.1	1	-1.5	-1.9	2.5	3.1	2.8	1.8	-2.4	-1.7	3.1	4.1	3.1	1.2	-18.1	-17.2
6718	AKR1D1	Aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	1.5	1.5	1.7	-1.7	-1	-1.2	9	8.9	5.3	1.1	1	1.7	5.6	7.2	1.3	-1.6	1	1
211	ALAS1	Aminolevulinate, delta-, synthase 1	1.9	1.8	1.4	2	1.7	1.4	2.1	2.3	1.5	2	2.7	2.2	2.5	3.1	1.8	1.3	1.3	1
196394	AMN1	Antagonist of mitotic exit network 1 homolog (S. cerevisiae)	-1.1	-1	1.1	1.3	1.1	1.1	1.5	2	2.2	3	1.4	2.3	1.4	1.9	2.9	2.4	3.1	3.1
287	ANK2	Ankyrin 2, neuronal	1.2	1.3	1.3	1.4	1.3	1.6	1.3	2	1.8	3.9	8.4	6.1	1.3	2.1	2.6	5.3	9.9	11.2
397	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	-1.2	-1.5	-2.3	-2.1	-2.6	-2.1	-1.4	-1.9	-2.1	-2.1	-1.7	-1.9	-1.2	-1.8	-3.5	-3	-3.6	-5.4
623	BDKRB1	Bradykinin receptor B1	-1	-1	1.4	4.4	6.2	8	1.7	2.2	2	4	26.8	31.1	1.4	2	10.3	11.4	15.1	21.7
642	BLMH	Bleomycin hydrolase	-1.2	-1.4	-1.5	-1.9	-1.8	-1.8	-1.6	-2	-2.7	-2.6	-2.4	-3	-1.1	-1.7	-1.2	-1.9	-4.2	-3.7
