miRNA	P	FDR	Ratio
hsa-miR-146a	< 1e-07	< 1e-07	0.39
hsa-miR-133a	< 1e-07	< 1e-07	0.34
hsa-miR-625	< 1e-07	< 1e-07	0.56
hsa-miR-375	< 1e-07	< 1e-07	0.27
hsa-miR-1	< 1e-07	< 1e-07	0.27
hsa-miR-26a	< 1e-07	< 1e-07	0.67
hsa-miR-204	2.00E-07	4.60E-06	0.26
hsa-let-7c	7.00E-07	1.53E-05	0.74
hsa-let-7a	9.00E-07	1.86E-05	0.72
hsa-let-7g	1.10E-06	2.17E-05	0.71
hsa-miR-497	1.70E-06	3.20E-05	0.56
hsa-miR-26b	1.28E-05	0.000195	0.58
hsa-miR-145	2.04E-05	0.000282	0.65
hsa-miR-34a	2.89E-05	0.000363	0.75
hsa-miR-143	4.28E-05	0.000506	0.63
hsa-miR-650	9.15E-05	0.00101	0.57
hsa-miR-150	9.25E-05	0.00101	0.49
hsa-miR-768-5p	0.0001037	0.0011	0.65
hsa-let-7d	0.0001302	0.00132	0.76
hsa-miR-203	0.0001311	0.00132	0.52
hsa-miR-29c	0.0002112	0.00203	0.52
hsa-let-7f	0.0002446	0.0023	0.69
hsa-miR-30d	0.0002592	0.00238	0.78
hsa-miR-642	0.0004345	0.00383	0.62
hsa-miR-30c	0.0004556	0.00385	0.75
hsa-miR-155	0.0004998	0.00406	0.66
hsa-miR-34b	0.0013651	0.0101	0.64
hsa-miR-551b	0.0019808	0.0137	0.53
hsa-miR-28	0.0027537	0.0184	0.85
hsa-let-7e	0.0034793	0.0227	0.84
hsa-let-7b	0.0035019	0.0227	0.85
hsa-miR-212	0.0039061	0.0249	0.76
hsa-miR-564	0.0047906	0.03	0.72
hsa-miR-770-5p	0.0050814	0.0305	0.71
hsa-miR-30b	0.0060842	0.0355	0.76
hsa-miR-30a-5p	0.0077597	0.0434	0.8
hsa-miR-199b	0.0083572	0.0461	0.67
hsa-miR-125a	0.0085563	0.0466	0.77
hsa-miR-621	0.0093423	0.0497	0.69
hsa-miR-31	0.0106862	0.054	0.66
hsa-miR-365	0.0113404	0.0556	0.78
hsa-miR-381	0.0123061	0.0592	0.7
hsa-miR-626	0.0128738	0.0608	0.78
hsa-miR-127	0.0138033	0.0635	0.69
hsa-miR-660	0.0142991	0.0651	0.75
hsa-miR-342	0.0146193	0.0655	0.75
hsa-miR-146b	0.0148729	0.0655	0.77
hsa-miR-361	0.0152056	0.0663	0.86
hsa-miR-489	0.0191692	0.081	0.71
hsa-miR-29a	0.0204334	0.0854	0.79
hsa-miR-95	0.0243644	0.097	0.54
hsa-miR-567	0.0265025	0.104	0.54
hsa-miR-152	0.0376121	0.134	0.78
hsa-miR-429	0.0378151	0.134	0.65
hsa-miR-200b	0.0396617	0.138	0.75
hsa-miR-504	0.0412648	0.142	0.63
hsa-miR-668	0.041717	0.143	0.77
hsa-miR-186	0.0437991	0.149	0.83
hsa-miR-135a	0.0468793	0.157	0.58
hsa-miR-485-5p	0.047683	0.158	0.82
