Curated Gene Symbol	Order	Parametric p-value	FDR	Geom mean of intensities in class 1 (Non-Smokers)	Geom mean of intensities in class 2 (Smokers)	Fold-change	Unique id	Description	GB acc	Gene symbol
FHL2	1	0.0000239	0.1160086	227.4425829	107.2260715	2.12115	A_23_P108751	Homo sapiens four and a half LIM domains 2 (FHL2), transcript variant 5, mRNA [NM_001039492]	NM_001039492	FHL2
GPR15	2	0.0000242	0.1160086	19.5694354	49.3629366	0.3964399	A_23_P6943	Homo sapiens G protein-coupled receptor 15 (GPR15), mRNA [NM_005290]	NM_005290	GPR15
EFNA5	3	0.0000303	0.1160086	21.1879727	8.078085	2.6228955	A_24_P645914	Ephrin-A5 precursor (EPH-related receptor tyrosine kinase ligand 7) (LERK-7) (AL-1). [Source:Uniprot/SWISSPROT;Acc:P52803] [ENST00000379748]	ENST00000379748	EFNA5
CA2	4	0.0000753	0.1609084	883.9716801	388.2156439	2.277012	A_23_P8913	Homo sapiens carbonic anhydrase II (CA2), mRNA [NM_000067]	NM_000067	CA2
FAM69B	5	0.000096	0.1609084	312.5431932	121.6813591	2.568538	A_23_P431305	Homo sapiens family with sequence similarity 69, member B (FAM69B), mRNA [NM_152421]	NM_152421	FAM69B
AHRR	6	0.0000985	0.1609084	25.9057403	108.5225791	0.2387129	A_23_P344400	Homo sapiens aryl-hydrocarbon receptor repressor (AHRR), mRNA [NM_020731]	NM_020731	AHRR
ACRBP	7	0.0001157	0.1609084	2163.897003	1274.171868	1.6982772	A_23_P151120	Homo sapiens acrosin binding protein (ACRBP), mRNA [NM_032489]	NM_032489	ACRBP
TSC22D1	8	0.0001226	0.1609084	328.4332771	204.9216628	1.602726	A_23_P162739	Homo sapiens TSC22 domain family, member 1 (TSC22D1), transcript variant 1, mRNA [NM_183422]	NM_183422	TSC22D1
	9	0.0001287	0.1609084	313.969395	552.6554711	0.5681105	A_32_P63013	Homo sapiens full length insert cDNA clone YY74A12. [AF086052]	AF086052	AF086052
C14orf132	10	0.0001431	0.1609084	106.5807065	194.3630265	0.548359	A_23_P151529	Homo sapiens chromosome 14 open reading frame 132 (C14orf132), mRNA [NM_020215]	NM_020215	C14orf132
TBXA2R	11	0.0001541	0.1609084	404.5811556	220.504352	1.834799	A_23_P90357	Homo sapiens thromboxane A2 receptor (TBXA2R), transcript variant 2, mRNA [NM_001060]	NM_001060	TBXA2R
C2orf88	12	0.0001786	0.17095	51.7152846	28.2278058	1.8320689	A_23_P210060	Homo sapiens hypothetical protein MGC13057 (MGC13057), transcript variant 1, mRNA [NM_001042519]	NM_001042519	MGC13057
CSDA	13	0.0002144	0.1894306	1744.339186	1053.088926	1.6564026	A_23_P25224	Homo sapiens cold shock domain protein A (CSDA), mRNA [NM_003651]	NM_003651	CSDA
PF4	14	0.0002406	0.1973951	21006.18492	11155.60073	1.8830169	A_24_P79403	Homo sapiens platelet factor 4 (chemokine (C-X-C motif) ligand 4) (PF4), mRNA [NM_002619]	NM_002619	PF4
FUCA1	15	0.0002805	0.2053442	1140.472742	2947.081461	0.3869838	A_23_P11543	Homo sapiens fucosidase, alpha-L- 1, tissue (FUCA1), mRNA [NM_000147]	NM_000147	FUCA1
	16	0.0002988	0.2053442	557.9086983	913.6783245	0.6106183	A_24_P904484	Homo sapiens cDNA FLJ41855 fis, clone NT2RI3005724. [AK123849]	AK123849	LOC283174
	17	0.0003202	0.2053442	40.4760926	21.6322887	1.8710962	A_32_P106466	Unknown	THC2545456	THC2545456
AUTS2	18	0.0003218	0.2053442	3983.963606	2508.00796	1.5884972	A_23_P122906	Homo sapiens autism susceptibility candidate 2 (AUTS2), mRNA [NM_015570]	NM_015570	AUTS2
RGS6	19	0.0004037	0.2271095	58.4471026	33.3707445	1.7514474	A_23_P205666	Homo sapiens regulator of G-protein signalling 6 (RGS6), mRNA [NM_004296]	NM_004296	RGS6
	20	0.0004157	0.2271095	1017.241989	1626.655803	0.6253579	A_24_P942092	Homo sapiens cDNA FLJ14300 fis, clone PLACE1011891. [AK024362]	AK024362	LOC147650
NGFRAP1	21	0.0004347	0.2271095	5588.563025	3655.769601	1.5286967	A_23_P45524	Homo sapiens nerve growth factor receptor (TNFRSF16) associated protein 1 (NGFRAP1), transcript variant 3, mRNA [NM_014380]	NM_014380	NGFRAP1
AGPAT4	22	0.000435	0.2271095	1097.536037	711.1348721	1.5433585	A_32_P141768	Homo sapiens 1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta) (AGPAT4), mRNA [NM_020133]	NM_020133	AGPAT4
CTTNBP2	23	0.0004749	0.2367304	10.3055429	32.2908708	0.3191473	A_23_P215744	Homo sapiens cortactin binding protein 2 (CTTNBP2), mRNA [NM_033427]	NM_033427	CTTNBP2
IGF2BP3	24	0.0005372	0.2367304	466.5261723	277.8544776	1.6790306	A_23_P19987	Homo sapiens insulin-like growth factor 2 mRNA binding protein 3 (IGF2BP3), mRNA [NM_006547]	NM_006547	IGF2BP3
ZNF718	25	0.0005418	0.2367304	20.8869639	11.5236707	1.812527	A_23_P124438	Homo sapiens zinc finger protein 718 (ZNF718), mRNA [NM_001039127]	NM_001039127	ZNF718
AHRR	26	0.0005656	0.2367304	50.1909812	217.4320897	0.2308352	A_23_P358709	Homo sapiens aryl-hydrocarbon receptor repressor (AHRR), mRNA [NM_020731]	NM_020731	AHRR
C14orf132	27	0.0005698	0.2367304	157.3261733	252.8177278	0.6222909	A_24_P920447	Homo sapiens chromosome 14 open reading frame 132 (C14orf132), mRNA [NM_020215]	NM_020215	C14orf132
B3GAT1	28	0.0005971	0.2367304	254.6076765	117.8445703	2.160538	A_23_P1833	Homo sapiens beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P) (B3GAT1), transcript variant 2, mRNA [NM_054025]	NM_054025	B3GAT1
LCN8	29	0.0005977	0.2367304	21.5636295	39.2033796	0.5500452	A_24_P365906	Homo sapiens cDNA FLJ33328 fis, clone BRACE1000051, weakly similar to KERATIN, ULTRA HIGH-SULFUR MATRIX PROTEIN. [AK090647]	AK090647	LCN8
	30	0.0006213	0.2378751	112.5006996	53.0922088	2.1189682	A_32_P89269	BC008353 GLYATL1 protein {Homo sapiens} (exp=-1; wgp=0; cg=0), partial (28%) [THC2670311]	THC2670311	THC2670311
	31	0.0006887	0.2549892	18.7973005	9.9458842	1.8899577	A_32_P114831	tr74c05.x1 NCI_CGAP_Pan1 Homo sapiens cDNA clone IMAGE:2224040 3 similar to gb:V00567 BETA-2-MICROGLOBULIN PRECURSOR (HUMAN);, mRNA sequence [AI570094]	AI570094	AI570094
	32	0.0007222	0.2549892	15.9749742	24.8739222	0.6422378	A_32_P193240	601592904F1 NIH_MGC_7 Homo sapiens cDNA clone IMAGE:3946800 5, mRNA sequence [BE795374]	BE795374	BE795374
STARD8	33	0.0007915	0.2549892	276.9192361	158.5743253	1.7463056	A_23_P387630	Homo sapiens START domain containing 8 (STARD8), mRNA [NM_014725]	NM_014725	STARD8
LTK	34	0.0008174	0.2549892	555.7532678	287.281531	1.9345249	A_23_P14853	Homo sapiens leukocyte tyrosine kinase (LTK), transcript variant 1, mRNA [NM_002344]	NM_002344	LTK
RALBP1	35	0.0008449	0.2549892	116.4197522	164.3447904	0.7083872	A_24_P219686	Homo sapiens ralA binding protein 1 (RALBP1), mRNA [NM_006788]	NM_006788	RALBP1
HMGB4	36	0.0008529	0.2549892	10.2838867	17.5458993	0.5861134	A_23_P11697	Homo sapiens high-mobility group box 4 (HMGB4), transcript variant 1, mRNA [NM_145205]	NM_145205	HMGB4
	37	0.0008572	0.2549892	59.3216482	27.9163684	2.1249773	A_23_P13232	Unknown	A_23_P13232	A_23_P13232
	38	0.0008638	0.2549892	18.9049933	43.90264	0.4306118	A_32_P67447	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (13%) [THC2551477]	THC2551477	THC2551477
NT5C1B	39	0.0009	0.2549892	15.0576389	8.2452252	1.8262253	A_24_P394075	Homo sapiens 5-nucleotidase, cytosolic IB (NT5C1B), transcript variant 1, mRNA [NM_001002006]	NM_001002006	NT5C1B
PPBP	40	0.0009063	0.2549892	9061.636434	4243.00428	2.1356652	A_23_P121596	Homo sapiens pro-platelet basic protein (chemokine (C-X-C motif) ligand 7) (PPBP), mRNA [NM_002704]	NM_002704	PPBP
LIN28A	41	0.0009102	0.2549892	12.8364498	6.2492878	2.054066	A_23_P74895	Homo sapiens lin-28 homolog (C. elegans) (LIN28), mRNA [NM_024674]	NM_024674	LIN28
	42	0.0009457	0.2583816	23.0755453	13.3275185	1.731421	A_23_P24688	PREDICTED: Homo sapiens similar to glycine-N-acyltransferase-like 1 (LOC643652), mRNA [XM_926959]	ENST00000378260	LOC643652
	43	0.0009673	0.2583816	64.3234215	15.8241936	4.0648783	A_32_P107994	Unknown	A_32_P107994	A_32_P107994
