Gene Symbol	Fold change	Regulation	Probe Set ID
CCL5	6.7895284	up	1405_i_at
SSR2	3.1059422	down	200652_at
TIMP3	2.6840837	up	201150_s_at
DAB2	2.496562	up	201280_s_at
NDUFA5	2.3860292	down	201304_at
JUN	2.678529	up	201466_s_at
FHL1	3.7468302	up	201540_at
EGR1	2.4862769	up	201694_s_at
GBAS	2.416429	down	201816_s_at
FAM3C	3.7202573	down	201889_at
SDC4	2.7599082	up	202071_at
SLC39A6	4.097476	down	202088_at
SLC39A6	3.8774931	down	202089_s_at
NEDD9	2.7533529	up	202149_at
CDKN1A	2.3226848	up	202284_s_at
MGP	3.2805538	up	202291_s_at
TAP1	2.6500366	up	202307_s_at
NR4A1	2.3123105	up	202340_x_at
IFI27	3.0569398	up	202411_at
CTSK	2.3377295	up	202450_s_at
SERPINE1	4.360333	up	202627_s_at
SERPINE1	4.873739	up	202628_s_at
TNFAIP3	3.4214487	up	202643_s_at
TNFAIP3	3.7279441	up	202644_s_at
ATF3	3.5514307	up	202672_s_at
PRKACB	2.8647711	down	202741_at
PRKACB	3.0159361	down	202742_s_at
WRB	2.6742342	down	202749_at
IL8	3.5788815	up	202859_x_at
OAS1	2.6810732	up	202869_at
ADM	2.3162088	up	202912_at
LOXL2	2.3294432	down	202998_s_at
AMOTL2	2.8188593	up	203002_at
LAMP2	3.418678	up	203042_at
CHSY1	2.3350928	up	203044_at
RAPGEF2	2.414946	up	203097_s_at
IFIT1	3.3126523	up	203153_at
BAMBI	2.4891565	up	203304_at
SAT1	2.7548373	up	203455_s_at
BPGM	2.982728	down	203502_at
FSTL3	2.657512	up	203592_s_at
HMOX1	3.9487858	up	203665_at
PDE4B	2.413618	up	203708_at
GADD45A	2.4455886	up	203725_at
DUSP4	2.5090165	up	204014_at
RARRES3	3.4523687	up	204070_at
TUBB2A	2.4924338	up	204141_at
SLC31A2	3.554403	up	204204_at
ELOVL6	2.5669205	down	204256_at
PMAIP1	2.7999303	up	204285_s_at
PMAIP1	2.6726384	up	204286_s_at
TRIM16	2.7243655	up	204341_at
SPATA2	2.9067962	up	204434_at
CGA	3.7042785	up	204637_at
CCL5	5.2184463	up	204655_at
ISG20	3.8191621	up	204698_at
IFIT3	4.913953	up	204747_at
PTGS2	5.646735	up	204748_at
LYPD3	2.4028616	up	204952_at
VWA5A	2.5210085	up	205011_at
KRT17	4.430437	up	205157_s_at
SPINK5	2.6849976	up	205185_at
IL6	5.753924	up	205207_at
AREG	3.7014534	up	205239_at
PSCA	2.6930876	up	205319_at
ISG15	4.182277	up	205483_s_at
OLFM1	2.5687037	up	205591_at
OASL	4.7640395	up	205660_at
IL7R	5.6357083	up	205798_at
DHRS2	2.4434166	up	206463_s_at
HOXC6	2.43147	up	206858_s_at
KRT34	8.723544	up	206969_at
SLC16A6	2.466351	up	207038_at
IL1RL1	5.394911	up	207526_s_at
CREM	2.8776653	up	207630_s_at
CCL22	2.4914446	up	207861_at
KRT13	2.5711346	up	207935_s_at
AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B	2.4963543	up	208498_s_at
KCNJ12 /// LOC100131509 /// LOC100134444	2.3775613	up	208567_s_at
GABARAPL1	2.5077763	up	208868_s_at
GABARAPL1	2.7813463	up	208869_s_at
NHP2	2.4816895	down	209104_s_at
LAMB3	2.5939786	up	209270_at
SWAP70	2.530458	up	209307_at
HIST1H1C	2.8905225	down	209398_at
SLC7A11	6.2904363	up	209921_at
NCF2	8.181647	up	209949_at
CREM	3.1863427	up	209967_s_at
OLR1	2.5288765	up	210004_at
IL1A	2.800219	up	210118_s_at
CXCL11	4.9717116	up	210163_at
B4GALT4	2.3142369	up	210540_s_at
SAT1	3.1993093	up	210592_s_at
KYNU	3.455957	down	210662_at
OASL	3.865052	up	210797_s_at
CXCL11	6.014416	up	211122_s_at
GABARAPL1 /// GABARAPL3	2.9245138	up	211458_s_at
IL8	2.3972657	up	211506_s_at
C19orf2	2.3212752	down	211563_s_at
KRT17	3.3663883	up	212236_x_at
TMED10	3.0552719	down	212352_s_at
FYN	2.4574504	up	212486_s_at
AIM1	4.0545163	up	212543_at
STK38L	2.7157674	up	212565_at
STK38L	2.7809234	up	212572_at
WWP1	2.8930526	down	212637_s_at
WWP1	2.384655	down	212638_s_at
LIMS1	2.980556	down	212687_at
PIK3CB	2.6411188	down	212688_at
MSL1	2.6001213	down	212708_at
HIC2	2.3501103	up	212964_at
HIC2	2.9188588	up	212966_at
ZC3HAV1	2.493888	up	213051_at
SNAI2	2.4940567	up	213139_at
TDRD7	4.787516	up	213361_at
PDE4DIP	2.315383	up	213388_at
SAT1	3.1731062	up	213988_s_at
RYR2	2.4752467	up	214044_at
IFI44	4.007055	up	214059_at
DHRS2	3.7737193	up	214079_at
IFI44	3.9791408	up	214453_s_at
CREM	2.80767	up	214508_x_at
TNFRSF21	2.664642	up	214581_x_at
TMF1	2.3602047	up	214948_s_at
HIST1H2AC	2.9138083	up	215071_s_at
SOD2	2.8461854	up	215223_s_at
