Curated Gene Symbol	Average change	Abbreviation	Gene	Function
BNIP3	6.6	BNIP3	BCL2/adenovirus E1B 19 kDa-interacting protein 3	Apoptosis
CLU	4	CLU	Clusterin	Apoptosis
PHLDA2	3.7	PHLDA2	Tumor suppressing subtransferable candidate 3	Apoptosis
CSE1L	-7.5	CSE1L	Chromosome segregation 1 (yeast homolog)-like	Apoptosis
TIA1	-6.1	TIA1	TIA1 cytotoxic granule-associated RNA-binding protein	Apoptosis
GULP1	-4.7	GULP1	CED-6 protein	Apoptosis
BCL2	-4.6	BCL2	B-cell CLL/lymphoma 2	Apoptosis
POGK	-4.4	POGK	Pogo transposable element with KRAB domain	Apoptosis
BID	-3.3	BID	BH3 interacting domain death agonist	Apoptosis
CDKN1B	-14.2	CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	Cell cycle
NBN	-9	NBS1	Nijmegen breakage syndrome 1 (nibrin)	Cell cycle
SKP2	-8.7	SKP2	S-phase kinase-associated protein 2 (p45)	Cell cycle
ILF3	-8	ILF3	Interleukin enhancer binding factor 3, 90 kDa	Cell cycle
CDK2AP1	-7.6	CDK2AP1	CDK2-associated protein 1	Cell cycle
CCND1	-6.2	CCND1	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	Cell cycle
BCAT1	-5.8	BCAT1	Branched chain aminotransferase 1, cytosolic	Cell cycle
TUBGCP3	-5.4	TUBGCP3	Spindle pole body protein	Cell cycle
RAN	-5.4	RAN	RAN, member RAS oncogene family	Cell cycle
NUCKS1	-5.2	NUCKS	Similar to rat nuclear ubiquitous casein kinase 2	Cell cycle
IVNS1ABP	-5.1	IVNS1ABP	NS1-binding protein	Cell cycle
STAG2	-5	STAG2	Stromal antigen 2	Cell cycle
CENPF	-5	CENPF	Centromere protein F (350/400 kDa, mitosin)	Cell cycle
AURKA	-4.8	STK6	Serine/threonine kinase 6	Cell cycle
POLE3	-4.8	POLE3	Polymerase (DNA directed), epsilon 3 (p17 subunit)	Cell cycle
SMC1A	-4.6	SMC1L1	SMC1 (structural maintenance of chromosomes 1, yeast)-like 1	Cell cycle
CTCF	-4	CTCF	CCCTC-binding factor (zinc finger protein)	Cell cycle
GAS1	-4	GAS1	Growth arrest-specific 1	Cell cycle
CCNB1	-3.9	CCNB1	Cyclin B1	Cell cycle
MARCH6	-3.9	TEB4	Similar to S. cerevisiae SSM4	Cell cycle
TLK1	-3.7	TLK1	Tousled-like kinase 1	Cell cycle
PLK1	-3.5	PLK1	Polo (Drosophila)-like kinase	Cell cycle
CENPA	-3.2	CENPA	Centromere protein A (17 kDa)	Cell cycle
STAG1	-3.1	STAG1	Stromal antigen 1	Cell cycle
RFC5	-3.1	RFC5	Replication factor C (activator 1) 5, 36.5 kDa	Cell cycle
CDK4	-3.1	CDK4	Cyclin-dependent kinase 4	Cell cycle
ARC	5.6	ARC	Activity-regulated cytoskeleton-associated protein	Development
SERPINI1	3.5	SERPINI1	Serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1	Development
PHOX2B	-32	PHOX2B	Paired mesoderm homeobox 2b	Development
ASCL1	-18.8	HASH1	Achaete–scute complex (Drosophila) homolog-like 1	Development
GATA3	-11	GATA3	GATA-binding protein 3	Development
MAB21L1	-8.6	MAB21L1	Mab-21 (C. elegans)-like 1	Development
CDK5R1	-4.8	CDK5R1	Cyclin-dependent kinase 5, regulatory subunit 1 (p35)	Development
CSDE1	-4.6	D1S155E	NRAS-related gene	Development
DAZAP1	-4.3	DAZAP1	DAZ associated protein 1	Development
MAB21L2	-3.9	MAB21L2	Mab-21 (C. elegans)-like 2	Development
DACH1	-3.9	DACH	Dachshund homolog (Drosophila)	Development
TBX2	-3.8	TBX2	T-box 2	Development
BPTF	-3.6	FALZ	Fetal Alzheimer antigen	Development
