Regulation	hsa-mirNA	Melanomas score	Melanomas error rate	Melanocytes score	Melanocytes error rate
Over-expressed in melanomas	hsa-mir-126	0.0436	0%	-0.2325	0%
Over-expressed in melanomas	hsa-mir-801	0.0162	0%	-0.0861	0%
Under-expressed in melanomas	hsa-mir-192	-0.1356	0%	0.7234	0%
Under-expressed in melanomas	hsa-let-7i	-0.0398	0%	0.2121	0%
Under-expressed in melanomas	hsa-mir-194	-0.0254	0%	0.1355	0%
Under-expressed in melanomas	hsa-mir-211	-0.0248	0%	0.1321	0%
Under-expressed in melanomas	hsa-mir-602	-0.0177	0%	0.0945	0%
Under-expressed in melanomas	hsa-mir-582	-0.0148	0%	0.079	0%
Under-expressed in melanomas	hsa-mir-454	-0.0091	0%	0.0484	0%
Under-expressed in melanomas	hsa-mir-132	-0.0082	0%	0.0436	0%
