Tissue	Methylation Gene	CpG ID	Expression Gene	Transcript ID	Correlation1	Gene Name
Blood	MSX1	cg14167596	APOE	ILMN_1740938	0.76	Apolipoprotein E
Blood	MSX1	cg14167596	CGA	ILMN_1734176	0.7	Glycoprotein Hormones, Alpha Polypeptide
Blood	MSX1	cg03199651	KRT6C	ILMN_1754576	0.69	Keratin 6 C
Blood	MSX1	cg14167596	PAPPA	ILMN_1721770	0.67	Protein Kinase C And Casein Kinase Substrate in Neurons 1
Blood	MSX1	cg14167596	PSG4	ILMN_1693397	0.67	Pregnancy Specific Beta-1-Glycoprotein 4
Blood	MSX1	cg26615830	DCN	ILMN_2347145	0.65	Decorin
Blood	MSX1	cg14167596	PSG6	ILMN_2309615	0.65	Pregnancy Specific Beta-1-Glycoprotein 6
Blood	MSX1	cg14167596	CSH1	ILMN_1693617	0.65	Chorionic somatomammotropin hormone 1 (placental lactogen)
Blood	MSX1	cg14167596	GH2	ILMN_1659354	0.65	Growth Hormone 2
Blood	MSX1	cg14167596	ADAM12	ILMN_1726266	0.65	ADAM Metallopeptidase Domain 12
Placenta	CDK2	cg04108502	CXCL11	ILMN_2067890	0.74	Chemokine (C-X-C Motif) Ligand 11
Placenta	CDK2	cg04108502	HLA-DPB1	ILMN_1749070	0.7	Major Histocompatibility Complex, Classii, DP Beta 1
Placenta	CDK2	cg04108502	CXCL9	ILMN_1745356	0.68	Chemokine (C-X-C Motif) Ligand 9
Placenta	CDK2	cg04108502	GBP4	ILMN_1771385	0.68	Guanylate Binding Protein 4
Placenta	CDK2	cg04108502	GBP5	ILMN_2114568	0.67	Guanylate Binding Protein 5
Placenta	CDK2	cg04108502	UBD	ILMN_1678841	0.66	Ubiquitin D
Placenta	CDK2	cg04108502	VCY	ILMN_1683872	0.66	Variable charge, Y-linked
Placenta	CDK2	cg04108502	HLA-DRB3	ILMN_1717261	0.66	Major Histocompatibility Complex, Class II, DR Beta 3
Placenta	CDK2	cg04108502	CD3D	ILMN_2261416	0.65	CD3d molecule, delta (CD3-TCR complex)
Placenta	CDK2	cg04108502	CETP	ILMN_1681882	0.65	Cholesteryl ester transfer protein, plasma
Placenta	GRB10	cg20651681	SHROOM2	ILMN_1681777	0.68	Shroom Family Member 2
Placenta	GRB10	cg20651681	MESDC1	ILMN_1781565	0.67	Mesoderm Development Candidate 1
Placenta	GRB10	cg20651681	CCDC146	ILMN_1790555	0.67	Coiled-Coil Domain Containing 146
Placenta	GRB10	cg20651681	VANGL2	ILMN_1715647	0.67	Vang-Like2 (Vangogh, Drosophila)
Placenta	GRB10	cg06790324	SCG2	ILMN_1703178	0.66	Secretogranin II
Placenta	GRB10	cg20651681	STGC3	ILMN_1807244	0.66	hypothetical STGC3
Placenta	GRB10	cg06790324	ABHD14B	ILMN_2227533	0.66	Ab Hydrolase Domain Containing 14B
Placenta	GRB10	cg20651681	TLL1	ILMN_1699814	0.66	Tolloid-Like 1
Placenta	GRB10	cg20651681	SOD1	ILMN_1662438	-0.65	Superoxide Dismutase 1, Soluble
Placenta	GRB10	cg06790324	INPP5E	ILMN_1811301	0.65	Inositol polyphosphate-5-phosphatase, 72 kDa
