Probe Name	Genbank Accession Number	Gene	Gene	Fold Change	Developmental stage
A_70_P069356	EE752033	Homo sapiens selenoprotein I	SELI	15.35	70 d
A_70_P016291	EE793140	Homo sapiens Rho-related BTB domain containing 3	RHOBTB3	5.16	70 d
A_70_P006561	EE781286	Homo sapiens nucleolar protein 7	NOL7	4.54	70 d
A_70_P004621	EE863207	Homo sapiens signal transducer and activator of transcription 3	STAT3	2.38	70 d
A_70_P001706	FE033261	Homo sapiens aldolase A, fructose-bisphosphate, transcript variant 1	ALDOA	2.28	70 d
A_70_P056812	NM_001009763	Homo sapiens leptin receptor	LEPR	2.24	70 d
A_70_P005526	CO202686	Homo sapiens stathmin-like 2	STMN2	8.23	85 d
A_70_P016291	EE793140	Homo sapiens Rho-related BTB domain containing 3	RHOBTB3	5.99	85 d
A_70_P068196	EE779349	Homo sapiens trefoil factor 3	TFF3	5.19	85 d
A_70_P039551	NM_001009266	Homo sapiens proopiomelanocortin	POMC	5	85 d
A_70_P037096	EE773353	Homo sapiens phosphoinositide-3-kinase, regulatory subunit 1 (alpha), transcript variant 2	PIK3R1	2.77	85 d
A_70_P001731	EE780294	Homo sapiens trafficking protein, kinesin-binding 1	TRAK1	8.04	100 d
A_70_P017916	EE828626	Homo sapiens S100 calcium-binding protein A11	S100A11	8.03	100 d
A_70_P032741	CF116713	Bos taurus defensin, beta	DEFB	7.09	100 d
A_70_P001411	EE873259	Bos taurus secretoglobin, family 1D, member 2	SCGB1D2	5.59	100 d
A_70_P039326	NM_001009410	Homo sapiens thyroid-stimulating hormone receptor	TSHR	4.5	100 d
A_70_P045271	EE788300	Homo sapiens paraoxonase 1	PON1	4.01	100 d
A_70_P068131	DQ152973	Homo sapiens lymphoid enhancer-binding factor1	LEF-1	2.23	100 d
A_70_P035741	FE033512	Bos taurus X (inactive)-specific transcript, noncoding RNA	XIST	65.59	120 d
A_70_P005526	CO202686	Homo sapiens stathmin-like 2	STMN2	21.27	120 d
A_70_P018856	EE791277	Homo sapiens ATP-binding cassette, subfamily B (MDR/TAP), member 4	ABCB4	15.37	120 d
A_70_P024811	EE777383	Homo sapiens epithelial cell adhesion molecule	EPCAM	7.16	120 d
A_70_P019481	EE828813	Homo sapiens transformation/transcription domain-associated protein	TRRAP	4.92	120 d
A_70_P030147	NM_001009261	Homo sapiens prion protein 2 (doublet)	PRND	4.84	120 d
A_70_P025536	FE022583	Homo sapiens glutamate receptor, metabotropic 8	GRM8	4.62	120 d
A_70_P051317	NM_001009479	Homo sapiens natriuretic peptide precursor C	NPPC	4.46	120 d
A_70_P030402	NM_001093787	Homo sapiens kallikrein 1 human	KLK1	4.37	120 d
A_70_P051037	NM_001009451	Homo sapiens solute carrier family 2 (facilitated glucose/fructose transporter), member 5	SLC2A5	8.14	135 d
A_70_P035536	DY520412	Homo sapiens ankyrin repeat domain 1 (cardiac muscle)	ANKRD1	5.37	135 d
A_70_P016291	EE793140	Homo sapiens Rho-related BTB domain containing 3	RHOBTB3	4.14	135 d
