Gene ID	Gene Name	Ratio	Describion	Functional Category(ies)
ORF08416	Hypothetical protein	2.08	Conserved hypothetical protein	Conserved hypothetical protein
Rv0692	Rv0692	2.16	Conserved hypothetical protein	Conserved hypothetical protein
Rv1245c	Rv1245c	2.24	Short-chain type dehydrogenase/reductase	Intermediary metabolism and respiration
Rv1285	cysD	1.92	Sulfate adenylyltransferase	Intermediary metabolism and respiration
Rv1665	pks11	1.97	Possible chalcone synthase PKS 11	Lipid metabolism
Rv1687c	Rv1687c	2.09	Conserved ATP-binding protein ABC transporter	Cell wall and cell processes
Rv1806	PE	2.41	PE family protein	PE/PPE
Rv2392	cysH	2.13	3-Phosphoadenosine 5-phosphosulfate reductase	Intermediary metabolism and respiration
Rv3083	Rv3083	3.79	Monooxygenase	Intermediary metabolism and respiration
Rv3084	lipR	2.71	Acetylhydrolase	Intermediary metabolism and respiration
Rv3085	Rv3085	2.24	Short-chain type dehydrogenase	Intermediary metabolism and respiration
Rv3086	adhD	3.93	Short-chain type dehydrogenase	Intermediary metabolism and respiration
Rv3087	Rv3087	4.36	Zinc-type alcohol dehydrogenase	Intermediary metabolism and respiration
Rv3088	Rv3088	5.04	Conserved hypothetical protein	Intermediary metabolism and respiration
Rv3089	fadD13	3.6	Chain-fatty-acid-coenzyme A ligase	Intermediary metabolism and respiration
Rv3741c	Rv3741c	2.16	Oxidoreductase	Intermediary metabolism and respiration
Rv3742c	Rv3742c	2.79	Oxidoreductase	Intermediary metabolism and respiration
Rv0046c	Rv0046c	0.46	Myo-inositol-1-phosphate synthase IN01	Intermediary metabolism and respiration
Rv0682	rpsL	0.53	30S ribosomal protein	Information pathways
Rv1297	rho	0.48	Transcription termination	Information pathways
Rv2971	Rv2971	0.54	Oxidoreductase	Intermediary metabolism and respiration
Rv2987c	leuD	0.48	Isopropylmalate isomerase	Intermediary metabolism and respiration
Rv2989	Rv2989	0.54	Transcriptional regulatory protein	Regulatory proteins
Rv3407	Rv3407	0.43	Conserved hypothetical protein, antitoxin	Virulence, detoxification, adaptation
