Probe Set ID	corr	Gene Symbol	Gene Title
218471_s_at	0.4	BBS1	Bardet-Biedl syndrome 1
40093_at	0.4	BCAM	basal cell adhesion molecule (Lutheran blood group)
204508_s_at	0.39	CA12	carbonic anhydrase XII
220168_at	0.39	CASC1	cancer susceptibility candidate 1
221710_x_at	0.41	FAM176B	family with sequence similarity 176, member B
205354_at	0.4	GAMT	guanidinoacetate N-methyltransferase
209604_s_at	0.39	GATA3	GATA binding protein 3
205696_s_at	0.39	GFRA1	GDNF family receptor alpha 1
205201_at	0.39	GLI3	GLI family zinc finger 3
204934_s_at	0.39	HPN	hepsin
212195_at	0.4	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)
212496_s_at	0.41	KDM4B	lysine (K)-specific demethylase 4B
216264_s_at	0.4	LAMB2	laminin, beta 2 (laminin S)
205381_at	0.39	LRRC17	leucine rich repeat containing 17
218437_s_at	0.39	LZTFL1	leucine zipper transcription factor-like 1
208682_s_at	0.39	MAGED2	melanoma antigen family D, 2
203929_s_at	0.39	MAPT	microtubule-associated protein tau
204735_at	0.38	PDE4A	phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)
208305_at	0.41	PGR	progesterone receptor
219197_s_at	0.44	SCUBE2	signal peptide, CUB domain, EGF-like 2
202088_at	0.38	SLC39A6	solute carrier family 39 (zinc transporter), member 6
213103_at	0.39	STARD13	StAR-related lipid transfer (START) domain containing 13
203438_at	0.38	STC2	stanniocalcin 2
220917_s_at	0.4	WDR19	WD repeat domain 19
208079_s_at	-0.4	AURKA	aurora kinase A
209642_at	-0.41	BUB1	budding uninhibited by benzimidazoles 1 homolog (yeast)
218447_at	-0.38	C16orf61	chromosome 16 open reading frame 61
213226_at	-0.4	CCNA2	cyclin A2
202870_s_at	-0.4	CDC20	cell division cycle 20 homolog (S. cerevisiae)
221520_s_at	-0.39	CDCA8	cell division cycle associated 8
204962_s_at	-0.38	CENPA	centromere protein A
219555_s_at	-0.38	CENPN	centromere protein N
218542_at	-0.39	CEP55	centrosomal protein 55kDa
204244_s_at	-0.44	DBF4	DBF4 homolog (S. cerevisiae)
201584_s_at	-0.39	DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
203764_at	-0.39	DLGAP5	discs, large (Drosophila) homolog-associated protein 5
218131_s_at	-0.41	GATAD2A	GATA zinc finger domain containing 2A
204318_s_at	-0.38	GTSE1	G-2 and S-phase expressed 1
218726_at	-0.39	HJURP	Holliday junction recognition protein
209408_at	-0.41	KIF2C	kinesin family member 2C
201088_at	-0.41	KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
203287_at	-0.41	LAD1	ladinin 1
212276_at	-0.4	LPIN1	lipin 1
211042_x_at	-0.39	MCAM	melanoma cell adhesion molecule
204825_at	-0.4	MELK	maternal embryonic leucine zipper kinase
212022_s_at	-0.39	MKI67	antigen identified by monoclonal antibody Ki-67
217499_x_at	-0.39	OR7E37P	olfactory receptor, family 7, subfamily E, member 37 pseudogene
212219_at	-0.42	PSME4	proteasome (prosome, macropain) activator subunit 4
203554_x_at	-0.4	PTTG1	pituitary tumor-transforming 1
201195_s_at	-0.4	SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
204822_at	-0.4	TTK	TTK protein kinase
