Unigene a	Description	Fold change
Hs.38084	Sulfotransferase family, cytosolic, 1C, member 1	16.6
Hs.171731	Solute carrier family 14, member 1	9.7
Hs.274376	Amylase, alpha 1A	8.7
Hs.9728	ALEX1 protein	7.6
Hs.44	Pleiotrophin	6.1
Hs.106070	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	5.8
Hs.79339	Lectin, galactoside-binding, soluble, 3 binding protein	5.5
Hs.123159	Sperm-associated antigen 4	5.4
Hs.279815	Cysteine sulfinic acid decarboxylase	4.9
Hs.155651	Forkhead box A2	4.5
Hs.155530	Interferon, gamma-inducible protein 16	4.4
Hs.288181	Cathepsin H	4.4
Hs.110637	Homeo box A10	4.3
Hs.172684	Vesicle-associated membrane protein 8	4
Hs.30524	Ring finger protein 24	3.9
Hs.39871	Myosin ID	3.8
Hs.38972	Tetraspan 1	3.6
Hs.78068	Carboxypeptidase Z	3.6
Hs.73885	HLA-G histocompatibility antigen, class I, G	3.4
Hs.75106	Clusterin	3.3
Hs.77961	Major histocompatibility complex, class I, B	3.1
Hs.75562	Discoidin domain receptor family, member 1	3.1
Hs.239189	Glutaminase	3
Hs.172210	MUF1 protein	2.8
Hs.18069	Legumain	2.3
Hs.21486	STAT1	1.8
Hs.301763	Formin binding protein 1	1.8
Hs.79069	Cyclin G2	1.7
Hs.111577	Integral membrane protein 2C	1.6
Hs.219614	F-box and leucine-rich repeat protein 11	1.5
