Symbol	CTRL Normalized	CTRL Raw	TSA Normalized	TSA Raw	EZH2 Knockdown Normalized	EZH2 Knockdown Raw	EZH2 Knockdown+Tsa Normalized	EZH2 Knockdown+Tsa Raw	CTRL Normalized	CTRL Raw	TSA Normalized	TSA Raw	DZNep Normalized	DZNep Raw	DZNep+TSA Normalized	DZNep+TSA Raw	CTRL Normalized	CTRL Raw	TSA Normalized	TSA Raw	DZNep Normalized	DZNep Raw	DZNep+TSA Normalized	DZNep+TSA Raw	Map	RefSeq
HLA-DRA	1	26.8	2.4067957	68.9	1.1856077	33.7	7.3173757	217.4	1	-0.4	37.275845	41.7	163.66212	183.5	482.37274	645.6	1	-10	0.9813519	-11	1.0685278	-9	0.9232456	-0.2	6p21.3	NM_019111
HIST1H2BJ	1	587.4	0.7680292	481.9	3.4260027	2134.4	1.9390849	1262.7	1	57.3	0.7862622	50.4	4.2166405	270.9	2.7370145	209.9	1	8.1	3.6467516	30.1	1.5830041	12	1.2423921	10.9	6p22.1	NM_021058
ST6GAL1	1	29.3	1.1055115	34.6	2.1463675	66.7	3.7128747	120.6	1	25.8	0.7379914	21.3	10.52294	304.4	21.424658	739.8	1	94.8	0.7670693	74.1	1.2308358	109.2	1.7812406	182.9	3q27-q28	NM_003032
DDX58	0.99999994	17.9	1.3231902	25.3	8.543654	162.2	7.9975038	158.7	1	38.4	1.1010861	47.3	5.5557423	239.2	5.1484666	264.6	1	43.3	0.49180913	21.7	1.8680729	75.7	0.9829473	46.1	9p12	NM_014314
LGP2	1	-6.5	0.9361702	-3	27.908573	29.6	17.860588	19.8	1	-6.3	0.89390516	-6.4	48.608105	54.5	15.316978	20.5	1	17.4	0.21431823	3.8	1.3080255	21.3	0.18571031	3.5	17q21.2	NM_024119
IFI44	1	6.3	1.0253292	6.9	11.5387745	77.1	15.191666	106.1	1	-2.6	0.89390516	0.4	104.975655	117.7	179.84378	240.7	1	785.7	0.9860981	789.5	0.8921398	656	0.25428322	216.4	1p31.1	NM_006417
SPP1	1	-0.6	0.9361702	-4.8	6.0342855	6.4	12.08747	13.4	1	-4.7	3.575621	4	8.205405	9.2	20.920753	28	1	7.5	0.9420977	7.2	0.28494075	2	1.7972512	14.6	4q21-q25	NM_000582
IL32	1	-10.6	0.9361702	-8	0.94285715	-5	36.53303	40.5	1	-15.6	0.89390516	-13.9	4.5486484	5.1	27.495846	36.8	1	-10.5	0.9813519	-17.5	1.0685278	-9.4	0.9232456	-16.5	16p13.3	NM_001012631
KCNMB3	1	-5.5	0.9361702	-3.5	0.94285715	0.9	6.1339407	6.8	0.99999994	4.7	0.19019258	-2.3	0.1897642	-4.1	3.8630264	24.3	1	7	0.14019313	0.8	0.15264684	-0.4	0.14508146	1.1	3q26.3-q27	NM_014407
UBD	1	-3.5	0.9361702	-1.4	5.1857147	5.5	80.64326	89.4	0.99999994	1.1	0.81264096	-3.9	55.702698	68.7	219.73582	323.5	1	-8.3	8.734032	8.9	8.1208105	7.6	0.9232456	-1.2	6p21.3	NM_006398
SNAI2	1	0	0.9361702	-3.4	0.94285715	-4.3	8.65968	9.6	0.99999994	15.1	0.73406774	12.4	0.15357077	2.6	3.443908	69.6	1	1548.5	0.94979143	1498.7	2.8532486	4134.9	1.8549575	3111.2	8q11	NM_003068
G1P2	1	544.4	1.073569	624.3	11.892399	6866.6	25.555653	15423.2	1	644.7	0.970997	700.3	22.127687	15994.9	6.298501	5434.7	1	333	0.75443274	256	2.8532586	889.2	1.4563991	525.3	1p36.33	NM_005101
TNF	1	4	3.4404254	14.7	10.371429	44	115.89091	513.9	1	5.5	0.16252823	1	47.740536	294.4	238.02118	1752.1	1	-5.8	0.9813519	-10.9	5.2357864	4.9	0.9232456	-11.6	6p21.3	NM_000594
CXCL2	1	-6.1	0.9361702	-5.4	0.94285715	-2.4	60.978584	67.6	1	-17.9	0.89390516	-9.6	4.281081	4.8	273.9125	366.6	1	86.5	1.2264062	108.1	2.484173	201.1	1.1431168	107.1	4q21	NM_002089
FBLN5	1	18.3	0.70596445	13.8	0.67494154	13.1	3.2237203	65.4	1	8.9	0.92403674	9.2	1.292742	12.9	16.882679	201.1	1	612.1	1.2782747	797.3	1.1559862	662.2	1.1484385	761.4	14q32.1	NM_006329
