GeneID	Gene Name	Gene Symbol	Fold Induction 2mM	Fold Induction 5mM
4050	"lymphotoxin beta (TNF superfamily, member 3)"	LTB	-2.47	-5.9
8270	"L antigen family, member 3"	LAGE3	-2.25	-2.94
1595	"cytochrome P450, family 51, subfamily A, polypeptide 1"	CYP51A1	-2.75	-3.71
2222	farnesyl-diphosphate farnesyltransferase 1	FDFT1	-2.48	-2.61
1104	regulator of chromosome condensation 1	RCC1	-2.36	-5.24
949	"scavenger receptor class B, member 1"	SCARB1	-2.32	-2.59
3662	interferon regulatory factor 4	IRF4	-3.77	-3.43
10799	ribonuclease P/MRP 40kDa subunit	RPP40	-2.25	-2.8
8266	ubiquitin-like 4A	UBL4A	-2.3	-3.57
22934	ribose 5-phosphate isomerase A ribose 5-phosphate epimerase)	RPIA	-2.72	-4.02
5778	"protein tyrosine phosphatase, non-receptor type 7"	PTPN7	-4.66	-5.55
6612	SMT3 suppressor of mif two 3 homolog 3	SUMO3	-3.08	-3.15
7371	uridine-cytidine kinase 2	UCK2	-2.68	-4.54
11243	polyamine-modulated factor 1	PMF1	-2.35	-2.8
7132	"tumor necrosis factor receptor superfamily, member 1A"	TNFRSF1A	-3.53	-4.93
1503	CTP synthase	CTPS	-2.97	-7.09
23450	"splicing factor 3b, subunit 3, 130kDa "	SF3B3	-2.67	-3.47
2826	chemokine (C-C motif) receptor 10	CCR10	-2.38	-3.57
6626	small nuclear ribonucleoprotein polypeptide A	SNRPA	-2.4	-2.82
6382	syndecan 1	SDC1	-3.19	-6.38
10492	"synaptotagmin binding, cytoplasmic RNA interacting protein"	SYNCRIP	-2.17	-3.94
5699	"proteasome (prosome, macropain) subunit, beta type, 10"	PSMB10	-3.56	-7.83
3183	heterogeneous nuclear ribonucleoprotein C (C1/C2)	HNRNPC	-2.5	-2.28
2876	glutathione peroxidase 1	GPX1	-2.71	-3.22
598	BCL2-like 1	BCL2L1	-2.39	-6.04
4176	minichromosome maintenance complex component 7	MCM7	-3	-7.17
54923	Lck interacting transmembrane adaptor 1	LIME1	-3.69	-8.08
4174	minichromosome maintenance complex component 5	MCM5	-2.87	-5.58
10735	stromal antigen 2	STAG2	-2.4	-2.97
637	BH3 interacting domain death agonist	BID	-2.4	-3.33
51506	ubiquitin-fold modifier conjugating enzyme 1	UFC1	-2.23	-2.51
51293	CD320 molecule	CD320	-2.57	-3.6
5163	"pyruvate dehydrogenase kinase, isozyme 1"	PDK1	-2.57	-3.87
5292	pim-1 oncogene	PIM1	-2.97	-6.67
6574	"solute carrier family 20, (phosphate transporter), member 1"	SLC20A1	-2.27	-3.08
5307	paired-like homeodomain 1	PITX1	-2.37	-10.9
25840	methyltransferase like 7A	METTL7A	2.9	2.99
81671	transmembrane protein 49	TMEM49	3.28	2.55
23089	paternally expressed 10	PEG10	3.09	14.42
390	Rho family GTPase 3	RND3	3.45	3.38
5996	regulator of G-protein signaling 1	RGS1	2.73	6.38
4628	"myosin, heavy chain 10, non-muscle"	MYH10	2.6	3.25
7108	transmembrane 7 superfamily member 2	TM7SF2	3.2	5.7
3956	"lectin, galactoside-binding, soluble, 1"	LGALS1	2.78	3.12
694	"B-cell translocation gene 1, anti-proliferative"	BTG1	2.23	6.94
8971	"H1 histone family, member X"	H1FX	2.17	3.35
10362	high-mobility group 20B	HMG20B	2.19	2.68
4000	lamin A/C	LMNA	2.59	4.15
8804	cellular repressor of E1A-stimulated genes 1	CREG1	2.16	2.38
10409	"brain abundant, membrane attached signal protein 1"	BASP1	4.63	5.95
6348	chemokine (C-C motif) ligand 3	CCL3	3	2.38
