Gene Name	Expression
Thrombospondin 1	Up-Regulated
iduronate 2-sulfatase (Hunter syndrome)	Up-Regulated
collagen, type VI, alpha 1	Up-Regulated
calmodulin-like 5	Up-Regulated
Olfactory receptor, family 7, subfamily E, member 19 pseudogene	Up-Regulated
Ral guanine nucleotide exchange factor RalGPS1A	Up-Regulated
T-cell leukemia, homeobox 2	Up-Regulated
guanylate cyclase 2F, retinal	Up-Regulated
ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)	Up-Regulated
angiotensin 1 converting enzyme (peptidyl-dipeptidase A) 1	Up-Regulated
MRNA; cDNA DKFZp667N055 (from clone DKFZp667N055)	Up-Regulated
CDNA FLJ14293 fis, clone PLACE1007866	Up-Regulated
Zic family member 1 (odd-paired homolog, Drosophila)	Up-Regulated
GREB1 protein	Up-Regulated
dopamine receptor D3	Up-Regulated
aspartate beta-hydroxylase	Up-Regulated
hepatorna-derived growth factor, related protein 3	Up-Regulated
angiotensin II receptor, type 2	Up-Regulated
Clone H10 anti-HLA-A2/A28 immunoglobulin light chain variable region mRNA	Up-Regulated
achaete-scute complex-like 1 (Drosophila)	Up-Regulated
