Average change	Abbreviation	Gene	Function
2.5	CETN2	Centrin, EF-hand protein, 2	Cell cycle
-2.7	BCAT1	Branched chain aminotransferase 1, cytosolic	Cell cycle
-2.4	POLE3	Polymerase (DNA directed), epsilon 3 (p17 subunit)	Cell cycle
3.6	SERPINI1	Serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1	Development
-12.1	HASH1	Achaete–scute complex (Drosophila) homolog-like 1	Development
4.3	EGR1	Early growth response 1	Gene expression
-7.2	HNRPD	Heterogeneous nuclear ribonucleoprotein D	Gene expression
-5.6	EIF5A	Eukaryotic translation initiation factor 5A	Gene expression
-5.2	HSPB1	Heat shock 27 kDa protein 1	Gene expression
-3.9	BAZ1A	Bromodomain adjacent to zinc finger domain, 1A	Gene expression
-3.7	PTBP1	Polypyrimidine tract binding protein	Gene expression
-3.4	HSF1	Heat shock transcription factor 1	Gene expression
-3.1	EEF1A2	Eukaryotic translation elongation factor 1 alpha 2	Gene expression
-3	CNOT3	CCR4-NOT transcription complex, subunit 3	Gene expression
-3	MTA1	Metastasis-associated 1	Gene expression
-2.3	MAZ	MYC-associated zinc finger protein	Gene expression
-2.1	LSM7	U6 snRNA-associated Sm-like protein LSm7	Gene expression
9	ALDOC	Aldolase C, fructose-bisphosphate	Metabolism
7.5	HEP27	Short-chain alcohol dehydrogenase (DHRS2)	Metabolism
-7	ZNF423	Zinc finger protein 423	Metabolism
-3.9	PHGDH	Phosphoglycerate dehydrogenase	Metabolism
-3.6	FKBP4	FK506-binding protein 4 (59 kDa)	Metabolism
-3.4	OTUB1	OUT domain, ubiquitin aldehyde binding 1	Metabolism
-2.5	PGLS	6-Phosphogluconolactonase	Metabolism
3.7	ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	Signaling
2.8	MT1X	Metallothionein 1×	Signaling
2.6	MT2A	Metallothionein 2A	Signaling
-12.9	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	Signaling
-3.3	AES	Amino-terminal enhancer of split	Signaling
-2.6	BANF1	Breakpoint cluster region protein, uterine leiomyoma, 1	Signaling
4.3	NEF3	Neurofilament 3 (150 kDa medium)	Structure
-3.2	WASPIP	Wiskott–Aldrich syndrome protein interacting protein	Structure
-2.9	RHOBTB3	Rho-related BTB domain containing 3	Structure
-2.6	BTBD2	BTB (POZ) domain containing 2	Structure
-2.4	MPDU1	Mannose-P-dolichol utilization defect 1	Structure
-2.3	TLN1	Talin 1	Structure
-2.9	ARS2	Arsenate resistance protein ARS2	Unknown
-2.2	HELSNF1	mRNA-helicase with SNF2 domain 1	Unknown
