Curated Gene Symbol	Gene Symbol	Description	Fold Change	p-value
TM4SF1	TM4SF1	Transmembrane 4 superfamily member 1	31.899	0.0000127
TM4SF1	TM4SF1	Transmembrane 4 superfamily member 1	29.644	0.00000512
TM4SF1	TM4SF1	Transmembrane 4 superfamily member 1	25.646	0.0000262
TSPAN13	TM4SF13	Transmembrane 4 superfamily member 13	12.675	0.000254
FABP5	FABP5	Fatty acid binding protein 5 (psoriasis-associated)	10.582	0.0035
G0S2	G0S2	Putative lymphocyte G0/G1 switch gene	10.572	0.0036
PTGS1	PTGS1	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	9.926	0.0000167
DTL	RAMP	RA-regulated nuclear matrix-associated protein	9.155	0.000113
RAD51AP1	RAD51AP1	RAD51 associated protein 1	9.132	0.00919
KIAA1324L	FLJ31340	Hypothetical protein FLJ31340	9.02	0.0203
