MirProbe	Adult cerebellum med	min	max	Medulloblastoma med	min	max	p
hsa-let-7a	0.877	5.40E-01	1.46E+00	0.271	0.058	1.282	<0.001
hsa-let-7b	0.863	4.86E-01	1.752	0.22	0.039	0.517	<0.001
hsa-let-7d	1.071	5.59E-01	1.458	0.08	0	0.262	<0.001
hsa-let-7e	1.155	4.63E-01	1.432	0.121	0.011	0.61	<0.001
hsa-let-7f	0.954	5.21E-01	1.563	0.23	0.032	0.545	<0.001
hsa-let-7g	0.964	5.21E-01	1.334	0.188	0.046	0.464	<0.001
hsa-let-7i	1.024	6.25E-01	1.389	0.116	0.024	0.318	<0.001
hsa-mir-7	1.222	3.49E-01	1.41	0.222	0.012	9.249	0.001
hsa-mir-17	1.023	5.98E-01	1.458	7.678	0.618	45.131	<0.001
hsa-mir-18a	0.98	3.41E-01	1.824	8.067	0.36	29.467	<0.001
hsa-mir-19a	0.838	5.88E-01	1.558	8.024	0.811	50.391	<0.001
hsa-mir-20a	0.887	3.87E-01	1.674	6.181	0.502	56.576	<0.001
hsa-mir-21	1.179	5.44E-01	1.561	2.701	0.214	9.651	0.002
hsa-mir-22	0.901	3.39E-01	1.594	0.312	0.047	1.965	<0.001
hsa-mir-25	0.815	3.78E-01	1.649	3.295	0	10.733	0.005
hsa-mir-26a	1.079	4.50E-01	1.403	0.142	0.014	0.541	<0.001
hsa-mir-26b	1.196	3.45E-01	1.786	0.296	0	0.73	<0.001
hsa-mir-29a	0.898	4.81E-01	1.627	0.057	0.006	0.707	<0.001
hsa-mir-29b	1.101	3.93E-01	1.408	0.068	0.003	1.5	<0.001
hsa-mir-29c	1.015	5.17E-01	1.587	0.073	0.003	0.891	<0.001
hsa-mir-30b	0.979	3.79E-01	1.695	0.322	0.028	0.881	<0.001
hsa-mir-30c	0.974	4.49E-01	1.677	0.355	0.027	1.018	<0.001
hsa-mir-31	0.628	2.14E-01	2.176	0.003	0	0.164	<0.001
hsa-mir-98	0.722	2.80E-01	2.267	0.26	0.013	1.724	0.007
hsa-mir-103	1.113	5.29E-01	1.422	0.162	0.026	0.778	<0.001
hsa-mir-106a	0.967	3.24E-01	1.895	8.454	0.408	48.728	<0.001
hsa-mir-106b	0.98	3.70E-01	1.714	3.962	0.825	30.05	<0.001
hsa-mir-107	0.91	5.41E-01	1.744	0.098	0.006	0.261	<0.001
hsa-mir-124a	1.017	5.56E-01	1.492	0.068	0.007	0.326	<0.001
hsa-mir-125a	0.887	4.58E-01	1.871	0.154	0.044	0.637	<0.001
hsa-mir-127	0.963	4.46E-01	1.743	0.032	0.002	0.532	<0.001
hsa-mir-128a	0.947	5.93E-01	1.468	0.032	0.001	0.496	<0.001
hsa-mir-128b	0.934	6.26E-01	1.35E+00	0.034	0.001	0.927	<0.001
hsa-mir-129	1.006	1.62E-01	1.39	0.01	0	0.588	<0.001
hsa-mir-132	1.046	5.78E-01	1.379	0.141	0.016	0.526	<0.001
hsa-mir-133b	0.938	5.72E-01	1.614	0.084	0.007	1.783	<0.001
hsa-mir-134	1.042	5.42E-01	1.435	0.057	0.005	0.739	<0.001
hsa-mir-137	0.645	4.11E-01	2.669	20.008	0	441.591	0.001
hsa-mir-138	0.729	4.07E-01	1.895	0.04	0	0.918	<0.001
hsa-mir-143	0.989	6.09E-01	1.42E+00	0.351	0.024	1.287	<0.001
hsa-mir-145	0.953	4.56E-01	1.564	0.423	0.034	2.431	0.009
hsa-mir-148a	1.024	4.22E-01	1.486	2.917	0.171	26.346	0.006
hsa-mir-149	1.07	5.96E-01	1.357	0.154	0.013	1.488	<0.001
hsa-mir-150	0.846	3.13E-01	1.607	0.209	0.016	1.241	<0.001
hsa-mir-153	0.973	0.145	1.958	0.068	0.003	3.188	<0.001
hsa-mir-154	9.84E-01	0.494	1.35E+00	0.04	0.002	0.526	<0.001
hsa-mir-181b	1.028	0.345	1.784	0.147	0.017	1.444	<0.001
hsa-mir-181c	0.985	0.423	1.666	0.47	0	4.134	0.033
hsa-mir-187	1.015	0.435	1.506	0.041	0	1.492	<0.001
hsa-mir-190	0.809	0.497	1.704	0.142	0	1.94	<0.001
hsa-mir-191	1.042	0.686	1.398	0.322	0.034	1.712	<0.001
hsa-mir-192	0.847	0.579	2.021	0.164	0.016	1.075	<0.001
hsa-mir-194	0.805	0.219	2.558	0.126	0	0.635	<0.001
hsa-mir-199b	0.67	0.307	2.634	2.531	0.001	56.948	0.033
hsa-mir-212	0.955	0.467	1.586	0.216	0.031	0.837	<0.001
hsa-mir-219	0.783	0.229	3.005	0.058	0.002	0.452	<0.001
hsa-mir-320	0.946	0.473	1.572	0.204	0.027	1.323	<0.001
hsa-mir-323	0.978	0.526	1.902	0.027	0.002	0.651	<0.001
hsa-mir-324	0.865	0.478	1.528	0.213	0.006	0.894	<0.001
hsa-mir-324	0.83	0.361	2.101	0.22	0.057	0.81	<0.001
hsa-mir-326	0.938	0.476	1.429	0.081	0	0.545	<0.001
hsa-mir-328	1.012	0.296	1.73	0.07	0.008	0.5	<0.001
hsa-mir-330	1.013	0.431	1.402	0.041	0.002	0.426	<0.001
