Significant regulation	Affy ID	Gene	Human product	EC-specific expression (q-value)	EC/Non-EC Transcript ratio (per million)	Glioblastoma	Lung cancer (adenocarcioma)	Colon cancer	Renal carcinoma (clear cell)
Down E10 to E14	Gga.1714.1.S1_at	A2M	alpha-2-macroglobulin	0	208.9090909	1	AMB	0	0
Down E10 to E14	GgaAffx.9045.1.S1_at	A2M	alpha-2-macroglobulin	0	208.9090909	1	AMB	0	0
Up E7 to E10	Gga.14414.1.S1_at	ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	0.26	6.4	-1	0	1	0
Up E7 to E10	GgaAffx.23840.1.S1_s_at	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	0.62	2.133333333	-1	-1	-1	-1
Up E7 to E10	GgaAffx.25620.1.S1_s_at	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	0.3	3.486486486	0	1	0	-1
Down E10 to E14	GgaAffx.6110.1.S1_s_at	ARHGAP11A	Rho GTPase activating protein 11A	0.62	2.133333333	1	0	0	0
Up E10 to E14	GgaAffx.11713.1.S1_s_at	ARHGEF3	Rho guanine nucleotide exchange factor (GEF) 3	0.29	9.142857143	-1	-1	0	0
Up E7 to E10	Gga.19935.1.A1_at	ARSJ	arylsulfatase family, member J	0.01	23	1	0	0	0
Down E10 to E14	Gga.17477.1.S1_at	ATP13A3	ATPase type 13A3	0.53	2.186440678	1	0	0	0
Up E10 to E14	GgaAffx.12270.1.S1_at	ATP13A4	ATPase type 13A4	0.29	--	1	0	0	0
Up E10 to E14	GgaAffx.4498.1.S1_s_at	ATP13A4	ATPase type 13A4	0.29	--	1	0	0	0
Down E10 to E14	GgaAffx.24308.1.S1_s_at	BCLAF1	BCL2-associated transcription factor 1	0.02	5.666666667	AMB	0	0	0
Up E7 to E10	Gga.4924.1.S1_at	BRD2	bromodomain containing 2	0	4.672727273	1	AMB	0	0
Up E7 to E10	Gga.17605.1.S1_s_at	BSDC1	BSD domain containing 1	0.19	4.351351351	0	0	0	0
Down E5 to E7	GgaAffx.20497.1.S1_at	C10orf78	chromosome 10 open reading frame 78	0.29	--	0	0	0	0
Up E7 to E10	GgaAffx.20684.1.S1_at	C12orf41	chromosome 12 open reading frame 41	0.57	4.571428571	0	0	0	0
