Gene Name	ID siRNA_A	ID siRNA_B
BARD1	SI00299383	SI02664354
CDC23	SI02653112	SI02653413
CRY2	SI00354473	SI00354480
DCLRE1C	SI00133945	SI02645286
DDIT3	SI00059535	SI00059528
DKC1	SI00364581	SI00364602
DMC1	SI00094374	SI00094367
FANCD2	SI00145306	SI00145292
GINS2	SI02653056	SI00131404
HDAC3	SI00057323	SI02653581
HDAC4	SI00083958	SI00057316
HDAC6	SI02757769	SI00083951
HUS1	SI02664837	SI02663808
LIG1	SI02757482	SI02633449
LIG3	SI02663549	SI02663542
MCM3	SI02664872	SI02757489
MNAT1	SI00037716	SI02664879
MSH4	SI00037877	SI00037723
PCNA	SI02653357	SI02628598
PMS1	SI00011347	SI02653287
PMS2	SI03115049	SI00011333
POLB	SI00041398	SI00011375
PSMC4	SI00301469	SI02663605
RAD50	SI02653826	SI02665208
RNF14	SI00062258	SI02653742
RRM2B	SI02664977	SI00062244
RSF1	SI00117005	SI02664984
SIRT6	SI02777698	SI00116991
SMUG1	SI00104706	SI00116592
TYMS	SI00021609	SI00104699
