General Function	Specific Function	Biological Process	Gene Symbol	Entrez GeneID	Description	5 dpi	6 dpi	7 dpi	8 dpi
Immune response	Transcription	Interferon type I biosynthetic process	Irf9	16391	Interferon dependent positive acting transcription factor 3 gamma	3.52	5.59	4.6	4.68
Immune response	Transcription	Interferon type I biosynthetic process	Irf7	54123	Interferon regulatory factor 7	3.01	5.24	3.9	4.99
Immune response	Transcription	Interferon type I biosynthetic process	Irf8	15900	Interferon regulatory factor 8	2.21	1.88	3.05	8
Immune response	Transcription	Cytokine and chemokine signalling	Stat1	20846	Signal transducer and activator of transcription 1	7.98	16.6	12.6	13.7
Immune response	Transcription	Cytokine and chemokine signalling	Stat2	20847	Signal transducer and activator of transcription 2	1.62	4.78	2.68	5.36
Immune response	Transcription	Cytokine and chemokine signalling	Nmi	64685	N-myc (and Stat1) interactor	2.78	3.47	2.4	3.8
Immune response	Transcription	Positive regulator of interleukin-12	Irf1	16362	Interferon regulatory factor 1	3.23	2.55	1.79	7.12
Immune response	Transcription	PML body	Pml	18854	Promyelocytic leukemia	1.97	2.3	2.23	2.13
Immune response	Transcription	PML body	Sp100	20684	Nuclear antigen Sp100	3.03	3.38	1.72	2.86
Immune response	Endopeptidase	Antigen presentation	Psmb8	16913	Proteosome (prosome, macropain) subunit, beta type 8 (large multifunctional protease 7)	4.03	6.51	4.68	10.8
Immune response	Endopeptidase	Antigen presentation	Psmb9	16912	Proteosome (prosome, macropain) subunit, beta type 9 (large multifunctional protease 2)	3.96	6.56	2.43	14.3
Immune response	Transport	Antigen presentation	Tap1	21354	Transporter 1, ATP-binding cassette, subfamily B (MDR/TAP)	2.99	4.42	2.64	6.59
Immune response	Transport	Antigen presentation	Tap2	21355	Transporter 2, ATP-binding cassette, subfamily B (MDR/TAP)	3.59	2.75	2.84	13.1
Immune response	Antigen binding	Antigen presentation	Lilrb4	14728	Leukocyte immunoglobulin-like receptor, subfamily B, member 4	3.08	1.71	1.18	3.51
Immune response	MHC class II presentation	Antigen presentation	H2-Ea	14968	Histocompatibility 2, class II antigen E alpha	1.55	2.97	2.3	4.58
Immune response	MHC class II presentation	Antigen presentation	H2-Ab1	14961	Histocompatibility 2, class II antigen A, beta 1	3.1	1.45	1.27	7.67
Immune response	MHC class II presentation	Antigen presentation	Ctss	13040	Cathepsin S	2.64	2.81	2.98	6.78
