Gene	Direction of change	P value	Function
Cytochrome c oxidase subunit VII polypeptide 2	Up in SHR	4.39E-02	Oxidative phosphorylation
NADH dehydrogenase (ubiquinine) Fe-S protein 7	Up in SHR	1.66E-02	Oxidative phosphorylation
Mitochondrial ribosomal protein L18	Up in SHR	5.06E-03	Oxidative phosphorylation
Mitochondrial ribosomal protein L43	Down in SHR	3.15E-03	Oxidative phosphorylation
Mitochondrial ribosomal protein L48	Down in SHR	3.47E-03	Oxidative phosphorylation
Methylmalonyl coenzyme A mutase	Down in SHR	3.76E-04	Oxidative phosphorylation
Demethyl Q7	Up in SHR	1.28E-03	Oxidative phosphorylation
Brain glycogen phosphorylase	Up in SHR	4.91E-02	Carbohydrate and lipid metabolisms
Acyl-coenzyme A dehydrogenase family member 9	Up in SHR	1.16E-03	Carbohydrate and lipid metabolisms
Acyl-coenzyme A long-chain family member 3	Down in SHR	3.61E-03	Carbohydrate and lipid metabolisms
Carnitine O-octanoyltransferase	Down in SHR	4.23E-03	Carbohydrate and lipid metabolisms
Branched chain ketoacid dehydrogenase kinase	Up in SHR	4.98E-04	Amino acid metabolism
Cystathionine beta synthase	Up in SHR	2.10E-03	Amino acid metabolism
Beta-2 microglobulin	Up in SHR	2.21E-03	Amino acid metabolism
Glutathione peroxidase 1	Up in SHR	5.29E-03	Amino acid metabolism
C-terminal binding protein	Up in SHR	5.05E-04	Amino acid metabolism
Lectin	Up in SHR	4.18E-04	Amino acid metabolism
Neuropilin and tolloid-like 1	Down in SHR	7.92E-03	CNS development and function
Neuron navigator 3	Down in SHR	9.19E-03	CNS development and function
Somatostatin	Down in SHR	9.66E-03	CNS development and function
Syntaxin 7	Down in SHR	9.01E-03	CNS development and function
