gene	AUC	95% CI	P-value	HR
EpCAM2	0.879	0.656 to 0.978	0.0001	10.7
P-cadherin	0.874	0.650 to 0.976	0.0003	8.13
MAL2	0.869	0.643 to 0.974	0.0004	9.24
Esx	0.742	0.501 to 0.908	0.0008	6.62
Map7	0.889	0.668 to 0.981	0.0013	6.24
UPAR	0.843	0.613 to 0.963	0.0013	6.24
E-cadherin	0.818	0.584 to 0.951	0.0013	6.25
AGR2	0.859	0.631 to 0.970	0.0098	4.69
GPX2	0.722	0.480 to 0.895	0.0184	5.12
SPINT2	0.848	0.619 to 0.965	0.0207	7.78
EpCAM1	0.798	0.561 to 0.940	0.0207	7.78
S100P	0.732	0.490 to 0.901	0.0275	4.08
CEA6	0.732	0.490 to 0.901	0.0729	3.1
