Gene	Correlation and p value for pooled data set	Fold change for gene expression between relapsers and non-relapsers	Significance level for fold change	Correlation and p value for Study 1	Correlation and p value for Study 2
PBX1	-0.34 (3.1 × 10-11)	0.93	0.07	-0.36 (2.9 × 10-6)	-0.32 (5.5 × 10-6)
BIRC5	0.33 (2.0 × 10-10)	1.24	8.81 × 10-6	0.40 (2.7 × 10-7)	0.25 (0.0004)
HLF	-0.32 (5.5 × 10-10)	0.81	0.0002	-0.35 (7.3 × 10-6)	-0.28 (0.00007)
IL8	0.31 (1.4 × 10-9)	1.26	0.04	0.41 (9.7 × 10-8)	0.22 (0.003)
HMMR	0.30 (5.8 × 10-9)	1.2	0.004	0.33 (0.00003)	0.27 (0.00009)
TOP2A	0.29 (1.7 × 10-8)	1.17	0.00001	0.30 (0.0001)	0.28 (0.00007)
TK1	0.29 (2.0 × 10-8	1.17	9.91 × 10-7	0.28 (0.0004)	0.30 (0.00002)
CTSL	0.29 (2.8 × 10-8)	1.06	0.35	0.34 (0.00001)	0.24 (0.0006)
CCNA2	0.28 (5.6 × 10-8)	1.21	0.00003	0.33 (0.00003)	0.24 (0.0006)
BCL6	-0.28 (8.3 × 10-8)	0.92	0.0007	-0.33 (0.00003)	-0.24 (0.0007)
CDC2	0.27 (2.2 × 10-7)	1.29	0.0001	0.31 (0.00008)	0.24 (0.0008)
RAD51	0.27 (3.3 × 10-7)	1.28	1.03 × 10-6	0.29 (0.0002)	0.23 (0.001)
ERCC5	-0.26 (5.1 × 10-7)	0.95	0.08	-0.17 (0.03)	-0.31 (9.2 × 10-6)
NQO1	0.26 (5.8 × 10-7)	1.14	0.02	0.28 (0.0005)	0.26 (0.0002)
CBFA2T1	?0.26 (7.6 × 10?7)	0.93	0.22	?0.28 (0.0003)	?0.24 (0.0007)
MMP1	0.26 (1.1 × 10?6)	1.11	0.61	0.44 (1.2 × 10?8)	0.13 (0.06)
PTPRH	0.26 (1.1 × 10?6)	1.24	0.04	0.27 (0.0006)	0.24 (0.0006)
FGFR2	?0.25 (1.2 × 10?6)	0.89	0.05	?0.33 (0.00002)	?0.17 (0.02)
EGFR	?0.25 (1.2 × 10?6)	0.83	0.01	?0.27 (0.0007)	?0.23 (0.0009)
TIMP1	0.25 (1.5 × 10?6)	1.06	0.33	0.18 (0.02)	0.29 (0.00003)
GAS1	?0.25 (1.6 × 10?6)	0.94	0.02	?0.27 (0.0006)	?0.23 (0.001)
FLT3	?0.25 (1.8 × 10?6)	0.92	0.15	?0.24 (0.003)	?0.26 (0.0002)
RBL2	?0.25 (2.1 × 10?6)	0.99	0.53	?0.27 (0.0007)	?0.25 (0.0004)
ETS2	?0.25 (2.5 × 10?6)	0.91	0.003	?0.27 (0.0006)	?0.20 (0.005)
NUMA1	?0.25 (2.9 × 10?6)	0.97	0.06	?0.31 (0.00009)	?0.18 (0.01)
EPHA1	?0.24 (4.3 × 10?6)	0.86	0.03	?0.23 (0.003)	?0.21 (0.002)
MAP3K8	?0.24 (4.7 × 10?6)	0.93	0.06	?0.30 (0.0002)	?0.20 (0.005)
VEGF	0.24 (5.0 × 10?6)	1.02	0.5	0.31 (0.0001)	0.2 (0.004)
CCND3	?0.24 (7.5 × 10?6)	0.97	0.04	?0.27 (0.0006)	?0.21 (0.003)
AR	?0.23 (9.4 × 10?6)	0.83	0.008	?0.43 (2.66 × 10?8)	?0.15 (0.04)
FGFR3	?0.23 (0.00001)	0.91	0.1	?0.24 (0.003)	?0.20 (0.006)
MAPK10	0.23 (0.00001)	1.31	0.01	0.19 (0.02)	0.29 (0.00003)
