Gene	Fold	Description
Ifi27	5.3	Mus musculus interferon, alpha-inducible protein 27 (Ifi27), mRNA.
LOC100038882	3.7	PREDICTED: Mus musculus hypothetical protein LOC100038882 (LOC100038882), mRNA.
Ly6a	3.3	Mus musculus lymphocyte antigen 6 complex, locus A (Ly6a), mRNA.
Bst2	3.3	Mus musculus bone marrow stromal cell antigen 2 (Bst2), mRNA.
Arpc1b	2.6	Mus musculus actin related protein 2/3 complex, subunit 1B (Arpc1b), mRNA.
Psmb8	2.4	Mus musculus proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7) (Psmb8), mRNA.
Plac8	232.3	Mus musculus placenta specific 8 (Plac8), mRNA.
Psmb9	2.3	Mus musculus proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2) (Psmb9), mRNA.
Ly6c1	2.3	Mus musculus lymphocyte antigen 6 complex, locus C1 (Ly6c1), mRNA.
Hint1	2.2	Mus musculus histidine triad nucleotide binding protein 1 (Hint1), mRNA.
Rarres2	2.2	Mus musculus retinoic acid receptor responder (tazarotene induced) 2 (Rarres2), mRNA.
Ube2l6	2.2	Mus musculus ubiquitin-conjugating enzyme E2L 6 (Ube2l6), mRNA.
H2-T10	2.1	Mus musculus histocompatibility 2, T region locus 10 (H2-T10), mRNA.
Ccl9	202	-Mus musculus chemokine (C C motif) ligand 9 (Ccl9), mRNA.
H2-Q8	2	Mus musculus histocompatibility 2, Q region locus 8 (H2-Q8), mRNA.
H2-M3	2	Mus musculus histocompatibility 2, M region locus 3 (H2-M3), mRNA.
