name	BMSC n=5 median	BMSC n=5 Nb P	Ocs n=7 median	Ocs n=7 Nb P	MMC n=131 median	MMC n=131 Nb P	WBM n=75 median	WBM n=75 Nb P	CD14 n=5 median	CD14 n=5 Nb P	PMN n=5 median	PMN n=5 Nb P	CD3 n=5 median	CD3 n=5 Nb P
BDNF	1089	5	3	0	13	9	3	1	3	0	2	0	2	0
FGF1	155	5	3	0	2	0	1.5	0	2	0	2	0	7	0
FGF2	742	5	4	0	25	38	7	3	4	0	1	0	3	0
FGF5	42	3	13	0	20	1	8	1	7	0	7	0	12	1
GDF15	755	5	137	7	22	2	14	1	25	1	17	0	17	1
IL-6	1867	5	107	7	55	47	28	28	125	5	18	0	25	2
JAG1	1636	5	216	7	214	127	144	74	191	2	257	5	17	5
LIF	238	5	37	0	8	1	16	6	40	0	6	2	8	0
VEGFC	1685	5	11	0	67	82	23	37	17	2	27	0	23	0
Wnt3	30	1	2	0	4	1	4	1	1	0	2	0	2	0
Wnt5B	540	5	2.6	0	77	43	39	21	6	0	10	0	4	0
April	31	5	2900	7	92	77	518	75	1539	5	545	5	67	5
IGF1	12	1	1104	7	424	131	113	70	8	0	15	0	17	0
IL-10	9	0	264	7	7	2	13	15	39	4	10	5	19	5
