Transcript ID	Gene Symbol	Gene Name	Fold Change
NM_012540	Cyp1a1	Cytochrome P450, family 1, subfamily a, polypeptide 1	1263
NM_012940	Cyp1b1	Cytochrome P450, family 1, subfamily b, polypeptide 1	866
NM_173339	Ceacam10	CEA-related cell adhesion molecule 10	660
NM_031972	Aldh3a1	Aldehyde dehydrogenase family 3, member A1	152
NM_130407	Ugt1a7	UDP glycosyltransferase 1 family, polypeptide A7	23
NM_012786	Cox8h	Cytochrom c oxidase subunit VIII-H (heart/muscle)	19
NM_001024964	Exoc3	Exocyst complex component 3	12
NM_001039691 /// NM_057105	Ugt1a6	UDP glycosyltransferase 1 family, polypeptide A6	11
NM_031530	Ccl2	Chemokine (C-C motif) ligand 2	11
NM_198738	Psat1	Phosphoserine aminotransferase 1	9
NM_031620	Phgdh	3-phosphoglycerate dehydrogenase	9
NM_017127	Chka	Choline kinase alpha	7
NM_012531	Comt	Catechol-O-methyltransferase	6
NM_130741	Lcn2	Lipocalin 2	6
NM_017006	G6pdx	Glucose-6-phosphate dehydrogenase X-linked	6
NM_017000	Nqo1	NAD(P)H dehydrogenase, quinone 1	6
NM_057104	Enpp2	Ectonucleotide pyrophosphatase/phosphodiesterase 2	5
NM_019203	Tsx	Testis specific X-linked gene	5
XM_001068689 /// XM_001068737 /// XM_001068787 /// XM_220333	Cyfip2	Cytoplasmic FMR1 interacting protein 2	5
NM_001014100	Neurl3	Neuralized homolog 3 (Drosophila)	4
NM_144755	Trib3	Tribbles homolog 3 (Drosophila)	4
NM_031569 /// NM_057098 /// XM_001055907 /// XM_345486	Prpf6 /// Oprl1 /// Tcea2	PRP6 pre-mrna processing factor 6 homolog (S. Cerevisiae) /// Opioid receptor-like 1 /// Transcription elongation factor A (SII), 2	4
NM_024127	Gadd45a	Growth arrest and DNA-damage-inducible 45 alpha	4
XM_001068218 /// XM_574074	RGD1564865	Similar to 20-alpha-hydroxysteroid dehydrogenase	4
NM_172224	Impa2	Inositol (myo)-1(or 4)-monophosphatase 2	4
NM_017151	Rps15	Ribosomal protein S15	3
NM_145878	Fabp5	Fatty acid binding protein 5, epidermal	3
NM_013123	Il1r1	Interleukin 1 receptor, type I	3
NM_177425	Csrp2	Cysteine and glycine-rich protein 2	3
NM_001012215 /// NM_001014773 /// NM_001037135 /// NM_001037137 /// NM_001037139 /// NM_001037140 /// NM_001037153 /// NM_001037154 /// NM_001037156 /// NM_001037158 /// NM_001037159 /// NM_001037337 /// NM_053943	Pcdhgc3 /// Pcdhga9 /// Pcdhga11 /// Pcdhga7 /// Pcdhga5 /// Pcdhga8 /// Pcdhgb7 /// Pcdhgb5 /// Pcdhga2 /// Pcdhga3 /// Pcdhga10 /// Pcdhga12 /// Pcdhga1	Protocadherin gamma subfamily C, 3 /// protocadherin gamma subfamily A, 9 /// protocadherin gamma subfamily A, 11 /// protocadherin gamma subfamily A, 7 /// protocadherin gamma subfamily A, 5 /// protocadherin gamma subfamily A, 8 /// protocadherin gamma b7 /// protocadherin gamma subfamily B, 5 /// protocadherin gamma a2 /// protocadherin gamma A3 /// protocadherin gamma subfamily A, 10 /// protocadherin gamma subfamily A, 12 /// protocadherin gamma a1	3
NM_001008847	RT1-Da	RT1 class II, locus Da	3
NM_001004235	Mrpl37	Mitochondrial ribosomal protein L37	2
NM_012600	Me1	Malic enzyme 1	2
NM_013069	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	2
NM_031036	Gnaq	Guanine nucleotide binding protein, alpha q polypeptide	2
NM_012541	Cyp1a2	Cytochrome P450, family 1, subfamily a, polypeptide 2	2
NM_019165	Il18	Interleukin 18	2
XM_001077699 /// XM_001077810 /// XM_001079420 /// XM_001079450 /// XM_001079458 /// XM_001079467 /// XM_001079477 /// XM_001079488 /// XM_001079498 /// XM_001079510 /// XM_001079521 /// XM_001079530 /// XM_341940	Fgfr2	Fibroblast growth factor receptor 2	2
NM_001009920	Yc2	Glutathione S-transferase Yc2 subunit	2
NM_139089	Cxcl10	Chemokine (C-X-C motif) ligand 10	2
NM_001012162	Mllt10	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	2
NM_012521	S100g	S100 calcium binding protein G	2
NM_030845	Cxcl1	Chemokine (C-X-C motif) ligand 1	2
NM_031588	Nrg1	Neuregulin 1	2
NM_012656	Sparc	Secreted acidic cysteine rich glycoprotein	2
XM_001076038 /// XM_579602	Ppat	Phosphoribosyl pyrophosphate amidotransferase	2
NM_133307	Prkcd	Protein kinase C, delta	2
XM_001058806 /// XM_343227	Nipal2	NIPA-like domain containing 2	2
NM_017259	Btg2	B-cell translocation gene 2, anti-proliferative	2
