Regulated	Gene	Gene	Function	Fold change
 Up	Phosphoribosyl pyrophosphate synthetase–associated protein 2	PRPSAP2	Catalyzes the formation of phosphoribosylpyrophosphate	3.7
 Up	Glutaredoxin 2	GLRX2	Participates in a variety of cellular redox reactions	3.4
 Up	GTP cyclohydrolase I feedback regulator	GCHFR	Binds to and mediates tetrahydrobiopterin inhibition of GTP cyclohydrolase I	3.8
 Up	SMAD, mothers against DPP homolog 4 (Drosophila)	SMAD4	Collagen binding and transcriptional control	5.3
 Up	MHC class II, DR beta 5	HLA-DRB5	Central role in the immune system by presenting peptides derived from extracellular proteins	7
 Up	SEC22 vesicle trafficking protein-like 2	SEC22L2	Acts in the early stages of the secretory pathway	3.6
 Up	BCL6 co-repressor	BCOR	Interaction with the corepressor of BCL6, a POZ/zinc finger transcription repressor that is required for germinal center formation and may influence apoptosis	2.2
 Up	Tripartite motif-containing 22	TRIM22	Expression is induced by interferon and may mediate interferons effects	4
 Up	Calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	CAMK2D	Ca(2+)/calmodulin-dependent protein kinase signaling	3.3
 Up	Phosphoglucomutase 2-like 1	PGM2L1	Glycolysis	4.9
 Up	Leucine-rich repeats and immunoglobulin-like domains 3	LRIG3	Regulation of EGFR signaling, and serves as a tumor-suppressor gene	7
 Up	Similar to Numb-interacting homolog gene	LOC405753	Protein transport	15.8
 Up	Platelet-derived growth factor receptor, beta polypeptide	PDGFRB	Receptor for members of the platelet-derived growth factor family, which are mitogens for cells of mesenchymal origin	3
 Up	Nicotinamide N-methyltransferase	NNMT	Responsible for N-methylation	6.5
 Down	BCL2-like 14	BCL2L14	Overexpression induces apoptosis in cells	0.4
 Down	Inositol polyphosphate-5-phosphatase F	INPP5F	Inositol 1,4,5-trisphosphate (InsP3) 5-phosphatase	0.4
 Down	Purinergic receptor P2X, ligand-gated ion channel, 7	P2RX7	Functions as a ligand-gated ion channel and is responsible for ATP-dependent lysis of macrophages	0.2
 Down	DNA excision repair protein ERCC-8 (Cockayne syndrome WD repeat protein CSA)	LOC713594	WD repeat protein, which interacts with Cockayne syndrome type B (CSB) protein and with p44 protein; mutations result in abnormal sensitivity to ultraviolet radiation and are defective in the repair of transcriptionally active genes	0.2
 Down	Phospholipase D2	PLD2	Proposed to function in regulated secretion, cytoskeletal reorganization, transcriptional regulation, and cell-cycle control	0.3
 Down	Otoferlin	OTOF	Involved in vesicle membrane fusion	0.3
 Down	Chloride channel 2	CLCN2	Ion transport	0.4
 Down	Solute carrier family 27, member 1	SLC27A1	Fatty acid transport	0.4
 Down	MyoD family inhibitor	MDFI	Transcription factor that negatively regulates other myogenic family proteins	0.5
