Curated Gene Symbol	Gene Name	Probe ID	Systematic Name	Ensembl ID	DAC
GPER	GPR30		NM_001505		217.7
FMR1NB	FMR1NB		NM_152578		191.1
DAZL	DAZL		NM_001351		187
DDX43	DDX43		NM_018665		185
	BC036938		BC036938		121.7
GSTP1	GSTP1		NM_000852		110.9
CST6	CST6		NM_001323		89.8
	THC2376729		THC2376729		77.7
VCX3A	VCX3A		NM_016379		76.9
VCX	VCX		NM_013452		72.5
VCX2	VCX2		NM_016378		72.4
	THC2407823		THC2407823		67.8
SYCP3	SYCP3		NM_153694		64.5
NEFH	NEFH		NM_021076		62.6
PAGE2	PAGE2		NM_207339		61.7
VASN	VASN		NM_138440		58.8
CXCL9	CXCL9		NM_002416		57.5
TNFRSF4	TNFRSF4		NM_003327		57
PRAME	PRAME		NM_206956		55.4
PDIA2	PDIA2		NM_006849		54
CKM	CKM		NM_001824		51.4
PAGE5	PAGE5		NM_130467		49.2
DAZ2	DAZ2		NM_001005785		45.5
		A_24_P7750			44.5
XIST	XIST		NR_001564		41.3
UCHL1	UCHL1		NM_004181		39.3
	BM668321		BM668321		38.2
				ENST00000370363	38.2
CNDP1	CNDP1		NM_032649		37.6
TDRD12	ECAT8		AK023134		37.2
LEFTY1	LEFTY1		NM_020997		36.9
				ENST00000311695	36.6
MXRA8	MXRA8		NM_032348		35.6
TAS1R1	TAS1R1		NM_138697		34.6
RTP3	RTP3		NM_031440		34.5
BEX1	BEX1		NM_018476		33.2
CARD9	CARD9		NM_052813		32
KRT19	KRT19		NM_002276		31.8
LGALS2	LGALS2		NM_006498		31.7
IL18	IL18		NM_001562		31.6
FES	FES		NM_002005		30.7
RAB7B	RAB7B		NM_177403		30.2
CD52	CD52		NM_001803		29.9
CPLX3	CPLX3		NM_001030005		29.6
AIF1	AIF1		NM_004847		28.7
LPAR6	P2RY5		NM_005767		27.8
		A_23_P15226			27.6
VCY	VCY		NM_004679		27.6
SECTM1	SECTM1		NM_003004		27.2
ART3	ART3		NM_001179		27
CALHM3	FAM26A		NM_182494		26.9
CDH1	CDH1		NM_004360		26.3
	THC2304038		THC2304038		25.1
LAG3	LAG3		NM_002286		24.8
CYB5R2	CYB5R2		NM_016229		24.3
COX7A1	COX7A1		NM_001864		24.2
CNN3	CNN3		NM_001839		24.2
GPR68	GPR68		NM_003485		23.9
VCX2	VCX2		NM_016378		23
	THC2437822		THC2437822		22.4
	THC2333719		THC2333719		22.2
LY6K	LY6K		NM_017527		22.1
C8G	C8G		NM_000606		21.9
	LOC643431		XM_928128		21
DMRTB1	DMRTB1		NM_033067		20.8
		A_32_P112546			20.7
CGREF1	CGREF1		NM_006569		20
CCRL2	CCRL2		NM_003965		19.7
PPAPDC3	PPAPDC3		NM_032728		19.3
		A_24_P401124			19.3
ACRC	ACRC		NM_052957		18.5
MYO1G	MYO1G		NM_033054		18.4
RASL10A	RRP22		NM_001007279		18.3
	RP13-36C9.6		NM_001007551		18.2
DNALI1	DNALI1		NM_003462		17.9
HORMAD1	HORMAD1		NM_032132		17.9
HSD17B1	HSD17B1		NM_000413		17.7
CATSPER1	CATSPER1		NM_053054		17.6
RADIL	FLJ10324		NM_018059		17.5
CRYAA	CRYAA		NM_000394		17.4
TEKT2	TEKT2		NM_014466		17.2
APOC1	APOC1		NM_001645		16.9
PKP3	PKP3		NM_007183		16.8
		A_24_P745352			16.8
PTRF	PTRF		NM_012232		16.5
KRTCAP3	KRTCAP3		AY358993		16.4
MAEL	MAEL		NM_032858		16.3
CRYBA4	CRYBA4		NM_001886		16.2
RAMP1	RAMP1		NM_005855		16.1
NDRG4	NDRG4		NM_022910		15.9
				ENST00000353250	15.8
SMARCA1	SMARCA1		NM_003069		15.6
		A_24_P195974			15.4
	RP4-742C19.3		NM_181773		15.4
RGS1	RGS1		NM_002922		15.3
FAM9C	FAM9C		NM_174901		15
FAM129C	BCNP1		NM_173544		15
SERPINF1	SERPINF1		NM_002615		14.6
RAB13	RAB13		NM_002870		14.5
MMP13	MMP13		NM_002427		14.2
PTGER1	PTGER1		NM_000955		14.1
LRRC73	C6orf154		NM_001012974		14
S100A16	S100A16		NM_080388		13.8
RRAD	RRAD		NM_004165		13.7
KRTCAP3	KRTCAP3		NM_173853		13.7
TMEM204	C16orf30		NM_024600		13.6
	CR613736		CR613736		13.6
DNMT3L	DNMT3L		NM_013369		13.4
		A_24_P93111			13.2
RAB34	RAB34		NM_031934		12.8
	LOC285401		AK091178		12.7
LTK	LTK		NM_002344		12.7
FGFR3	FGFR3		NM_000142		12.6
VMP1	TMEM49		BC024020		12.6
RARRES2	RARRES2		NM_002889		12.6
RRAD	RRAD		NM_004165		12.6
IER3	IER3		NM_003897		12.4
BCL2A1	BCL2A1		NM_004049		12.3
ROBO3	ROBO3		NM_022370		12.3
BEX2	BEX2		NM_032621		12.3
RBMY1B	RBMY1B		NM_001006121		12.2
S1PR4	EDG6		NM_003775		12.2
		A_24_P341546			12.2
TKTL1	TKTL1		NM_012253		12.1
CLIC3	CLIC3		NM_004669		12
FAM9C	FAM9C		NM_174901		11.9
KRT8	KRT8		NM_002273		11.8
PIWIL2	PIWIL2		NM_018068		11.7
	THC2312585		THC2312585		11.7
ZNF502	ZNF502		NM_033210		11.5
TNF	TNF		NM_000594		11.4
ERVH48-1	C21orf105		BC005107		11.3
ALDOB	ALDOB		NM_000035		11.3
		A_24_P281605			11.2
		A_24_P418216			11.2
		A_24_P844100			11.1
HSPA1A	HSPA1A		NM_005345		11.1
ATP4B	ATP4B		NM_000705		11
ADAM8	ADAM8		NM_001109		10.9
COL8A2	COL8A2		NM_005202		10.9
MTMR11	MTMR11		NM_181873		10.8
CXCL1	CXCL1		NM_001511		10.8
				ENST00000267857	10.6
CLDN4	CLDN4		NM_001305		10.5
	LOC400751		BC031250		10.5
HSD11B1	HSD11B1		NM_181755		10.4
SPOCK2	SPOCK2		NM_014767		10.3
CRYAA	CRYAA		NM_000394		10.2
RAB25	RAB25		NM_020387		10.2
FRG2	FRG2		NM_001005217		10.2
EMILIN2	EMILIN2		NM_032048		10.2
	THC2414226		THC2414226		10.1
FBLIM1	FBLIM1		NM_017556		10.1
KRT8	KRT8		NM_002273		10.1
