Gene ID	Fold Change	Gene Symbol	Gene Title
Gga.540.1.S1_at	8,49	MGP	matrix Gla protein
Gga.19409.1.S1_at	6,33	COL4A2	collagen, type IV, alpha 2
Gga.496.1.S1_at	5,00	RELN	reelin
Gga.2587.1.S1_at	4,82	NOV	nephroblastoma overexpressed gene
GgaAffx.25229.1.S1_at	4,56	VWF	von Willebrand factor
GgaAffx.3009.1.S1_s_at	4,01	SEMA6D	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D
Gga.3219.1.S1_at	3,92	FIGF	c-fos induced growth factor (vascular endothelial growth factor D)
Gga.566.1.S1_at	3,74	ITGA1	integrin, alpha 1
Gga.4675.1.S2_at	3,53	SDC2	syndecan 2
Gga.7528.1.S1_at	3,52	KLF2	Kruppel-like factor 2 (lung)
Gga.19409.1.S1_s_at	3,14	COL4A2	collagen, type IV, alpha 2
Gga.1846.1.S2_at	3,12	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
Gga.12186.1.S1_at	3,11	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1
Gga.1761.1.S1_at	2,99	GPR116	G protein-coupled receptor 116
Gga.6311.1.S1_at	2,97	HEY1	hairy/enhancer-of-split related with YRPW motif 1
Gga.2827.2.S1_a_at	2,91	TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)
Gga.7231.1.S1_at	2,42	SOX17	SRY (sex determining region Y)-box 17
GgaAffx.24123.1.S1_at	2,40	PDE3A	phosphodiesterase 3A, cGMP-inhibited
Gga.679.1.S1_at	2,38	VLDLR	very low density lipoprotein receptor
GgaAffx.25881.1.S1_at	2,34	PECAM1	platelet/endothelial cell adhesion molecule (CD31 antigen)
Gga.5541.1.S1_at	2,18	PECAM1	platelet/endothelial cell adhesion molecule
Gga.15805.1.S1_at	2,08	FLT4	fms-related tyrosine kinase 4
Gga.12104.1.S1_at	2,03	RAMP2	receptor (G protein-coupled) activity modifying protein 2
Gga.19305.1.S1_at	0,12	RSPO3	R-spondin 3 homolog (Xenopus laevis)
Gga.4830.1.S1_at	0,37	SFRP1	secreted frizzled-related protein 1
Gga.5170.1.S1_s_at	0,42	PODXL	podocalyxin-like
