miRBase	Control	NSCLC	Fold change	P value
hsa-miR-20a	28.08 +/- 5.35	1737.65 +/- 261.24	6.19E+01	1.86E-06
hsa-miR-24	38.09 +/- 6.75	435.84 +/- 74.27	11.44	8.81E-05
hsa-miR-25	30.63 +/- 5.23	433.62 +/- 74.26	14.15	7.07E-05
hsa-miR-145	18.57 +/- 3.71	1557.1 +/- 357.33	83.85	1.50E-03
hsa-miR-152	49.36 +/- 10.59	1561.15 +/- 513.15	31.63	2.90E-02
hsa-miR-199a-5p	29.57 +/- 5.16	462.51 +/- 96.02	15.64	9.10E-04
hsa-miR-221	22.21 +/- 8.42	1445.99 +/- 447.73	65.09	1.90E-02
hsa-miR-222	35.23 +/- 8.18	648.25 +/- 128.1	18.4	4.40E-04
hsa-miR-223	49.11 +/- 13.62	1262.86 +/- 317.63	25.71	4.80E-03
hsa-miR-320	83.06 +/- 20.95	1726.01 +/- 226.71	20.78	1.50E-07
