GO	MiRNA Name	p	FDR	Enrichment
cell differentiation	mmu-let-7c-1	5.9147E-19	0.31	2.322418386
cell differentiation	mmu-let-7f	5.9147E-19	0.31	2.322418386
cell differentiation	mmu-miR-129-3p	5.9147E-19	0.31	2.322418386
cell differentiation	mmu-miR-184	5.9147E-19	0.31	2.322418386
cell differentiation	mmu-miR-186	5.9147E-19	0.31	2.322418386
cell differentiation	mmu-miR-18a	5.9147E-19	0.31	2.322418386
cell differentiation	mmu-miR-191	5.9147E-19	0.31	2.322418386
cell differentiation	mmu-miR-29b	5.9147E-19	0.31	2.322418386
cell differentiation	mmu-miR-351	5.9147E-19	0.31	2.322418386
cell differentiation	mmu-miR-718	5.9147E-19	0.31	2.322418386
cell differentiation	mmu-miR-92b	5.9147E-19	0.31	2.322418386
cell cycle	mmu-let-7c-1	2.1171E-13	0.3525	2.119708407
cell cycle	mmu-let-7f	2.1171E-13	0.3525	2.119708407
cell cycle	mmu-miR-129-3p	2.1171E-13	0.3525	2.119708407
cell cycle	mmu-miR-184	2.1171E-13	0.3525	2.119708407
cell cycle	mmu-miR-186	2.1171E-13	0.3525	2.119708407
cell cycle	mmu-miR-18a	2.1171E-13	0.3525	2.119708407
cell cycle	mmu-miR-191	2.1171E-13	0.3525	2.119708407
cell cycle	mmu-miR-29b	2.1171E-13	0.3525	2.119708407
cell cycle	mmu-miR-351	2.1171E-13	0.3525	2.119708407
cell cycle	mmu-miR-718	2.1171E-13	0.3525	2.119708407
cell cycle	mmu-miR-92b	2.1171E-13	0.3525	2.119708407
positive regulation of cell proliferation	mmu-let-7c-1	4.5134E-12	0.295	3.068524415
positive regulation of cell proliferation	mmu-let-7f	4.5134E-12	0.295	3.068524415
positive regulation of cell proliferation	mmu-miR-129-3p	4.5134E-12	0.295	3.068524415
positive regulation of cell proliferation	mmu-miR-184	4.5134E-12	0.295	3.068524415
positive regulation of cell proliferation	mmu-miR-186	4.5134E-12	0.295	3.068524415
positive regulation of cell proliferation	mmu-miR-18a	4.5134E-12	0.295	3.068524415
positive regulation of cell proliferation	mmu-miR-191	4.5134E-12	0.295	3.068524415
positive regulation of cell proliferation	mmu-miR-29b	4.5134E-12	0.295	3.068524415
positive regulation of cell proliferation	mmu-miR-351	4.5134E-12	0.295	3.068524415
positive regulation of cell proliferation	mmu-miR-718	4.5134E-12	0.295	3.068524415
positive regulation of cell proliferation	mmu-miR-92b	4.5134E-12	0.295	3.068524415
protein transport	mmu-let-7c-1	1.1831E-11	0.365	2.000028217
protein transport	mmu-let-7f	1.1831E-11	0.365	2.000028217
protein transport	mmu-miR-129-3p	1.1831E-11	0.365	2.000028217
protein transport	mmu-miR-184	1.1831E-11	0.365	2.000028217
protein transport	mmu-miR-186	1.1831E-11	0.365	2.000028217
protein transport	mmu-miR-18a	1.1831E-11	0.365	2.000028217
protein transport	mmu-miR-191	1.1831E-11	0.365	2.000028217
protein transport	mmu-miR-29b	1.1831E-11	0.365	2.000028217
protein transport	mmu-miR-351	1.1831E-11	0.365	2.000028217
protein transport	mmu-miR-718	1.1831E-11	0.365	2.000028217
protein transport	mmu-miR-92b	1.1831E-11	0.365	2.000028217
proteolysis	mmu-let-7c-1	1.8561E-10	0.3875	1.905163022
proteolysis	mmu-let-7f	1.8561E-10	0.3875	1.905163022
proteolysis	mmu-miR-129-3p	1.8561E-10	0.3875	1.905163022
proteolysis	mmu-miR-184	1.8561E-10	0.3875	1.905163022
proteolysis	mmu-miR-186	1.8561E-10	0.3875	1.905163022
proteolysis	mmu-miR-18a	1.8561E-10	0.3875	1.905163022
proteolysis	mmu-miR-191	1.8561E-10	0.3875	1.905163022
proteolysis	mmu-miR-29b	1.8561E-10	0.3875	1.905163022
proteolysis	mmu-miR-351	1.8561E-10	0.3875	1.905163022
proteolysis	mmu-miR-718	1.8561E-10	0.3875	1.905163022
proteolysis	mmu-miR-92b	1.8561E-10	0.3875	1.905163022
anterior/posterior pattern formation	mmu-let-7c-1	5.691E-10	0.3175	3.202794326
anterior/posterior pattern formation	mmu-let-7f	5.691E-10	0.3175	3.202794326
anterior/posterior pattern formation	mmu-miR-129-3p	5.691E-10	0.3175	3.202794326
anterior/posterior pattern formation	mmu-miR-184	5.691E-10	0.3175	3.202794326
anterior/posterior pattern formation	mmu-miR-186	5.691E-10	0.3175	3.202794326
anterior/posterior pattern formation	mmu-miR-18a	5.691E-10	0.3175	3.202794326
anterior/posterior pattern formation	mmu-miR-191	5.691E-10	0.3175	3.202794326
anterior/posterior pattern formation	mmu-miR-29b	5.691E-10	0.3175	3.202794326
anterior/posterior pattern formation	mmu-miR-351	5.691E-10	0.3175	3.202794326
anterior/posterior pattern formation	mmu-miR-718	5.691E-10	0.3175	3.202794326
anterior/posterior pattern formation	mmu-miR-92b	5.691E-10	0.3175	3.202794326
cell adhesion	mmu-let-7c-1	1.7595E-09	0.37	1.89188123
cell adhesion	mmu-let-7f	1.7595E-09	0.37	1.89188123
cell adhesion	mmu-miR-129-3p	1.7595E-09	0.37	1.89188123
cell adhesion	mmu-miR-184	1.7595E-09	0.37	1.89188123
cell adhesion	mmu-miR-186	1.7595E-09	0.37	1.89188123
cell adhesion	mmu-miR-18a	1.7595E-09	0.37	1.89188123
cell adhesion	mmu-miR-191	1.7595E-09	0.37	1.89188123
cell adhesion	mmu-miR-29b	1.7595E-09	0.37	1.89188123
cell adhesion	mmu-miR-351	1.7595E-09	0.37	1.89188123
cell adhesion	mmu-miR-718	1.7595E-09	0.37	1.89188123
