Gene symbol	Description	PEDF/Control Hybr. 1	PEDF/Control Hybr. 2	Function
FN1	Fibronectin 1	14.22	16.52	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
VEGFC	vascular endothelial growth factor C	3.13	4.64	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
FLT1	Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	0.05	0.07	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
IL8	Interleukin 8	0.36	0.36	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
ITGB3	Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	0.3	0.26	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
ITGB8	Integrin, beta 8	0.11	0.19	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
NRP2	Neuropilin 2	0.4	0.41	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
PCDH10	Protocadherin 10	0.1	0.12	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
PCDH17	Protocadherin 17	0.34	0.27	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
PCDHA9	Protocadherin alpha 9	0.46	0.48	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
PCDHB7	Protocadherin beta 7	0.34	0.34	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
PELO	Integrin, alpha 1	0.12	0.15	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
TGFA	Transforming growth factor, alpha	0.03	0.04	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
TGFBI	Transforming growth factor, beta-induced, 68kDa	0.41	0.43	ANGIOGENESIS/ADHESION/MIGRATION/INVASION
ADAMTS6	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 6	3.39	8.66	PROTEASES
ADAM10	A disintegrin and metalloproteinase domain 10	0.46	0.46	PROTEASES
ADAM12	A disintegrin and metalloproteinase domain 12 (meltrin alpha)	0.27	0.47	PROTEASES
ADAM19	A disintegrin and metalloproteinase domain 19 (meltrin beta)	0.06	0.09	PROTEASES
ADAM23	A disintegrin and metalloproteinase domain 23	0.08	0.1	PROTEASES
CTSH	Cathepsin H	0.17	0.3	PROTEASES
CTSK	Cathepsin K (pycnodysostosis)	0.08	0.1	PROTEASES
PLAT	Plasminogen activator, tissue	0.39	0.4	PROTEASES
PRSS11	protease, serine, 11 (IGF binding)	0.07	0.04	PROTEASES
SERPINA3	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	0.05	0.04	PROTEASES
SERPIND1	Serine (or cysteine) proteinase inhibitor, clade D (heparin cofactor), member 1	0.07	0.07	PROTEASES
TIMP1	Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	0.33	0.32	PROTEASES
MLPH	Melanophilin	15.7	28.9	MELANIN SECRETION
RAB27A	RAB27A, member RAS oncogene family	0.31	0.22	MELANIN SECRETION
DKK1	Dickkopf homolog 1 (Xenopus laevis)	2.86	2.87	MELANOMA PROGRESSION
DKK3	Dickkopf homolog 3 (Xenopus laevis)	2.28	2.85	MELANOMA PROGRESSION
FZD2	Frizzled homolog 2 (Drosophila)	2.6	2.38	MELANOMA PROGRESSION
FGF13	Fibroblast growth factor 13	0.14	0.08	MELANOMA PROGRESSION
FZD1	Frizzled homolog 1 (Drosophila)	0.37	0.42	MELANOMA PROGRESSION
GAGE1	G antigen 1	0.35	0.46	MELANOMA PROGRESSION
GAGE2	G antigen 2	0.11	0.1	MELANOMA PROGRESSION
GAGE4	G antigen 4	0.45	0.38	MELANOMA PROGRESSION
GAGE5	G antigen 5	0.24	0.31	MELANOMA PROGRESSION
IGFBP3	Insulin-like growth factor binding protein 3	0.11	0.22	MELANOMA PROGRESSION
INHBA	Inhibin, beta A (activin A, activin AB alpha polypeptide)	0.18	0.24	MELANOMA PROGRESSION
JAG1	Jagged 1 (Alagille syndrome)	0.14	0.13	MELANOMA PROGRESSION
LEF1	Lymphoid enhancer-binding factor 1	0.48	0.37	MELANOMA PROGRESSION
LGALS3	Lectin, galactoside-binding, soluble, 3 (galectin 3) /// galectin-3 internal gene	0.23	0.21	MELANOMA PROGRESSION
NOTCH2NL	Notch homolog 2 (Drosophila) N-terminal like	0.29	0.26	MELANOMA PROGRESSION
MAGEA1	Melanoma antigen family A, 1 (directs expression of antigen MZ2-E)	2.78	2.78	MELANOMA MARKERS
CSPG4	Chondroitin sulfate proteoglycan 4 (melanoma-associated)	0.19	0.24	MELANOMA MARKERS
MIA	Melanoma inhibitory activity	0.48	0.44	MELANOMA MARKERS
S100A1	S100 calcium binding protein A1	0.33	0.13	MELANOMA MARKERS
S100A13	S100 calcium binding protein A13	0.38	0.33	MELANOMA MARKERS
S100A16	S100 calcium binding protein A16	0.29	0.36	MELANOMA MARKERS
S100A2	S100 calcium binding protein A2	0.3	0.27	MELANOMA MARKERS
S100A3	S100 calcium binding protein A3	0.15	0.12	MELANOMA MARKERS
S100A4	S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)	0.1	0.09	MELANOMA MARKERS
S100B	S100 calcium binding protein, beta (neural)	0.13	0.1	MELANOMA MARKERS
FOXF2	Forkhead box F2	2.16	2.32	TRANSCRIPTION FACTORS
SOX11	SRY (sex determining region Y)-box 11	3.85	4.1	TRANSCRIPTION FACTORS
SOX9	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	2.27	12.34	TRANSCRIPTION FACTORS
