ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
228702_at	-1.2525	7.06625	4.978316	0.004252	0.21965	-4.276406
232176_at	-0.9175	2.68875	4.437279	0.006879	0.21965	-4.294103
216960_s_at	0.775	6.475	4.336437	0.007557	0.21965	-4.297936
241837_at	1.755	4.6625	4.22939	0.008364	0.21965	-4.302216
238853_at	1.1075	5.30625	4.175211	0.008809	0.21965	-4.304469
215145_s_at	-0.81	3.775	4.060543	0.009847	0.21965	-4.30944
244786_at	0.69	4.66	4.056928	0.009881	0.21965	-4.309601
204384_at	1.185	6.92	3.967995	0.010787	0.21965	-4.313663
222304_x_at	-1.46	4.87	3.938739	0.011106	0.21965	-4.31504
1561542_a	-1.2625	3.55375	3.770714	0.01316	0.231854	-4.323345
214291_at	-0.615	4.515	3.663733	0.014694	0.231854	-4.329011
201289_at	-1.475	9.8625	-3.60402	0.015639	0.231854	-4.33231
202269_x_at	-2.2775	6.73625	3.528657	0.016933	0.231854	-4.336618
221208_s_at	0.665	6.3125	3.45151	0.018385	0.233757	-4.341201
226848_at	0.8175	6.57875	3.318613	0.021232	0.244922	-4.349531
235976_at	-0.895	2.595	3.281754	0.022108	0.244922	-4.351942
236229_at	0.945	6.195	3.230628	0.023391	0.244922	-4.355363
213778_x_at	0.6675	2.92125	3.050679	0.028626	0.256793	-4.36813
231468_at	-0.68	2.49	3.030274	0.029298	0.256793	-4.369652
229590_at	0.72	7.0125	3.007362	0.030075	0.256793	-4.37138
205131_x_at	0.6675	2.93875	3.000955	0.030296	0.256793	-4.371867
231029_at	-0.71	5.765	2.943715	0.032355	0.26178	-4.376285
238573_at	-0.67	4.1125	2.643455	0.046061	0.353281	-4.401615
227010_at	-0.3825	2.06125	2.541943	0.05206	0.353281	-4.411041
202270_at	-2.18	6.615	2.541349	0.052097	0.353281	-4.411097
207980_s_at	-1.15	3.94	2.508788	0.054201	0.353281	-4.414217
202551_s_at	-1.07	7.67	2.503345	0.054561	0.353281	-4.414743
219301_s_at	-1.8125	8.51875	2.479389	0.056179	0.353281	-4.417075
209357_at	-0.7475	7.25625	2.459581	0.057557	0.353281	-4.419022
214870_x_at	0.435	9.7175	2.373469	0.063988	0.378707	-4.427691
206574_s_at	-0.5175	3.21125	2.329189	0.067594	0.378707	-4.432278
204624_at	-0.9025	4.19625	2.323388	0.068082	0.378707	-4.432886
228496_s_at	-0.795	9.0625	2.125552	0.087228	0.446307	-4.454513
1564907_s	-0.4325	3.19375	2.111911	0.088744	0.446307	-4.456069
231577_s_at	-1.28	7.1675	-2.10762	0.089227	0.446307	-4.45656
202134_s_at	-0.635	2.31	2.082827	0.092071	0.446307	-4.459413
226448_at	-0.4875	1.96875	2.076845	0.092772	0.446307	-4.460105
238156_at	0.3775	7.86875	2.036125	0.097691	0.457607	-4.464859
233063_s_at	0.7975	4.40625	1.995498	0.102873	0.469525	-4.469673
220016_at	-0.3375	2.67875	1.901103	0.116051	0.493394	-4.481121
241652_x_at	0.4	2.0825	1.890188	0.117684	0.493394	-4.482467
227126_at	-0.9175	2.88625	-1.87534	0.119943	0.493394	-4.484307
223741_s_at	0.9075	5.79875	1.850976	0.123747	0.493394	-4.487344
208352_x_at	-0.335	2.5175	1.800284	0.132064	0.493394	-4.493732
214947_at	-1.2525	2.04125	1.792652	0.133365	0.493394	-4.494702
243063_at	1.075	5.06	1.787079	0.134323	0.493394	-4.495412
210764_s_at	-1.125	5.71	1.785823	0.13454	0.493394	-4.495572
240110_at	-0.6125	2.69125	1.769989	0.137305	0.493394	-4.497594
242739_at	0.375	2.3075	1.757211	0.139578	0.493394	-4.499233
209156_s_at	1.3975	6.32875	1.754243	0.140112	0.493394	-4.499614
221261_x_at	1.435	7.4975	1.734518	0.14371	0.493394	-4.502156
224327_s_at	-0.51	2.5175	1.726893	0.145126	0.493394	4.503141
239615_at	-0.4	2.79	1.710238	0.148267	0.493394	4.505301
201605_x_at	-0.505	4.625	1.702857	0.149681	0.493394	4.506261
200974_at	-0.9725	11.82875	1.640955	0.162085	0.524566	4.514375
204077_x_at	-0.2875	4.42375	1.58711	0.173702	0.552125	4.521517
235526_at	0.2875	4.67375	1.529136	0.187127	0.562925	4.529281
233230_s_at	-0.3325	1.79375	1.524439	0.188258	0.562925	4.529913
235173_at	-0.9975	5.54625	1.512195	0.191238	0.562925	4.531562
203265_s_at	0.3825	3.48375	1.508502	0.192145	0.562925	-4.53206
221737_at	0.27	7.3975	1.504021	0.193252	0.562925	4.532664
226592_at	0.7475	4.07375	1.492705	0.196075	0.562925	4.534192
202552_s_at	-0.51	8.4525	1.464792	0.20321	0.574148	-4.53797
1554531_a	-0.22	2.03	1.422562	0.214479	0.59652	4.543703
205776_at	-0.4975	1.85875	1.391548	0.223132	0.608162	4.547924
230443_at	-0.37	2.5375	1.369687	0.229428	0.608162	4.550903
232345_at	0.2175	2.14125	1.369348	0.229527	0.608162	4.550949
231926_at	-0.3175	2.13875	1.357454	0.233023	0.608162	-4.55257
202238_s_at	-1.0125	5.19125	1.348301	0.235748	0.608162	4.553818
229443_at	0.4175	2.53875	1.322451	0.243605	0.60842	4.557343
1554522_a	0.225	2.0125	1.321418	0.243924	0.60842	4.557484
217826_s_at	0.315	8.38	1.314395	0.246102	0.60842	4.558441
204795_at	-0.265	2.275	1.292126	0.253131	0.6085	4.561476
208181_at	0.2325	2.05125	1.278792	0.257427	0.6085	4.563291
218825_at	0.2175	3.53625	1.27762	0.257808	0.6085	4.563451
205680_at	-1.3775	4.83875	1.271486	0.259809	0.6085	4.564286
226064_s_at	-0.51	2.5425	1.249876	0.266974	0.611121	4.567224
231399_at	0.24	4.135	1.247435	0.267795	0.611121	4.567556
232348_at	0.2075	1.97625	1.216769	0.278299	0.627053	4.571716
222018_at	-0.435	7.685	1.191662	0.287173	0.63896	4.575111
205391_x_at	-0.19	2.435	1.161609	0.298127	0.648187	-4.57916
222315_at	0.3175	3.31625	1.158037	0.299453	0.648187	-4.57964
229899_s_at	0.375	5.12	1.150564	0.302244	0.648187	4.580643
238920_at	0.3875	3.52625	1.091586	0.325085	0.653346	4.588506
1561595_x	0.265	2.3175	1.091234	0.325225	0.653346	4.588552
1559315_s	0.555	3.1225	1.080331	0.329609	0.653346	4.589994
217099_s_at	-0.4175	4.14875	1.079607	0.329902	0.653346	-4.59009
1552685_a	-0.165	1.605	1.07705	0.330938	0.653346	4.590427
229407_at	0.26	3.0875	1.067599	0.334792	0.653346	4.591672
227048_at	0.165	1.4225	1.066809	0.335116	0.653346	4.591776
230577_at	-0.775	2.6	1.062193	0.337014	0.653346	4.592383
200756_x_at	-0.375	4.3725	1.060568	0.337684	0.653346	4.592597
235125_x_at	-0.2375	9.01625	1.036604	0.3477	0.656162	4.595732
228603_at	0.42	5.895	1.036474	0.347755	0.656162	4.595749
230896_at	0.8575	7.88375	1.02844	0.351169	0.656162	4.596795
226671_at	-0.225	7.4075	1.022095	0.353885	0.656162	4.597619
208782_at	0.2575	12.17125	1.008684	0.359684	0.660038	4.599355
213459_at	0.18	7.4125	0.961537	0.380696	0.684842	4.605387
1554348_s	0.3875	2.76125	0.961101	0.380895	0.684842	4.605443
206463_s_at	-0.165	2.0725	0.925284	0.397524	0.698332	4.609945
204896_s_at	-0.175	1.625	0.917413	0.401255	0.698332	4.610924
239045_at	-0.32	2.5025	0.910771	0.404425	0.698332	4.611747
232797_at	-0.2125	2.52625	0.900372	0.409428	0.698332	4.613031
213422_s_at	-0.4675	5.19125	-0.895534	0.411773	0.698332	-4.613625
225731_at	0.26	8.66	0.894627	0.412214	0.698332	-4.613737
205726_at	-0.3025	8.26625	-0.887149	0.415861	0.698332	-4.614652
1557129_a	0.3675	2.49625	0.874899	0.42189	0.701835	-4.616144
225727_at	0.5325	6.82375	0.841999	0.438416	0.722575	-4.620098
210787_s_at	0.3225	3.03875	0.833219	0.442909	0.723283	-4.62114
214038_at	-0.3275	2.85625	-0.823812	0.447762	0.72456	-4.62225
230306_at	0.225	6.7175	0.815967	0.451839	0.724571	-4.62317
217013_at	-0.1475	2.35875	-0.792216	0.464352	0.731038	-4.625924
230762_at	-0.2975	3.61875	-0.788693	0.46623	0.731038	-4.626329
240278_at	-0.1475	2.38875	-0.772514	0.474925	0.731038	-4.628173
