# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_003226.2|NM_003226	hgnc_symbol|TFF3|TFF3
refseq_dna|NM_031310.1|NM_031310	hgnc_symbol|PLVAP|PLVAP
refseq_dna|NM_000239.1|NM_000239	hgnc_symbol|LYZ|LYZ
refseq_dna|NM_000014.4|NM_000014	hgnc_symbol|A2M|A2M
refseq_dna|NM_002909.3|NM_002909	hgnc_symbol|REG1A|REG1A
refseq_dna|NM_002644.2|NM_002644	hgnc_symbol|PIGR|PIGR
refseq_dna|NM_000582.2|NM_000582	hgnc_symbol|SPP1|SPP1
refseq_dna|NM_000518.4|NM_000518	hgnc_symbol|HBB|HBB
refseq_dna|NM_019111.3|NM_019111	hgnc_symbol|HLA-DRA|HLA-DRA
refseq_dna|NM_000477.3|NM_000477	hgnc_symbol|ALB|ALB
refseq_dna|NM_004063.2|NM_004063	hgnc_symbol|CDH17|CDH17
refseq_dna|NM_003332.2|NM_003332	hgnc_symbol|TYROBP|TYROBP
refseq_dna|NM_015991.1|NM_015991	hgnc_symbol|C1QA|C1QA
refseq_dna|XM_941953.1|XM_941953	hgnc_symbol|LOC652493|LOC652493
refseq_dna|NM_001629.2|NM_001629	hgnc_symbol|ALOX5AP|ALOX5AP
refseq_dna|NM_005518.2|NM_005518	hgnc_symbol|HMGCS2|HMGCS2
refseq_dna|NM_002964.3|NM_002964	hgnc_symbol|S100A8|S100A8
refseq_dna|XM_942302.1|XM_942302	hgnc_symbol|LOC652694|LOC652694
refseq_dna|NM_002153.1|NM_002153	hgnc_symbol|HSD17B2|HSD17B2
refseq_dna|NM_000035.2|NM_000035	hgnc_symbol|ALDOB|ALDOB
refseq_dna|NM_000295.3|NM_000295	hgnc_symbol|SERPINA1|SERPINA1
refseq_dna|NM_000667.2|NM_000667	hgnc_symbol|ADH1A|ADH1A
refseq_dna|NM_000777.2|NM_000777	hgnc_symbol|CYP3A5|CYP3A5
refseq_dna|NM_003122.2|NM_003122	hgnc_symbol|SPINK1|SPINK1
refseq_dna|NM_012072.2|NM_012072	hgnc_symbol|C1QR1|C1QR1
refseq_dna|NM_000039.1|NM_000039	hgnc_symbol|APOA1|APOA1
refseq_dna|NM_000552.2|NM_000552	hgnc_symbol|VWF|VWF
refseq_dna|NM_000558.3|NM_000558	hgnc_symbol|HBA1|HBA1
refseq_dna|NM_176813.3|NM_176813	hgnc_symbol|BCMP11|BCMP11
refseq_dna|NM_002922.3|NM_002922	hgnc_symbol|RGS1|RGS1
refseq_dna|XM_936253.1|XM_936253	hgnc_symbol|LOC642113|LOC642113
refseq_dna|NM_000583.2|NM_000583	hgnc_symbol|GC|GC
refseq_dna|NM_006762.1|NM_006762	hgnc_symbol|LAPTM5|LAPTM5
refseq_dna|NM_000491.2|NM_000491	hgnc_symbol|C1QB|C1QB
refseq_dna|NM_005211.2|NM_005211	hgnc_symbol|CSF1R|CSF1R
refseq_dna|NM_005410.2|NM_005410	hgnc_symbol|SEPP1|SEPP1
refseq_dna|NM_000567.2|NM_000567	hgnc_symbol|CRP|CRP
refseq_dna|NM_002083.2|NM_002083	hgnc_symbol|GPX2|GPX2
refseq_dna|NM_000211.1|NM_000211	hgnc_symbol|ITGB2|ITGB2
refseq_dna|NM_173596.1|NM_173596	hgnc_symbol|SLC39A5|SLC39A5
refseq_dna|NM_005141.2|NM_005141	hgnc_symbol|FGB|FGB
refseq_dna|NM_000067.1|NM_000067	hgnc_symbol|CA2|CA2
refseq_dna|NM_001633.2|NM_001633	hgnc_symbol|AMBP|AMBP
refseq_dna|NM_021983.4|NM_021983	hgnc_symbol|HLA-DRB4|HLA-DRB4
refseq_dna|NM_002474.1|NM_002474	hgnc_symbol|MYH11|MYH11
refseq_dna|XM_939003.1|XM_939003	hgnc_symbol|LOC649923|LOC649923
refseq_dna|NM_000597.2|NM_000597	hgnc_symbol|IGFBP2|IGFBP2
refseq_dna|NM_006149.2|NM_006149	hgnc_symbol|LGALS4|LGALS4
refseq_dna|NM_001004430.1|NM_001004430	hgnc_symbol|MUC17|MUC17
refseq_dna|NM_003225.2|NM_003225	hgnc_symbol|TFF1|TFF1
refseq_dna|NM_002118.3|NM_002118	hgnc_symbol|HLA-DMB|HLA-DMB
refseq_dna|NM_001645.3|NM_001645	hgnc_symbol|APOC1|APOC1
refseq_dna|XM_936518.1|XM_936518	hgnc_symbol|LOC647450|LOC647450
refseq_dna|NM_172369.2|NM_172369	hgnc_symbol|C1QC|C1QC
refseq_dna|NM_002298.2|NM_002298	hgnc_symbol|LCP1|LCP1
