Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	FFPE FD	FFPE p value	FF FD	FF p value
1552274_at	PX domain containing serine/threonine kinase	PXK	chr3p14.3	-2.9793549262454	0.000106062	-1.9656411970905	0.003595435
1552302_at	transmembrane protein 106A /// similar to transmembrane protein 106A	FLJ77644 /// TMEM106A	chr17q21.31	-3.60500185044332	0.000672901	-3.28296643524199	0.000315349
1552367_a_at	scinderin	SCIN	chr7p21.3	-16.564238781462	8.32596E-05	-41.3552905803997	0.000111757
1552478_a_at	interferon regulatory factor 6	IRF6	chr1q32.3-q41	-1.88556907183648	0.000927825	-2.80888975147599	3.67066E-05
1553140_at	pelota homolog (Drosophila)	PELO	chr5q11.2	-4.57889664239474	0.000198817	-3.6553258009176	0.009510488
1553151_at	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2	ATP6V0D2	---	-13.7847385553923	3.39316E-05	-25.9920766833995	1.01305E-05
1553153_at	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2	ATP6V0D2	---	-9.57982963695143	0.000217205	-35.506223106171	1.88804E-06
1553155_x_at	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2	ATP6V0D2	---	-7.86256478836201	0.001091222	-29.446004819996	8.76221E-06
1553944_at	melanoma inhibitory activity 2	MIA2	chr14q13.2	-5.65685424949238	2.92769E-05	-9.31786869174765	6.19157E-07
1553978_at	myocyte enhancer factor 2B	MEF2B	chr19p12	-1.86606598307361	0.001371928	-2.07052984768276	0.001370066
1554089_s_at	Shwachman-Bodian-Diamond syndrome /// Shwachman-Bodian-Diamond syndrome pseudogene	SBDS /// SBDSP	chr7q11.21 /// chr7q11.23	-2	6.748E-06	-1.64718203453515	0.001857913
1554285_at	hepatitis A virus cellular receptor 2	HAVCR2	chr5q33.3	-4.82323131076304	0.000501509	-5.48313121991881	0.002332221
1554414_a_at	oxidative stress induced growth inhibitor family member 2	OSGIN2	chr8q21	-2.49666109780322	0.000172544	-1.97246540898672	0.001945201
1554420_at	activating transcription factor 3	ATF3	chr1q32.3	-1.99308052565574	0.000399656	-1.5965967727133	0.008485942
1554690_a_at	transforming, acidic coiled-coil containing protein 1	TACC1	chr8p11	-4.62675273562115	5.56885E-06	-3.07375036257602	0.005690655
1554714_at	RELT-like 1	RELL1	---	-3.34035167771348	4.19726E-05	-3.91768119034771	1.69273E-05
1554717_a_at	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	PDE4D	chr5q12	-2.78948733270081	0.004740066	-6.82107913414365	6.28583E-05
1554748_at	chloride channel Kb	CLCNKB	chr1p36	-21.1121265723663	0.005980758	-32.222577601815	0.001362133
1554774_at	MYC induced nuclear antigen	MINA	chr3q11.2	-2.69446715373138	4.32246E-05	-3.31727818325777	4.42193E-06
1554804_a_at	claudin 19	CLDN19	chr1p34.2	-6.91629785046292	2.30393E-06	-2.95877501849768	0.000221985
1554842_at	solute carrier family 12 (sodium/potassium/chloride transporters), member 1	SLC12A1	chr15q15-q21.1	-13.2691127330311	0.000132302	-4.24275096547287	0.00473935
1554997_a_at	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	PTGS2	chr1q25.2-q25.3	-3.34035167771348	0.001731585	-7.26015324253729	0.000296622
1555000_at	OK/SW-CL.36	---	---	-40.7859400742164	1.05928E-06	-5.4076433321125	0.00130958
1555203_s_at	solute carrier family 44, member 4	SLC44A4	chr6p21.3	-1.79626474576787	0.002309721	-2.01391110011344	0.000436433
1555240_s_at	guanine nucleotide binding protein (G protein), gamma 12	GNG12	chr1p31.3	-2.39495740923786	0.000270992	-1.79005014185594	0.004654892
1555419_a_at	N-acylsphingosine amidohydrolase (acid ceramidase) 1	ASAH1	chr8p22-p21.3	-2.56685179512581	0.001600205	-3.94493081797344	0.001075831
