Bad	Good	Symbol	Notes
68	2,876	SLC40A1	Regulator of iron.
61	2,354	SEPP1	Selenoprotein P, plasma, 1
60	1,558	CD163	CD163 molecule—marker of macrophage activity.
66	1,634	RPS4Y1	Ribosomal protein S4, Y-linked 1
186	4,561	SLCO2B1	Solute carrier organic anion transporter family 2B1
152	2,672	AIF1	Promoter of macrophage survival.
62	1,042	M160	Scavenger receptor cysteine-rich type 1 protein
657	10,021	MS4A6A
567	8,602	CD14	CD14 molecule—monocyte marker
153	2,231	S100A9	S100 calcium binding protein A9 (calgranulin B)
90	1,295	CCL18	Chemotactic for activated T cells and lymphocytes.
316	4,414	F13A1	Coagulation factor XIII, A1 polypeptide
174	2,314	CCL23	Chemotactic for resting T cells and monocytes.
60	781	FOLR2	Folate receptor 2 (foetal)
201	2,416	GPNMB	Glycoprotein (transmembrane) nmb
223	2,357	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene
62	639	EIF1AY	Eukaryotic translation initiation factor 1A, Y-linked
427	4,318	LGMN	Legumain—a lysosomal cysteine protease.
344	3,193	CTSC	Cathepsin C—activator of proteases.
197	1,716	STAB1	Stabilin 1—expressed on macrophages.
