Affymetrix Probe ID	Mean HN	Mean DCIS	Fold Change	Probability	Gene Name	Gene Description
203108_at	71.1	8.00E+02	9.86E+00	7.13E-05	GPRC5A	G PROTEIN-COUPLED RECEPTOR, FAMILY C, GROUP 5, MEMBER A
220150_s_at	10.99	7.61E+01	6.61	1.57E-03	NEK2	NIMA (NEVER IN MITOSIS GENE A)-RELATED KINASE 2
208653_s_at	1.71E+01	2.61E+02	5.81	3.68E-04	S100P	S100 CALCIUM BINDING PROTEIN P
211719_x_at	215.63	1.63E+03	5.14	1.19E-03	FN1	FIBRONECTIN 1
207828_s_at	1.88E+02	1.16E+03	5.01	3.13E-03	SCD	STEAROYL-COA DESATURASE (DELTA-9-DESATURASE)
209970_x_at	79.95	4.09E+02	4.73	1.09E-02	RRM2	RIBONUCLEOTIDE REDUCTASE M2 POLYPEPTIDE
212464_s_at	1.52E+02	1.05E+03	4.68	1.70E-03	FN1	FIBRONECTIN 1
205081_at	73.56	5.32E+02	4.51	1.34E-02	CRIP1	CYSTEINE-RICH PROTEIN 1 (INTESTINAL)
212444_at	151.1	8.55E+02	4.36	1.45E-03	GPRC5A	G PROTEIN-COUPLED RECEPTOR, FAMILY C, GROUP 5, MEMBER A
214858_at	14.57	8.47E+01	4.18	3.03E-03	GPC1	GLYPICAN 1
216442_x_at	292.94	1.46E+03	3.94	1.30E-03	FN1	FIBRONECTIN 1
210495_x_at	297.72	1.51E+03	3.77	1.01E-03	FN1	FIBRONECTIN 1
211366_x_at	39.78	1.77E+02	3.53	1.98E-03	RRM2	RIBONUCLEOTIDE REDUCTASE M2 POLYPEPTIDE
212914_at	26.61	3.26E+02	3.3	9.66E-04	S100A8	S100 CALCIUM BINDING PROTEIN A8 (CALGRANULIN A)
41660_at	170.36	6.72E+02	3.21	5.03E-03	SCCPDH	SACCHAROPINE DEHYDROGENASE (PUTATIVE)
204508_s_at	170.7	5.88E+02	3.1	4.89E-03	CA12	CARBONIC ANHYDRASE XII
201818_at	140.9	6.09E+02	3.09	1.04E-03	MUC1	MUCIN 1, TRANSMEMBRANE
