Gene symbol	Fold change	95% CI	P-value
CDK1	1.316	1.132  to  1.504	0.001
CDK2	0.511	0.346 to 0.677	0.106
CDK3	0.337	0.207 to 0.466	0.169
CDK4	1.391	1.235 to 1.550	0.001
CDK5	0.279	0.147 to 0.479	0.388
CDK6	0.751	0.431 to 1.073	0.203
CDK7	-1.436	-1.576 to -1.230	0.001
CDK8	-0.65	-0.790 to -0.510	0.008
CDK9	0.235	0.137 to 0.374	0.297
CDK10	-0.282	-0.502 to -0.066	0.51
CDK11A	0.741	0.573 to 0.911	0.017
CDK11B	0.982	0.795 to 1.177	0.004
CDK12	0.789	0.622 to 0.958	0.007
CDK13	-0.328	-0.490 to -0.170	0.32
PFTK1	2.607	2.231 to 2.983	0.001
CDK14	2.607	2.231 to 2.983	0.001
CDK15	-0.249	-0.411 to -0.087	0.429
CDK16	-0.084	-0.245 to 0.054	0.795
CDK17	0.354	0.166 to 0.542	0.328
CDK18	1.45	1.225 to 1.680	0.001
CDK19	-0.493	-0.656 to -0.330	0.101
CDK20	0.036	-0.275 to 0.342	0.96
