UID	NAME	C1	C3	C2	E1	E6	E5	E3	E4	E2
A_01_P018073	||  || A_01_P018073 ||  || PREDICTED: Macaca mulatta inositol 1,4,5-triphosphate receptor, type 1 (ITPR1), mRNA [XR_012237] ||  ||  || 6291821	-2.54	-1.52	-1.89	-0.16	-0.51	0.56	-0.34	0.29	-0.54
A_01_P011271	||  || A_01_P011271 ||  || Homo sapiens IBR domain containing 2 (IBRDC2), mRNA. [NM_182757] ||  ||  || 6271644	-2.56	-1.87	-1.3	-0.28	0.44	0.59	1.01	-0.16	-0.23
A_01_P013656	||  || A_01_P013656 ||  || Homo sapiens ring finger protein 126 (RNF126), transcript variant 2, mRNA [NM_194460] ||  ||  || 6290426	-2	-1.52	-0.85	0	0.84	0.37	0.18	0.42	-0.14
A_01_P020207	||  || A_01_P020207 ||  || Homo sapiens glutaminase 2 (liver, mitochondrial) (GLS2), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA [NM_013267] ||  ||  || 6292466	-1.07	-0.47	-1.08	0.82	0.28	0.57	0.64	0.34	0.1
A_01_P006181	||  || A_01_P006181 ||  || ILLUMIGEN_MCQ_8175 Katze_MMBR Macaca mulatta cDNA clone IBIUW:3369 5 similar to Bases 89 to 209 highly similar to human Unigene Hs.520088, mRNA sequence [CN643617] ||  ||  || 6291038	-1.1	-0.78	-0.81	0	-0.01	0.44	0.13	0.47	0.06
A_01_P004115	||  || A_01_P004115 ||  || Homo sapiens hypothetical protein MGC35402 (MGC35402), mRNA. [NM_203307] ||  ||  || 6275331	-1.58	-1.34	-1.56	0	1.04	-0.14	0.03	-0.25	0.42
A_01_P007738	||  || A_01_P007738 ||  || Homo sapiens hypothetical protein FLJ30046 (FLJ30046), mRNA [NM_144595] ||  ||  || 6290334	-1.96	-2.21	-1.75	-0.76	0.19	-0.77	-0.11	-0.32	-0.77
A_01_P003317	||  || A_01_P003317 ||  || Homo sapiens ribosomal protein, large P2 (RPLP2), mRNA [NM_001004] ||  ||  || 6282975	-1.17	-0.9	-0.94	0.09	0.06	0.13	-0.04	-0.15	-0.34
A_01_P007983	||  || A_01_P007983 ||  || Homo sapiens phosphoglucomutase 2-like 1 (PGM2L1), mRNA [NM_173582] ||  ||  || 6283505	-1.09	-1.27	-0.28	0.14	0.86	0.94	1.33	1.15	0.99
A_01_P018921	||  || A_01_P018921 ||  || Homo sapiens copine II (CPNE2), mRNA. [NM_152727] ||  ||  || 6288794	-0.89	-1.61	-1.64	-0.35	0.56	0.22	0.34	0.83	0.12
A_01_P000249	||  || A_01_P000249 ||  || PREDICTED: Homo sapiens hypothetical protein FLJ10747 (FLJ10747), mRNA [XM_371236] ||  ||  || 6292508	-0.36	-1.3	-0.23	0.72	1.23	0.98	0.99	1.19	1.86
A_01_P012922	||  || A_01_P012922 ||  || Homo sapiens HIV-1 Rev binding protein (HRB), mRNA [NM_004504] ||  ||  || 6269976	-0.68	-1.92	-1.05	0.48	0.35	0.66	1.02	0.63	0.05
A_01_P016170	||  || A_01_P016170 ||  || Homo sapiens chromosome 1 open reading frame 26 (C1orf26), mRNA. [NM_017673] ||  ||  || 6276648	-2.45	-2.59	-2.97	-0.83	-1.54	-1.66	-1.27	-1.56	-1.2
A_01_P017124	||  || A_01_P017124 ||  || Homo sapiens ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G isoform 3 (ATP6V1G3), transcript variant 1, mRNA. [NM_133262] ||  ||  || 6285487	-1.78	-0.51	-1.43	0.18	0.55	0.34	0.65	0.39	1.16
A_01_P016889	||  || A_01_P016889 ||  || Homo sapiens syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1) (SNTB1), mRNA [NM_021021] ||  ||  || 6281494	-1.91	-1.26	-1.49	0	0.99	0.38	0.01	-0.2	-0.24
A_01_P001516	||  || A_01_P001516 ||  || Homo sapiens hypothetical protein FLJ37440 (FLJ37440), mRNA [NM_153214] ||  ||  || 6269184	-1.26	-1.02	-1.2	0	0	0.09	0.03	-0.49	-0.29
A_01_P008346	||  || A_01_P008346 ||  || Homo sapiens down-regulator of transcription 1, TBP-binding (negative cofactor 2) (DR1), mRNA. [NM_001938] ||  ||  || 6269174	-1.82	-1.06	-1.49	-0.17	0.52	1.21	1.36	0.43	0.14
A_01_P002692	||  || A_01_P002692 ||  || Homo sapiens G protein-coupled receptor 126 (GPR126), mRNA. [NM_020455] ||  ||  || 6282252	-1.33	-1.15	-0.76	-0.12	0.18	0.03	0.48	0.62	0.72
A_01_P012251	||  || A_01_P012251 ||  || Homo sapiens centrosome-associated protein 350 (CAP350), mRNA. [NM_014810] ||  ||  || 6268753	-2.15	-1.34	-2.07	-0.8	-0.7	-0.29	-0.3	-0.65	-0.41
A_01_P000539	||  || A_01_P000539 ||  || Homo sapiens transcription factor 7 (T-cell specific, HMG-box) (TCF7), transcript variant 1, mRNA [NM_003202] ||  ||  || 6285649	-2.47	-1.94	-2.27	-0.34	-0.87	-0.98	-1.21	-0.46	-1.09
A_01_P004257	||  || A_01_P004257 ||  || Homo sapiens nuclear transport factor 2 (NUTF2), mRNA [NM_005796] ||  ||  || 6285103	-0.77	-1.55	-1.48	0.79	0.29	-0.08	0.57	0.2	-0.11
A_01_P006575	||  || A_01_P006575 ||  || Homo sapiens G protein-coupled receptor 126 (GPR126), transcript variant a1, mRNA [NM_020455] ||  ||  || 6283800	-1.8	-1.4	-2.66	-0.55	-0.54	0.05	-0.53	-0.36	-0.15
A_01_P010181	||  || A_01_P010181 ||  || Homo sapiens mitogen-activated protein kinase kinase kinase 2 (MAP3K2), mRNA [NM_006609] ||  ||  || 6283552	-1.23	-1.46	-1.38	-0.26	0.39	-0.2	0.14	-0.46	-0.31
A_01_P011118	||  || A_01_P011118 ||  || AGENCOURT_11823222 NICHD_Rh_Ov1 Macaca mulatta cDNA clone IMAGE:6917788 5, mRNA sequence [CB309129] ||  ||  || 6274941	-1.31	-1.06	-1.08	0	-0.37	0.4	0.15	0.15	-0.24
A_01_P004264	||  || A_01_P004264 ||  || Homo sapiens COX15 homolog, cytochrome c oxidase assembly protein (yeast) (COX15), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA. [NM_078470] ||  ||  || 6277202	-0.75	-1.42	-1.65	0.53	0.67	0.9	0.6	-0.23	0.06
A_01_P004845	||  || A_01_P004845 ||  || PREDICTED: Macaca mulatta similar to Protein C20orf177 (LOC720556), mRNA [XR_014469] ||  ||  || 6287053	-0.63	-1.18	-0.68	0.83	0.87	0.93	0.95	0.99	1.18
A_01_P013310	||  || A_01_P013310 ||  || Homo sapiens WD repeat domain 41 (WDR41), mRNA. [NM_018268] ||  ||  || 6290153	-1.1	-0.97	-1.78	0.44	0.66	0.61	0.6	0.78	0.84
A_01_P013491	||  || A_01_P013491 ||  || Homo sapiens nucleolar protein 7, 27kDa (NOL7), mRNA [NM_016167] ||  ||  || 6273620	-1.99	-1.72	-1.52	0	0.35	-0.18	-0.05	-0.24	0.16
