Genes	?Treated cycles (n=7) Mean fold change (range)	?Treated cycles (n=7) P value
PAEP	4.4(+2.0to +31.5)	0.018
TGM2	3.3(+1.0to +7.4)	0.018
CLU	2.3(+1.3to +10.4)	0.018
IGF2	2.0(+1.2to +7.5)	0.018
IL6ST	1.7(+1.0to +3.5)	0.027
HGD	-2.7(-5.6to +1.0)	0.018
EVA1	-3.0(-3.9to -1.5)	0.018
LOC90133	-1.3(-2.6to -1.1)	0.04
SAT1	-3.8(-5.1to -2.0)	0.018
ANXA1	-3.5(-4.9to -2.7)	0.028
SLC25A29	-2.4(-2.7to -1.4)	0.018
CYB5A	-1.8(-3.5to -1.1)	0.018
FAU	-1.3(-2.5to +1.1)	0.028
CRIP1	-2.0(-3.0to -1.3)	0.018
SLC39A14	-2.4(-3.6to -1.4)	0.018
