Curated miRBase	P-value	Fold change	Predicted target genes with known apoptosis or antiapoptosis functions	miRNA
hsa-miR-30d	0.0000287	2.19	IL1A, NEFL, PRLR, BECN1, SOCS3, ABL1, ACTC1, RHOB, PRDM1, PAWR, RARG, KLF10, TIMP3, UNC5C, ATG5, IRF4, PTPN13, DDIT4	miR-30d
hsa-miR-10b	0.0000718	2.2	MAP3K7, GATA6, TBX5, KLF11, CADM1, BDNF, BCL2L11, BCL6	miR-10b
hsa-miR-34a	0.000488	1.85	BCL2, SOX4, PEA15, EI24, KIAA1967, SGPP1, BCL6	miR-34a
hsa-miR-195	0.000783	1.96	FGF2, PTH, SGK1, BAG5, UBE4B, BNDF, CD28	miR-195
hsa-miR-222	0.00114826	-1.85	BCL2L11, IRF2, ANGPTL4, CDKN1B, MLL	miR-222
hsa-miR-221	0.00141856	-1.78	BCL2L11, IRF2, ANGPTL4, CDKN1B, MLL	miR-221
hsa-miR-31	0.00254735	1.52	CD28	miR-31
hsa-miR-7	0.003192	-1.75	SNCA, RAF1, VDAC1, DDIT4, PTK2	miR-7
hsa-miR-663	0.00610938	-5.34	DPF1	miR-663
hsa-miR-193b	0.00826575	-1.54	MCL1, MAPK10, SIAH1	miR-193b
hsa-miR-18a	0.0239308	2.18	GCLC, IGF1	miR-18a
