Probe Set ID	Gene Symbol	Gene Title	SRA/RCAS; Linear fold change	CEF 72-4; Linear fold change	CNR 72-4; Linear fold change
Gga.817.1.S1_at	PLAU	plasminogen activator, urokinase	44.94	9.78	6.96
Gga.5778.1.S1_a_at	LOC769246	hypothetical protein LOC769246	44.63	4.44	12.47
Gga.666.1.S1_a_at	VIP	vasoactive intestinal peptide	38.59	8.34	5.43
Gga.11969.1.S1_at	CYTL1	cytokine-like 1	20.11	-2.64	-2.27
Gga.11456.1.S1_at	LOC418268	similar to PLCPI=cysteine proteinase inhibitor	18.13	2.13	12.82
Gga.826.1.S1_s_at	IL8	interleukin 8	14.12	7.41	4.17
Gga.2680.1.S1_at	AQP1	aquaporin 1	11.71	4.38	5.58
GgaAffx.8298.1.S1_at	UPP1	uridine phosphorylase 1	7.52	5.24	9.51
Gga.150.2.S1_a_at	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	5.31	4.44	5.86
Gga.16627.1.S1_at	LOC419930	hypothetical LOC419930	5.21	2.51	10.93
GgaAffx.21279.1.S1_at	UPP1	uridine phosphorylase 1	5.03	4.17	8
Gga.1111.1.S1_a_at	USP18	ubiquitin specific peptidase 18	4.26	2.17	3.89
Gga.12209.2.S1_a_at	LOC422672	similar to VLLH2748	3.94	2.01	2.87
Gga.2039.1.S1_at	HMOX1	heme oxygenase (decycling) 1	3.86	2.33	6.45
Gga.19230.1.S1_s_at	EAF2	ELL associated factor 2	3.29	2.85	4.59
Gga.4999.2.S1_at	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	3.16	2.66	-2.36
Gga.385.1.S1_at	DUSP4	dual specificity phosphatase 4	3.07	2.93	4.35
Gga.18801.1.S1_at	---	Finished cDNA, clone ChEST766f10	3.05	2.23	-2.08
GgaAffx.20379.1.S1_at	---	Finished cDNA, clone ChEST914o3	2.99	2.81	3.36
Gga.8190.1.S1_at	LOC421544	similar to digestive tract-specific calpain; calcium-dependent cysteine proteinase	2.79	2.13	2.93
Gga.4401.1.S1_a_at	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	2.77	2.3	4.08
Gga.19147.1.S1_at	---	Finished cDNA, clone ChEST766h5	2.58	2.06	5.9
Gga.1171.1.S1_at	LY6E	lymphocyte antigen 6 complex, locus E	2.46	3.29	2.31
Gga.3332.1.S1_at	MXRA8	matrix-remodelling associated 8	2.23	-2.95	-3.03
Gga.9903.1.S1_at	---	Transcribed locus	-1.69	-2.57	-2.27
Gga.552.1.S1_at	DIO3	deiodinase, iodothyronine, type III	-1.8	-5.21	-2.58
Gga.4851.1.S1_at	COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	-1.99	-2.58	-18.38
Gga.16844.2.S1_at	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	-2.01	-2.62	-2.6
Gga.17661.1.S1_s_at	---	Finished cDNA, clone ChEST908h8	-2.11	-2.93	-2.66
Gga.17034.1.S1_s_at	YPEL2	yippee-like 2 (Drosophila)	-2.16	-2.45	-2.36
Gga.2839.1.S1_at	COL2A1	collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	-2.19	-2.14	-6.45
