Genes	Regulation
7A5	Down
ANLN	Down
ANXA3	Down
ASCL2	Down
AXIN2	Down
AZGP1	Down
BGN	Down
C20orf199	Down
CCL20	Down
CCND1	Down
CDCA7	Down
CDH11	Down
CDH3	Down
CKS2	Down
CLDN1	Down
COL11A1	Down
COL12A1	Down
COL1A1	Down
COL1A2	Down
COL8A1	Down
CSE1L	Down
CST1	Down
CTHRC1	Down
CXCL1	Down
CXCL2	Down
CXCL3	Down
CXCL5	Down
DPEP1	Down
DUSP27	Down
ECT2	Down
ENC1	Down
FAM148A	Down
FAP	Down
FERMT1	Down
FOXQ1	Down
GDF15	Down
GPR56	Down
hCG_1815491	Down
HIG2	Down
IL8	Down
INHBA	Down
JUB	Down
KIAA1199	Down
KRT23	Down
LCN2	Down
LGR5	Down
LY6G6D	Down
MET	Down
MMP1	Down
MMP11	Down
MMP12	Down
MMP3	Down
MMP7	Down
MSLN	Down
MTHFD1L	Down
MYC	Down
NEBL	Down
NFE2L3	Down
PHLDA1	Down
PSAT1	Down
PUS7	Down
REG1A	Down
REG1B	Down
REG3A	Down
RNF43	Down
RPL22L1	Down
S100A11	Down
S100P	Down
SCD	Down
SERPINB5	Down
SERPINE2	Down
SFRP4	Down
SLC12A2	Down
SLC39A10	Down
SLC6A6	Down
SLC7A5	Down
SLCO4A1	Down
SORD	Down
SOX4	Down
SOX9	Down
SPP1	Down
SQLE	Down
SULF1	Down
TACSTD2	Down
TCN1	Down
TDGF1	Down
TESC	Down
TGFBI	Down
THBS2	Down
TIMP1	Down
TMEM97	Down
TMEPAI	Down
TPX2	Down
TRIM29	Down
UBD	Down
UBE2C	Down
WDR72	Down
ABCA8	Up
ABCG2	Up
ABI3BP	Up
ACTG2	Up
ADAMDEC1	Up
ADAMTS1	Up
ADH1B	Up
ADH1C	Up
AGPAT9	Up
AHCYL2	Up
AKR1B10	Up
ALDH1A1	Up
ANGPTL1	Up
ANK2	Up
ANK3	Up
ANPEP	Up
AOC3	Up
AQP8	Up
ARL14	Up
ATP1A2	Up
ATP8B1	Up
BCHE	Up
BEST2	Up
C10orf99	Up
C15orf48	Up
C17orf91	Up
C1orf115	Up
C2orf40	Up
C6orf105	Up
