# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|7965|7965	hgnc_symbol|AIMP2|AIMP2
entrezgene|241|241	hgnc_symbol|ALOX5AP|ALOX5AP
entrezgene|55139|55139	hgnc_symbol|ANKZF1|ANKZF1
entrezgene|301|301	hgnc_symbol|ANXA1|ANXA1
entrezgene|8542|8542	hgnc_symbol|APOL1|APOL1
entrezgene|9823|9823	hgnc_symbol|ARMCX2|ARMCX2
entrezgene|84164|84164	hgnc_symbol|ASCC2|ASCC2
entrezgene|514|514	hgnc_symbol|ATP5E|ATP5E
entrezgene|522|522	hgnc_symbol|ATP5J|ATP5J
entrezgene|9334|9334	hgnc_symbol|B4GALT5|B4GALT5
entrezgene|597|597	hgnc_symbol|BCL2A1|BCL2A1
entrezgene|274|274	hgnc_symbol|BIN1|BIN1
entrezgene|29086|29086	hgnc_symbol|C19orf62|C19orf62
entrezgene|6347|6347	hgnc_symbol|CCL2|CCL2
entrezgene|6352|6352	hgnc_symbol|CCL5|CCL5
entrezgene|30835|30835	hgnc_symbol|CD209|CD209
entrezgene|952|952	hgnc_symbol|CD38|CD38
entrezgene|925|925	hgnc_symbol|CD8A|CD8A
entrezgene|8555|8555	hgnc_symbol|CDC14B|CDC14B
entrezgene|1022|1022	hgnc_symbol|CDK7|CDK7
entrezgene|57680|57680	hgnc_symbol|CHD8|CHD8
entrezgene|1366|1366	hgnc_symbol|CLDN7|CLDN7
entrezgene|55748|55748	hgnc_symbol|CNDP2|CNDP2
entrezgene|1305|1305	hgnc_symbol|COL13A1|COL13A1
entrezgene|10063|10063	hgnc_symbol|COX17|COX17
entrezgene|1337|1337	hgnc_symbol|COX6A1|COX6A1
entrezgene|1512|1512	hgnc_symbol|CTSH|CTSH
