Gene	BM  (15 January  2003)	PB (15 January  2003)
Homeobox protein A5 (HOXA5)	1.04E+01	1.09E+01
GAT A binding protein 2	1.03E+01	5.50E+00
DMA (cytosine-5)-methyltransferase 3B (HsaIIIB)	5.40E+00	4.30E+00
Transforming growth factor beta 1 (TGF-beta 1)	4.80E+00	2.90E+00
T-cell surface glycoprotein E2 (CD99 antigen)	4.70E+00	9.60E+00
Histone H2B	4.40E+00	9.10E+00
Myeloid ecotropic viral integration site-1b (MEIS-1)	4.20E+00	2.30E+00
Van Gogh-like protein 1 (Strabismus 2)	3.70E+00	8.80E+00
Catalase	3.50E+00	2.90E+00
Rho GTPase activating protein 2	3.50E+00	3.40E+00
Pre-B-cell leukaemia transcription factor-3 (Homeobox protein PBX3)	3.20E+00	1.70E+00
Huntingtin-associated protein-interacting protein (Duo protein)	2.80E+00	1.10E+00
b-Pix	2.80E+00	2.80E+00
ASK1	2.70E+00	8.00E-01
Guanine nucleotide-binding protein alpha-15 (Galpha15)	2.60E+00	6.10E+00
RAB37 protein	2.50E+00	2.70E+00
Regulator of G-protein signalling 6 (RGS6)	2.50E+00	7.00E-01
Jumonji/ARID domain-containing protein 1C (SmcX protein)	2.30E+00	1.30E+00
Myeloid cell surface antigen CD33	2.00E+00	2.30E+00
Copine VIII	2.00E+00	8.00E-01
