U133A Probe sets	Gene Symbol	Gene description	test (p53-wt versus p53-mut); t value	test (p53-wt versus p53-mut); p value
201000_at	AARS	alanyl-tRNA synthetase	-4.74	3.51E-05
201327_s_at	CCT6A	chaperonin containing TCP1, subunit 6A (zeta 1)	-5.48	3.41E-06
201663_s_at	SMC4	structural maintenance of chromosomes 4	-4.82	3.35E-05
201967_at	RBM6	RNA binding motif protein 6	4.74	3.36E-05
202870_s_at	CDC20	cell division cycle 20 homolog (S. cerevisiae)	-4.79	3.18E-05
203317_at	PSD4	pleckstrin and Sec7 domain containing 4	4.78	3.02E-05
203418_at	CCNA2	cyclin A2	-4.95	1.75E-05
203428_s_at	ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	-5.41	4.34E-06
203509_at	SORL1	sortilin-related receptor, L(DLR class) A repeats-containing	4.84	2.92E-05
203755_at	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	-5.26	6.70E-06
204510_at	CDC7	cell division cycle 7 homolog (S. cerevisiae)	-4.82	3.22E-05
205339_at	STIL	SCL/TAL1 interrupting locus	-4.7	4.17E-05
205394_at	CHEK1	CHK1 checkpoint homolog (S. pombe)	-4.73	4.26E-05
206364_at	ACOX2	acyl-Coenzyme A oxidase 2, branched chain	-4.65	5.00E-05
207828_s_at	CENPF	centromere protein F, 350/400ka (mitosin)	-4.53	6.27E-05
208628_s_at	YBX1	Y box binding protein 1	-4.69	4.33E-05
209025_s_at	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein	-4.99	1.71E-05
209608_s_at	ACAT2	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	-5.18	1.06E-05
210559_s_at	CDC2	mitogen-activated protein kinase 13	-4.63	4.90E-05
212978_at	LRRC8B	leucine rich repeat containing 8 family, member B	-4.56	5.80E-05
213599_at	OIP5	Opa interacting protein 5	-4.53	6.23E-05
213696_s_at	MED8	mediator complex subunit 8	-5.15	1.07E-05
213876_x_at	ZRSR2	zinc finger (CCCH type),RNA-binding motif and serine/arginine rich 2	4.91	3.19E-05
214188_at	HEXIM1	hexamethylene bis-acetamide inducible 1	4.64	4.50E-05
215371_at	MED27	mediator complex subunit 27	4.59	5.20E-05
218039_at	NUSAP1	nucleolar and spindle associated protein 1	-4.68	4.22E-05
219494_at	RAD54B	RAD54 homolog B (S. cerevisiae)	-4.54	6.72E-05
219918_s_at	ASPM	asp (abnormal spindle) homolog, microcephaly associated(Drosophila)	-4.8	3.50E-05
221677_s_at	DONSON	downstream neighbor of SON	-4.89	2.44E-05
222077_s_at	RACGAP1	Rac GTPase activating protein 1	-4.59	7.12E-05
