Probeset ID	Gene	Description	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)
AGI_MM_OLIGO_A_51_P392950	Sostdc1	sclerostin domain containing 1	6.599639107	5.826666667	0.882876559	43.75469	0.48194086
AGI_MM_OLIGO_A_51_P326826	Mela	melanoma antigen	14.39481139	5.1	0.354294326	34.60329	0.48194086
AGI_MM_OLIGO_A_51_P511927	Slc47a1	Slc47a1 solute carrier family 47, member 1	4.262875482	3.966666667	0.930514317	12.67528	0.48194086
AGI_MM_OLIGO_A_51_P493234	Cp	ceruloplasmin	6.760671849	3.19	0.471846596	9.46456	0.48194086
AGI_MM_OLIGO_A_51_P326191	Serpina3g	serine (or cysteine) peptidase inhibitor, clade A, member 3G	3.45410587	3.303333333	0.956349764	8.29353	0.48194086
AGI_MM_OLIGO_A_51_P220976	Ifng	interferon gamma	2.580127676	2.587333333	1.002792752	6.88943	1.322362421
AGI_MM_OLIGO_A_51_P207601	Aqp5	aquaporin 5	3.893257277	2.883333333	0.740596659	6.55982	0.48194086
AGI_MM_OLIGO_A_51_P327405	LOC634650	similar to macrophage activation 2	3.24414573	2.546666667	0.785003782	6.54123	1.092973022
AGI_MM_OLIGO_A_51_P288138	Fpr-rs2	formyl peptide receptor, related sequence 2	3.312063631	2.646666667	0.799098979	6.42725	1.092973022
AGI_MM_OLIGO_A_51_P120830	Mmp10	matrix metallopeptidase 10	3.843545069	2.46	0.640034124	6.05552	0.48194086
AGI_MM_OLIGO_A_51_P215237	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	4.028539108	2.753333333	0.68345702	6.00345	0.48194086
AGI_MM_OLIGO_A_51_P444283	Slamf8	SLAM family member 8	2.809410184	3.066666667	1.09156957	5.87312	1.280470486
AGI_MM_OLIGO_A_51_P184006	Cpxm2	carboxypeptidase X 2 (M14 family)	3.152995989	2.413333333	0.765409579	5.77958	1.092973022
AGI_MM_OLIGO_A_51_P176154	Sirpb1	signal-regulatory protein beta 1	3.254167169	2.62	0.805121515	5.6901	1.092973022
AGI_MM_OLIGO_A_51_P379268	C130053K05Rik	RIKEN cDNA C130053K05 gene	5.461433224	2.506666667	0.45897598	5.58126	0.48194086
AGI_MM_OLIGO_A_51_P285736	Pdcd1	programmed cell death 1	2.534560202	2.483333333	0.979788656	5.30678	1.322362421
AGI_MM_OLIGO_A_51_P269709	Klra2	killer cell lectin-like receptor, subfamily A, member 2	2.721366654	2.183333333	0.802292969	5.10061	1.280470486
AGI_MM_OLIGO_A_51_P201982	Angpt2	angiopoietin 2	3.021022019	2.436666667	0.80657031	4.92489	1.275135192
AGI_MM_OLIGO_A_51_P363187	Cxcl1	chemokine (C-X-C motif) ligand 1	3.587541229	2.416666667	0.673627566	4.83318	0.48194086
AGI_MM_OLIGO_A_51_P112355	Igtp	interferon gamma induced GTPase	2.816371407	2.61	0.926724364	4.80832	1.280470486
