Probeset ID	Gene	Description	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)
AGI_MM_OLIGO_A_51_P392950	Sostdc1	sclerostin domain containing 1	10.47201575	6.757857143	0.645325342	105.84959	0.039932606
AGI_MM_OLIGO_A_51_P326826	Mela	melanoma antigen	17.64990936	4.873428571	0.276116351	29.50633	0.039932606
AGI_MM_OLIGO_A_51_P511927	Slc47a1	Slc47a1 solute carrier family 47, member 1	17.577464	4.153928571	0.236321267	18.06991	0.039932606
AGI_MM_OLIGO_A_51_P256827	S100a8	S100 calcium binding protein A8 (calgranulin A)	2.260975519	2.110357143	0.933383455	7.50905	0.480801584
AGI_MM_OLIGO_A_51_P202033	Gpr177	G protein-coupled receptor 177	5.819808001	2.8225	0.484981635	7.03624	0.039932606
AGI_MM_OLIGO_A_51_P493234	Cp	ceruloplasmin	6.733676479	2.818571429	0.418578385	7.00032	0.039932606
AGI_MM_OLIGO_A_51_P499020	Fbp2	fructose bisphosphatase 2	5.917141632	2.849285714	0.481530761	6.62989	0.039932606
AGI_MM_OLIGO_A_51_P174314	Robo1	roundabout homolog 1 (Drosophila)	4.742898865	2.418928571	0.510010574	6.01424	0.039932606
AGI_MM_OLIGO_A_51_P290213	Insig1	insulin induced gene 1	2.596244775	2.695	1.038037717	5.93331	0.177447145
AGI_MM_OLIGO_A_51_P399305	Tnfrsf19	tumor necrosis factor receptor superfamily, member 19	4.314228178	2.957857143	0.68560517	5.43462	0.039932606
AGI_MM_OLIGO_A_51_P484158	Steap1	six transmembrane epithelial antigen of the prostate 1	6.688036672	2.458928571	0.367660749	5.31802	0.039932606
AGI_MM_OLIGO_A_51_P337308	Saa3	serum amyloid A 3	2.412532863	1.843928571	0.764312313	5.15675	0.335570027
AGI_MM_OLIGO_A_51_P146126	Cdkn1b	cyclin-dependent kinase inhibitor 1B (P27)	4.419705106	2.242857143	0.5074676	5.06503	0.039932606
AGI_MM_OLIGO_A_51_P104798	Lrrn6a	leucine rich repeat neuronal 6A	5.134497188	2.323214286	0.452471625	5.00894	0.039932606
AGI_MM_OLIGO_A_51_P333839	Pdgfc	platelet-derived growth factor, C polypeptide	5.325861605	2.440107143	0.458161951	4.95279	0.039932606
AGI_MM_OLIGO_A_51_P145453	Xist	inactive X specific transcripts	4.347923154	2.408571429	0.553959061	4.95007	0.039932606
AGI_MM_OLIGO_A_51_P303160	Arg1	arginase 1, liver	5.509486608	2.269642857	0.411951788	4.63012	0.039932606
AGI_MM_OLIGO_A_51_P201054	Cmkor1	chemokine orphan receptor 1	6.59207808	2.188214286	0.331946051	4.61025	0.039932606
AGI_MM_OLIGO_A_51_P429308	Neto2	neuropilin (NRP) and tolloid (TLL)-like 2	5.333438201	2.133571429	0.400036777	4.51746	0.039932606
AGI_MM_OLIGO_A_51_P337523	Adcy2	adenylate cyclase 2	5.602376485	2.145357143	0.382936982	4.3871	0.039932606
AGI_MM_OLIGO_A_51_P468876	Dixdc1	DIX domain containing 1	5.478562802	2.085357143	0.380639452	4.34335	0.039932606
AGI_MM_OLIGO_A_51_P340255	Nbea	neurobeachin	5.119049243	2.213214286	0.4323487	4.25069	0.039932606
AGI_MM_OLIGO_A_51_P255365	Cited1	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1	5.071604338	2.068928571	0.407943608	4.23064	0.039932606
AGI_MM_OLIGO_A_51_P184006	Cpxm2	carboxypeptidase X 2 (M14 family)	5.986114921	2.007857143	0.335419077	4.12469	0.039932606
AGI_MM_OLIGO_A_51_P264527	B230317C12Rik	RIKEN cDNA B230317C12 gene	7.02236463	1.931071429	0.274988772	3.9047	0.039932606
AGI_MM_OLIGO_A_51_P378978	Crabp1	cellular retinoic acid binding protein I	5.266114496	1.833214286	0.348115159	3.7026	0.039932606
AGI_MM_OLIGO_A_51_P211672	Kcne1	potassium voltage-gated channel, Isk-related subfamily, member 1	2.119445015	1.499285714	0.707395428	3.67705	0.880621146
