Gene Symbol	Rank	Gene Name	P-Value	Q-Value
BTG2	1	2375664_BTG2	5.34531E-07	0.002
PPM1D	2	3729528_PPM1D	5.34531E-07	0.002
CDKN1A	3	2905169_CDKN1A	5.34531E-07	0.002
ZNF79	4	3189837_ZNF79	5.34531E-07	0.002
PLK3	5	2334191_PLK3	5.34531E-07	0.002
MDM2	6	3421300_MDM2	1.06906E-06	0.003333333
GADD45A	7	2341083_GADD45A	3.20718E-06	0.008571429
ZNF337	8	3902081_ZNF337	3.74172E-06	0.00875
SESN2	9	2327391_SESN2	4.81078E-06	0.01
RNF19B	10	2405312_RNF19B	2.35194E-05	0.044
GDF15	11	3824993_GDF15	4.22279E-05	0.071818182
DDB2	12	3329649_DDB2	5.71948E-05	0.089166667
APBB3	13	2878368_APBB3	8.01796E-05	0.115384615
ASAH3L	14	3164312_ASAH3L	0.000118666	0.158571429
SESN1	15	2968652_SESN1	0.000195104	0.243333333
GAS2L3	16	3428268_GAS2L3	0.00025016	0.2925
PHLDA3	17	2450855_PHLDA3	0.000471991	0.494444444
PAG1	18	3142217_PAG1	0.000475732	0.494444444
TMEM199	19	3715535_TMEM199	0.000674578	0.664210526
FDXR	20	3770457_FDXR	0.000880372	0.80047619
TNFRSF10B	21	3127703_TNFRSF10B	0.000898546	0.80047619
EDA2R	22	4011096_EDA2R	0.001146568	0.975
ISG20L1	23	3607232_ISG20L1	0.001288219	0.999998396
TP53INP1	24	3145149_TP53INP1	0.001547466	0.999998396
PHF17	25	2743315_PHF17	0.001774107	0.999998396
IER5	26	2370355_IER5	0.001883152	0.999998396
TBC1D22B	27	2905432_TBC1D22B	0.001916292	0.999998396
PARS2	28	2413879_PARS2	0.002165918	0.999998396
C13orf34	29	3493391_C13orf34	0.002325743	0.999998396
LRDD	30	3358425_LRDD	0.002514967	0.999998396
TRAF4	31	3715839_TRAF4	0.002653945	0.999998396
PRKX	32	3997946_PRKX	0.00280789	0.999998396
BLOC1S2	33	3303392_BLOC1S2	0.002865084	0.999998396
FBXW7	34	2789957_FBXW7	0.003002459	0.999998396
RAP2B	35	2648378_RAP2B	0.003318366	0.999998396
SLC9A1	36	2402942_SLC9A1	0.003913834	0.999998396
PRUNE	37	2358623_PRUNE	0.00391811	0.999998396
