Symbol	probe set	Description	CP1	CP2	CP2 vs CP1
Abp1	1424600_at	amiloride binding protein 1 (amine oxidase, copper-containing)	150.1	2738	18.24117255
Abpa	1424063_at	androgen binding protein alpha	30.3	407.8	13.45874587
Acaca	1427595_at	acetyl-Coenzyme A carboxylase alpha	250.7	2041.9	8.144794575
Acacb	1427052_at	acetyl-Coenzyme A carboxylase beta	1826.9	11840.6	6.481252395
Acly	1425326_at	ATP citrate lyase	939.9	4973.6	5.291626769
Acot11	1429267_at	acyl-CoA thioesterase 11	60.2	287.1	4.76910299
Acss2	1422479_at	acyl-CoA synthetase short-chain family member 2	618.6	2867.9	4.636113805
Aldh18a1	1435855_x_at	aldehyde dehydrogenase 18 family, member A1	175.1	790.1	4.512278698
Aqp11	1429254_at	aquaporin 11	80.6	356	4.416873449
Bex1	1448595_a_at	brain expressed gene 1	117.5	503.6	4.285957447
Btg2	1416250_at	B-cell translocation gene 2, anti-proliferative	1846.8	7022.9	3.802739874
Car3	1453588_at	carbonic anhydrase 3	86.3	316.5	3.667439166
Car6	1421001_a_at	carbonic anhydrase 6	2834.9	10041.1	3.541959152
Ccl12	1419282_at	chemokine (C-C motif) ligand 12	253	854.8	3.378656126
Cd5l	1449193_at	CD5 antigen-like	635.3	2139.5	3.367700299
Cel	1417257_at	carboxyl ester lipase	444.5	1486.4	3.343982002
Cidea	1417956_at	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A	156.7	515.9	3.292278239
Cldn3	1426332_a_at	claudin 3	1363.3	4439.8	3.256656642
Clec14a	1419468_at	C-type lectin domain family 14, member a	229.8	741.7	3.227589208
Clic5	1458381_at	chloride intracellular channel 5	116.2	367.3	3.160929432
Clic5	1456873_at	chloride intracellular channel 5	185.6	579.4	3.121767241
Clmn	1429166_s_at	calmin	2933.1	8952.2	3.052129147
Cnn3	1456380_x_at	calponin 3, acidic	322	979.5	3.041925466
Cox7a1	1418709_at	cytochrome c oxidase, subunit VIIa 1	139	418.1	3.007913669
Cox8b	1449218_at	cytochrome c oxidase, subunit VIIIb	123.5	350.2	2.83562753
Cpt1b	1418328_at	carnitine palmitoyltransferase 1b, muscle	494.2	1368	2.768110077
Crabp2	1451191_at	cellular retinoic acid binding protein II	124.9	339.8	2.720576461
Csna	1420627_a_at	casein alpha	695.1	1873.7	2.695583369
Csnb	1420370_s_at	casein beta	803.2	2160.1	2.68936753
Cspg3	1434679_at	chondroitin sulfate proteoglycan 3	4323.8	11461.2	2.6507239
Ctgf	1416953_at	connective tissue growth factor	175.4	461.3	2.629988597
Cyp7b1	1421075_s_at	cytochrome P450, family 7, subfamily b, polypeptide 1	2491.5	6485.5	2.603050371
Cyr61	1438133_a_at	cysteine rich protein 61	3074.6	7925.3	2.57766864
Dlat	1426265_x_at	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	6617.2	16941.9	2.560282295
E2f5	1447625_at	E2F transcription factor 5	3346.6	8274.6	2.472539294
Ehf	1451375_at	ets homologous factor	659.3	1615.8	2.450781132
Elovl3	1420722_at	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3	240.7	582.5	2.420024927
Elovl6	1417404_at	ELOVL family member 6, elongation of long chain fatty acids (yeast)	293.5	708.6	2.414310051
Elovl7	1441891_x_at	ELOVL family member 7, elongation of long chain fatty acids (yeast)	5613.8	13185	2.348676476
Emid1	1449581_at	EMI domain containing 1	828.7	1943	2.344636177
Expi	1417160_s_at	extracellular proteinase inhibitor	296	690.1	2.331418919
Fabp3	1416023_at	fatty acid binding protein 3, muscle and heart	1385.1	3206	2.314634322
Fcgbp	1426872_at	Fc fragment of IgG binding protein	229.9	527.1	2.292735972
Fcgr1	1417876_at	Fc receptor, IgG, high affinity I	320.5	734.2	2.290795632
Fus	1451285_at	fusion, derived from t(12, 16) malignant liposarcoma (human)	879.7	1998.5	2.271797204
Gjb2	1423271_at	gap junction membrane channel protein beta 2	267.4	601.7	2.250186986
Gpd1	1416204_at	glycerol-3-phosphate dehydrogenase 1 (soluble)	276.5	615.4	2.225678119
Gpd2	1452741_s_at	glycerol phosphate dehydrogenase 2, mitochondrial	382.3	848.1	2.218414857
Gpd2	1417434_at	glycerol phosphate dehydrogenase 2, mitochondrial	243.9	538.3	2.207052071
Gsta3	1423436_at	glutathione S-transferase, alpha 3	145.9	318.2	2.180945853
Gyk	1422703_at	glycerol kinase	439.3	957.3	2.179148646
Gys2	1424815_at	glycogen synthase 2	6451	14052.8	2.178390947
Haghl	1428584_a_at	hydroxyacylglutathione hydrolase-like	176.7	383.6	2.170911149
Has2	1449169_at	hyaluronan synthase 2	139.6	302.1	2.164040115
Hmg20a	1428920_at	high mobility group 20A	674.8	1457.1	2.159306461
Hmgcs2	1423858_a_at	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	223.8	480.6	2.147453083
Hsp110	1423566_a_at	heat shock protein 110	2524.6	5408.2	2.142200745
Hspa9a	1447728_x_at	heat shock protein 9A	418	895.4	2.142105263
Idh3a	1422500_at	isocitrate dehydrogenase 3 (NAD+) alpha	5295.3	11248.4	2.124223368
Igh-1a	1451632_a_at	immunoglobulin heavy chain 1a (serum IgG2a)	707.4	1478.9	2.090613514
Igh-4	1425324_x_at	immunoglobulin heavy chain 4 (serum IgG1)	244.7	500.3	2.04454434
Ighg	1424631_a_at	Immunoglobulin heavy chain (gamma polypeptide)	137.9	281.2	2.039158811
Igh-VJ558	1425763_x_at	immunoglobulin heavy chain (J558 family)	154.4	314.2	2.034974093
Igj	1424305_at	immunoglobulin joining chain	1012.3	2049.3	2.024399881
Igk	1425738_at	immunoglobulin kappa chain complex	2776.3	5562.9	2.003709974
Igk-V8	1452463_x_at	immunoglobulin kappa chain variable 8 (V8)	399.6	796.2	1.992492492
Indo	1420437_at	indoleamine-pyrrole 2,3 dioxygenase	215.4	427.4	1.984215413
Kcnb1	1423180_at	potassium voltage gated channel, Shab-related subfamily, member 1	280.2	19.9	-14.08040201
Kcnh3	1459107_at	potassium voltage-gated channel, subfamily H (eag-related), member 3	509.4	78.9	-6.456273764
Kcnk3	1425341_at	potassium channel, subfamily K, member 3	433.4	76.9	-5.635890767
Klhdc5	1426988_at	kelch domain containing 5	1107.4	233.2	-4.748713551
Kng1	1416676_at	kininogen 1	356	79.7	-4.466750314
Lbh	1429088_at	limb-bud and heart	365.9	86.7	-4.220299885
Lepr	1456156_at	leptin receptor	1346.5	324.8	-4.145628079
Letmd1	1418860_a_at	LETM1 domain containing 1	1183.9	340.3	-3.478989127
Lin10	1435468_at	lin-10 homolog (C. elegans)	9631.5	3153.1	-3.054612921
Mbd5	1441987_at	methyl-CpG binding domain protein 5	876.4	296.7	-2.953825413
Mbp	1454651_x_at	myelin basic protein	386.1	140.1	-2.755888651
Med18	1460462_at	mediator of RNA polymerase II transcription, subunit 18 homolog (yeast)	146.8	53.5	-2.743925234
Mfap4	1424010_at	microfibrillar-associated protein 4	728	265.5	-2.741996234
Mlxipl	1419185_a_at	MLX interacting protein-like	693.7	253.8	-2.733254531
Mmd2	1438654_x_at	monocyte to macrophage differentiation-associated 2	7832.7	2900.6	-2.700372337
Mod1	1430307_a_at	malic enzyme, supernatant	6074.4	2256.5	-2.69195657
Mosc1	1428005_at	MOCO sulphurase C-terminal domain containing 1	7919.9	2992.2	-2.646848473
Mrps14	1420488_at	mitochondrial ribosomal protein S14	4279	1697.5	-2.520765832
Mtch2	1438843_x_at	mitochondrial carrier homolog 2 (C. elegans)	381.4	152.5	-2.500983607
Muc15	1426941_at	mucin 15	532.1	218.2	-2.438588451
Nelf	1439398_x_at	nasal embryonic LHRH factor	595.9	247.1	-2.411574261
Nol3	1451503_at	nucleolar protein 3 (apoptosis repressor with CARD domain)	476.8	199.6	-2.388777555
Nudt13	1428943_at	nudix (nucleoside diphosphate linked moiety X)-type motif 13	565.5	238	-2.37605042
Ogfrl1	1424412_at	opioid growth factor receptor-like 1	347.8	147	-2.365986395
Otop1	1438448_at	otopetrin 1	1086.1	460.8	-2.356987847
