gene symbol	description	Affymetrix	qRT-PCR	Comparison
BAX	BCL2-associated X protein	-1.89	-2.01	LFS50 vs. WT comparison (epithelial cells)
BIRC3	Baculoviral IAP repeat-containing 3	17.96	37.03	LFS50 vs. WT comparison (epithelial cells)
CDK2	Cyclin-dependent kinase 2	2.25	1.29	LFS50 vs. WT comparison (epithelial cells)
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	-1.83	-1.24	LFS50 vs. WT comparison (epithelial cells)
CHEK1	CHK1 checkpoint homolog (S. pombe)	2.26	1.09	LFS50 vs. WT comparison (epithelial cells)
EP300	E1A binding protein p300	1.99	1.74	LFS50 vs. WT comparison (epithelial cells)
IL1B	Interleukin 1, beta	-2.96	-1.17	LFS50 vs. WT comparison (epithelial cells)
BAX	BCL2-associated X protein	-1.36	-2.41	LFS-IUSM vs. WT comparison (epithelial cells)
BIRC3	Baculoviral IAP repeat-containing 3	1.3	1.57	LFS-IUSM vs. WT comparison (epithelial cells)
CDK2	Cyclin-dependent kinase 2	-1.34	-5.18	LFS-IUSM vs. WT comparison (epithelial cells)
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	-1.22	-1.2	LFS-IUSM vs. WT comparison (epithelial cells)
CHEK1	CHK1 checkpoint homolog (S. pombe)	-1.13	-7.47	LFS-IUSM vs. WT comparison (epithelial cells)
EP300	E1A binding protein p300	2.64	3.3	LFS-IUSM vs. WT comparison (epithelial cells)
IL1B	Interleukin 1, beta	-6.61	-9.28	LFS-IUSM vs. WT comparison (epithelial cells)
BAX	BCL2-associated X protein	-2.38	-1.8	LFS50 vs. WT comparison (stromal cells)
BIRC3	Baculoviral IAP repeat-containing 3	3.01	5.91	LFS50 vs. WT comparison (stromal cells)
CDK2	Cyclin-dependent kinase 2	2.69	14.77	LFS50 vs. WT comparison (stromal cells)
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	-10.85	-2.41	LFS50 vs. WT comparison (stromal cells)
CHEK1	CHK1 checkpoint homolog (S. pombe)	2.31	1.29	LFS50 vs. WT comparison (stromal cells)
EP300	E1A binding protein p300	-1.12	-2.7	LFS50 vs. WT comparison (stromal cells)
IL1B	Interleukin 1, beta	9.4	180.68	LFS50 vs. WT comparison (stromal cells)
BAX	BCL2-associated X protein	-3.61	-1.97	LFS-IUSM vs. WT comparison (stromal cells)
BIRC3	Baculoviral IAP repeat-containing 3	-1.59	-2.78	LFS-IUSM vs. WT comparison (stromal cells)
CDK2	Cyclin-dependent kinase 2	2.54	11.5	LFS-IUSM vs. WT comparison (stromal cells)
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	-2.81	-1.24	LFS-IUSM vs. WT comparison (stromal cells)
CHEK1	CHK1 checkpoint homolog (S. pombe)	1.53	1.6	LFS-IUSM vs. WT comparison (stromal cells)
EP300	E1A binding protein p300	-1.09	-1.5	LFS-IUSM vs. WT comparison (stromal cells)
IL1B	Interleukin 1, beta	1.75	1.36	LFS-IUSM vs. WT comparison (stromal cells)
