Probeset ID	Gene Symbol	Gene Title	log fold	Adjusted p-value
8026490	UCA1	urothelial cancer associated 1	-2,48	0,006
7953200	CCND2	cyclin D2	-2,25	0,039
7940869	FERMT3	fermitin family homolog 3 (Drosophila)	-1,70	0,039
8123080	SYTL3	synaptotagmin-like 3	-1,61	0,021
8162502	FBP1	fructose-1,6-bisphosphatase 1	-1,55	0,039
8175696	GABRA3	gamma-aminobutyric acid (GABA) A receptor, alpha 3	-1,38	0,022
8008185	ABI3	ABI gene family, member 3	-1,28	0,039
8111941	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	-1,16	0,046
8105908	OCLN	occludin	-1,12	0,040
8107594	SNCAIP	synuclein, alpha interacting protein	-1,12	0,039
8170553	MAGEA6 /// MAGEA3	melanoma antigen family A, 6 / A, 3	-1,10	0,040
7987439	GPR176	G protein-coupled receptor 176	-1,07	0,040
7962579	AMIGO2	adhesion molecule with Ig-like domain 2	-1,03	0,046
7988467	FBN1	fibrillin 1	-1,00	0,039
8016532	GNGT2	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2	-0,99	0,039
7952341	ASAM	adipocyte-specific adhesion molecule	-0,97	0,042
8105506	ZSWIM6	zinc finger, SWIM-type containing 6	-0,97	0,044
8106280	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	-0,93	0,050
7931930	PRKCQ	protein kinase C, theta	-0,92	0,040
8011114	SCARF1	scavenger receptor class F, member 1	-0,91	0,039
7940565	FADS2	fatty acid desaturase 2	-0,91	0,040
8053648	KRCC1	lysine-rich coiled-coil 1	-0,88	0,040
7983650	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2	-0,86	0,039
7989094	NEDD4	neural precursor cell expressed, developmentally down-regulated 4	-0,86	0,040
8048171	DKFZp434H1419	hypothetical protein DKFZp434H1419	-0,82	0,040
8007212	STAT5A	signal transducer and activator of transcription 5A	-0,81	0,047
8059413	DOCK10	dedicator of cytokinesis 10	-0,81	0,040
7951372	CASP4	caspase 4, apoptosis-related cysteine peptidase	-0,79	0,046
8108683	PCDHB2	protocadherin beta 2	-0,74	0,040
8105077	CARD6	caspase recruitment domain family, member 6	-0,73	0,043
8005132	MEIS3	Meis homeobox 3	-0,72	0,042
7939676	KIAA0652	KIAA0652	-0,72	0,045
7988093	TP53BP1	tumor protein p53 binding protein 1	-0,72	0,046
7982957	MGA	MAX gene associated	-0,66	0,042
7944722	UBASH3B	ubiquitin associated and SH3 domain containing, B	-0,64	0,043
