Gene Symbol	Probeset ID	p-value	Fold-Change
SCRG1	205475_at	0.000111974	224.65
ERBB3	202454_s_at	1.67E-17	154.458
ARHGAP15	218870_at	2.73E-16	141.299
ERBB3	226213_at	2.70E-17	130.346
APOD	201525_at	9.99E-09	130.029
GPM6B	209170_s_at	1.98E-19	125.605
GPM6B	209167_at	1.20E-17	109.136
BCHE	205433_at	4.44E-05	95.1248
S100B	209686_at	1.79E-11	52.6383
GPM6B	209168_at	1.01E-16	51.084
PI15	229947_at	6.63E-09	50.8257
EPHA3	206070_s_at	4.37E-11	44.7801
GAS7	202192_s_at	8.12E-12	44.741
FABP7	205030_at	4.46E-05	42.5373
GAS7	202191_s_at	3.15E-14	41.869
TAC1	206552_s_at	1.91E-22	41.7755
IGFBP2	202718_at	2.07E-06	39.7689
COL9A3	204724_s_at	6.22E-11	39.4673
CDH19	206898_at	1.48E-06	39.3933
CD36	228766_at	9.90E-09	37.1736
GAS7	211067_s_at	6.70E-12	36.8567
CCL18	32128_at	5.90E-07	36.33
SGCD	213543_at	5.77E-10	36.0844
SOX10	209842_at	6.39E-21	34.1382
GAS7	207704_s_at	2.67E-10	33.6385
EDN3	208399_s_at	8.68E-10	33.4144
NRCAM	204105_s_at	2.09E-06	32.3866
SGCD	230730_at	1.41E-10	31.9493
GAS7	210872_x_at	5.28E-13	30.6718
	230741_at	1.07E-10	30.0102
TRIM48	220534_at	1.11E-12	28.6682
CCL18	209924_at	1.17E-07	25.8226
HMCN1	235944_at	1.91E-06	24.1072
CD36	209555_s_at	5.43E-06	23.3849
CD36	206488_s_at	3.59E-07	21.7085
RGS1	202988_s_at	3.16E-05	21.6511
IGFBP3	212143_s_at	5.13E-09	20.9828
	228218_at	4.29E-08	20.7396
AIF1L	223075_s_at	0.00013461	20.219
GPC3	209220_at	1.93E-09	20.1255
SLC1A4	209610_s_at	2.26E-08	20.0972
TTYH1	219415_at	1.29E-05	19.9491
RGS1	216834_at	3.90E-06	19.8458
IGFBP3	210095_s_at	6.19E-10	19.8456
OLIG1	228170_at	0.00475599	19.3603
MMP1	204475_at	1.03E-06	19.0966
ACAN	207692_s_at	5.36E-24	18.1232
ANO4	236420_s_at	6.54E-07	18.0527
PDGFRA	203131_at	6.86E-06	17.9065
FGFBP3	238453_at	1.05E-07	17.815
A2M	217757_at	2.51E-08	17.589
FABP7	205029_s_at	4.48E-05	17.2878
PRELP	204223_at	1.46E-07	17.0731
S100A1	205334_at	4.73E-08	16.7201
LPL	203548_s_at	9.54E-08	16.6111
RXRG	205954_at	0.000447214	16.5319
SERPINF1	202283_at	2.08E-06	16.4279
PCSK6	207414_s_at	3.57E-08	16.3999
GYG2	215695_s_at	7.85E-06	15.9265
CRISPLD1	223475_at	2.57E-06	15.3524
PCDH18	225975_at	6.64E-12	15.2468
ACAN	205679_x_at	3.07E-17	15.2242
TFPI	210665_at	1.58E-15	15.1052
LPL	203549_s_at	5.31E-08	15.0754
SOD3	205236_x_at	1.46E-06	14.8846
H19	224997_x_at	0.00179442	14.7266
ASB11	1553074_at	9.46E-10	14.6599
CADM4	215259_s_at	3.06E-08	14.4811
SGCD	210330_at	7.37E-08	14.2104
MIA	206560_s_at	2.08E-09	14.1701
LOC100128178	232090_at	1.82E-08	13.7659
PTGS2	204748_at	3.24E-06	13.4898
CDH19	1555403_a_at	3.04E-05	12.8776
	227838_at	8.43E-14	12.6496
SLC35F1	228060_at	1.51E-05	12.5163
MMP13	205959_at	4.52E-08	12.5143
ADRA2A	209869_at	7.64E-09	11.9739
GLT25D2	209883_at	1.32E-09	11.7965
	1554403_a_at	0.000642803	11.6672
CEACAM1	209498_at	0.00695448	11.6234
SORL1	212560_at	4.45E-07	11.5428
	229373_at	1.92E-07	11.3976
STXBP6	230560_at	1.25E-06	11.3917
LOXL3	228253_at	1.87E-08	11.332
ANGPT1	205609_at	0.000267743	10.9195
ACSBG1	206465_at	7.04E-15	10.7969
ST6GAL1	201998_at	8.80E-06	10.7841
GPR64	206002_at	3.25E-06	10.714
GPR155	231166_at	3.17E-05	10.6408
PRELP	228224_at	5.60E-07	10.6283
ACAN	217161_x_at	1.42E-17	10.5703
FIBIN	226769_at	2.93E-05	10.5215
BGN	213905_x_at	6.90E-10	10.3177
MTUS1	212096_s_at	7.14E-07	10.3151
FREM2	230964_at	3.96E-05	10.2912
	235494_at	5.83E-08	10.0629
UNC5C	206189_at	1.37E-14	9.68579
ENPP2	209392_at	0.00355587	9.4557
ANGPT1	205608_s_at	2.36E-05	9.34727
FOXD3	241612_at	4.99E-05	9.23105
FAM134B	218532_s_at	4.60E-08	9.07143
